continental,qualifier,regional,friendly,avg_margin,combo_time_s,pts_2002,margin_2002,time_2002,pts_2006,margin_2006,time_2006,pts_2010,margin_2010,time_2010,pts_2018,margin_2018,time_2018,pts_2022,margin_2022,time_2022
0.8,1.0,0.3,0.0,15.977303895659741,1297.9,52,10.977272727272727,223.3,85,35.328125,324.6,55,11.604651162790695,460.8,60,15.0,152.2,51,6.976470588235294,137.1
0.8,1.0,0.5,0.0,14.977303895659741,1305.2,50,8.977272727272727,235.8,85,35.328125,320.2,55,11.604651162790695,464.3,60,15.0,147.4,48,3.976470588235294,137.5
0.8,0.7,1.0,0.0,14.977303895659741,1266.5,53,11.977272727272727,215.6,77,27.328125,317.5,55,11.604651162790695,417.9,62,17.0,183.8,51,6.976470588235294,131.7
0.8,1.0,1.0,0.0,14.977303895659741,1297.2,50,8.977272727272727,241.7,85,35.328125,317.7,55,11.604651162790695,466.8,60,15.0,131.3,48,3.976470588235294,139.7
0.8,0.5,1.0,0.0,14.577303895659742,660.4,54,12.977272727272728,122.7,74,24.328125,135.1,55,11.604651162790695,132.7,63,18.0,142.7,50,5.976470588235294,127.3
0.8,0.5,1.0,0.1,14.37730389565974,673.5,51,9.977272727272728,126.5,75,25.328125,135.7,56,12.604651162790695,132.1,62,17.0,147.5,51,6.976470588235294,131.8
0.8,0.5,0.3,0.0,14.177303895659742,683.1,52,10.977272727272728,135.6,74,24.328125,135.8,55,11.604651162790695,136.5,63,18.0,147.4,50,5.976470588235294,127.8
0.8,0.5,0.5,0.0,14.177303895659742,727.7,52,10.977272727272728,141.7,74,24.328125,137.2,55,11.604651162790695,133.6,63,18.0,145.3,50,5.976470588235294,170.0
0.8,0.7,0.5,0.3,13.977303895659741,1285.6,50,8.977272727272727,214.2,72,22.328125,314.5,57,13.604651162790695,405.2,63,18.0,210.5,51,6.976470588235294,141.1
0.8,0.7,1.0,0.3,13.977303895659741,1289.9,50,8.977272727272727,217.7,72,22.328125,325.0,57,13.604651162790695,449.0,63,18.0,156.8,51,6.976470588235294,141.3
0.8,0.5,0.5,0.1,13.97730389565974,675.9,51,9.977272727272728,124.6,75,25.328125,130.5,56,12.604651162790695,133.8,62,17.0,148.4,49,4.976470588235294,138.7
0.8,0.5,0.3,0.1,13.97730389565974,717.1,51,9.977272727272728,137.7,75,25.328125,130.4,56,12.604651162790695,133.3,62,17.0,152.9,49,4.976470588235294,162.7
0.8,0.7,0.3,0.0,13.97730389565974,729.3,53,11.977272727272728,122.2,74,24.328125,132.9,55,11.604651162790695,135.5,62,17.0,146.5,49,4.976470588235294,192.2
0.8,0.7,0.5,0.0,13.97730389565974,687.8,53,11.977272727272728,122.6,74,24.328125,137.8,55,11.604651162790695,134.5,62,17.0,139.9,49,4.976470588235294,153.0
0.8,0.5,0.3,0.3,13.777303895659742,677.0,51,9.977272727272728,130.1,64,14.328125,135.8,60,16.604651162790695,133.8,64,19.0,152.6,53,8.976470588235294,124.7
0.8,0.5,0.5,0.3,13.777303895659742,671.2,50,8.977272727272727,121.8,65,15.328125,135.3,60,16.604651162790695,132.6,64,19.0,142.2,53,8.976470588235294,139.3
0.8,0.7,0.5,0.1,13.577303895659742,698.7,50,8.977272727272727,139.6,75,25.328125,136.2,57,13.604651162790695,133.4,62,17.0,151.6,47,2.976470588235294,137.9
0.8,0.7,0.3,0.1,13.577303895659742,721.6,52,10.977272727272728,140.5,73,23.328125,134.7,57,13.604651162790695,134.2,62,17.0,150.2,47,2.976470588235294,162.0
0.8,0.7,0.3,0.3,13.37730389565974,710.9,50,8.977272727272727,124.8,71,21.328125,135.3,57,13.604651162790695,133.3,63,18.0,148.7,49,4.976470588235294,168.8
0.8,0.5,1.0,0.3,13.37730389565974,722.7,50,8.977272727272727,139.2,65,15.328125,137.1,60,16.604651162790695,133.1,62,17.0,141.1,53,8.976470588235294,172.2
0.8,1.0,1.0,0.3,13.177303895659742,1343.3,46,4.977272727272727,230.1,74,24.328125,319.2,57,13.604651162790695,467.4,61,16.0,156.2,51,6.976470588235294,170.5
0.8,1.0,0.5,0.1,13.177303895659742,1321.9,49,7.977272727272727,230.8,79,29.328125,330.7,57,13.604651162790695,466.2,60,15.0,146.0,44,-0.0235294117647058,148.1
0.8,1.0,0.3,0.3,13.177303895659742,1303.3,46,4.977272727272727,236.5,74,24.328125,315.0,57,13.604651162790695,467.3,61,16.0,146.1,51,6.976470588235294,138.5
0.8,1.0,0.5,0.3,13.177303895659742,1284.6,46,4.977272727272727,213.6,74,24.328125,324.5,57,13.604651162790695,453.1,61,16.0,155.7,51,6.976470588235294,137.7
0.8,1.0,0.3,0.1,13.177303895659742,1288.2,49,7.977272727272727,228.9,79,29.328125,320.9,57,13.604651162790695,469.7,60,15.0,135.0,44,-0.0235294117647058,133.7
0.8,0.7,1.0,0.1,12.977303895659741,1391.4,50,8.977272727272727,273.0,75,25.328125,359.3,57,13.604651162790695,415.8,62,17.0,142.7,44,-0.0235294117647058,200.6
0.8,1.0,1.0,0.1,12.577303895659742,1322.3,49,7.977272727272727,244.6,79,29.328125,329.7,57,13.604651162790695,456.9,57,12.0,142.3,44,-0.0235294117647058,148.8
0.8,1.0,0.5,1.0,12.377303895659743,1316.9,43,1.9772727272727266,224.9,74,24.328125,323.6,56,12.604651162790695,470.7,61,16.0,147.3,51,6.976470588235294,150.5
0.8,1.0,0.3,1.0,12.377303895659743,1349.0,43,1.9772727272727266,250.5,74,24.328125,344.0,56,12.604651162790695,444.1,61,16.0,141.3,51,6.976470588235294,169.1
0.8,1.0,1.0,1.0,12.377303895659743,1310.6,43,1.9772727272727266,219.8,74,24.328125,333.8,56,12.604651162790695,471.6,61,16.0,146.5,51,6.976470588235294,139.0
0.8,0.7,0.3,1.0,11.377303895659743,684.4,44,2.977272727272726,124.3,72,22.328125,135.1,52,8.604651162790695,134.5,60,15.0,159.5,52,7.976470588235294,131.0
0.8,0.7,0.5,1.0,11.377303895659743,1304.7,44,2.9772727272727266,234.7,72,22.328125,321.3,52,8.604651162790695,463.6,60,15.0,143.6,52,7.976470588235294,141.6
0.8,0.7,1.0,1.0,11.177303895659744,1272.6,44,2.9772727272727266,217.3,72,22.328125,319.7,52,8.604651162790695,429.7,60,15.0,169.8,51,6.976470588235294,136.2
0.8,0.5,1.0,1.0,10.577303895659742,662.9,40,-1.0227272727272734,122.5,70,20.328125,133.1,52,8.604651162790695,135.5,60,15.0,151.0,54,9.976470588235294,120.9
0.8,0.5,0.5,1.0,10.177303895659744,656.0,40,-1.0227272727272734,120.8,70,20.328125,133.8,52,8.604651162790695,130.9,61,16.0,144.5,51,6.976470588235294,126.1
0.8,0.5,0.3,1.0,10.177303895659744,692.0,40,-1.0227272727272734,123.6,70,20.328125,136.7,52,8.604651162790695,135.7,61,16.0,141.4,51,6.976470588235294,154.5
