tournament,year,date,home_team,away_team,actual_home,actual_away,model_home,model_draw,model_away,book_home,book_draw,book_away,tvd,model_favorite,book_favorite,favorite_flip,model_prediction,model_points,model_decision_margin,blend00_prediction,blend00_points,blend00_decision_margin,blend005_prediction,blend005_points,blend005_decision_margin,blend01_prediction,blend01_points,blend01_decision_margin,blend015_prediction,blend015_points,blend015_decision_margin,blend02_prediction,blend02_points,blend02_decision_margin,blend025_prediction,blend025_points,blend025_decision_margin,blend03_prediction,blend03_points,blend03_decision_margin,blend035_prediction,blend035_points,blend035_decision_margin,blend04_prediction,blend04_points,blend04_decision_margin,blend045_prediction,blend045_points,blend045_decision_margin,blend05_prediction,blend05_points,blend05_decision_margin,blend055_prediction,blend055_points,blend055_decision_margin,blend06_prediction,blend06_points,blend06_decision_margin,blend065_prediction,blend065_points,blend065_decision_margin,blend07_prediction,blend07_points,blend07_decision_margin,blend075_prediction,blend075_points,blend075_decision_margin,blend08_prediction,blend08_points,blend08_decision_margin,blend085_prediction,blend085_points,blend085_decision_margin,blend09_prediction,blend09_points,blend09_decision_margin,blend095_prediction,blend095_points,blend095_decision_margin,blend10_prediction,blend10_points,blend10_decision_margin
African Cup of Nations,2015,2015-02-08,Ivory Coast,Ghana,0,0,0.42791702821905375,0.28695124192349364,0.28513172985745266,0.38340431770338806,0.3120373023884098,0.3045583799086953,0.04451271051591224,home,home,False,2-1,0,0.0034345391834254,2-1,0,0.003077552574384246,2-1,0,0.003095417554056623,2-1,0,0.0031132825337288894,2-1,0,0.0031311475134010447,2-1,0,0.003149012493073422,2-1,0,0.0031668774727457993,2-1,0,0.0031847424524180656,2-1,0,0.003202607432090443,2-1,0,0.0032204724117625982,2-1,0,0.0032383373914348645,2-1,0,0.003256202371107242,2-1,0,0.003274067350779508,2-1,0,0.0032919323304518855,2-1,0,0.003309797310124152,2-1,0,0.003327662289796529,2-1,0,0.0033455272694687954,2-1,0,0.0033633922491410617,2-1,0,0.003381257228813439,2-1,0,0.0033991222084859274,2-1,0,0.0034169871881580827,2-1,0,0.00343485216783046
African Cup of Nations,2015,2015-02-07,DR Congo,Equatorial Guinea,0,0,0.5383605416195686,0.2784745237963261,0.1831649345841053,0.4005992466346148,0.2957014741317664,0.3036992792331172,0.13776129498470296,home,home,False,2-0,0,0.011747163713393127,2-0,0,0.008742431738196776,2-0,0,0.008892752629672152,2-0,0,0.009043073521147749,2-0,0,0.009193394412622902,2-0,0,0.009343715304098277,2-0,0,0.009494036195573652,2-0,0,0.009644357087049138,2-0,0,0.009794677978524513,2-0,0,0.009944998869999777,2-0,0,0.010095319761475152,2-0,0,0.010245640652950416,2-0,0,0.010395961544425791,2-0,0,0.010546282435901055,2-0,0,0.01069660332737632,2-0,0,0.010846924218851695,2-0,0,0.01099724511032707,2-0,0,0.011147566001802223,2-0,0,0.011297886893277598,2-0,0,0.01144820778475275,2-0,0,0.011598528676228015,2-0,0,0.01174884956770339
African Cup of Nations,2015,2015-02-05,Ghana,Equatorial Guinea,0,3,0.6993464369163687,0.21126617974748052,0.0893873833361509,0.5716525239515886,0.27054866195399124,0.15779881409490254,0.1276939129650212,home,home,False,2-0,0,0.0730559957685093,2-0,0,0.05976228472391354,2-0,0,0.060429760127623355,2-0,0,0.061097235531333394,2-0,0,0.06176471093504343,2-0,0,0.06243218633875358,2-0,0,0.06309966174246384,2-0,0,0.06376713714617377,2-0,0,0.06443461254988414,2-0,0,0.0651020879535944,2-0,0,0.06576956335730466,2-0,0,0.06643703876101437,2-0,0,0.0671045141647244,2-0,0,0.06777198956843511,2-0,0,0.06843946497214581,2-0,0,0.06910694037585641,2-0,0,0.06977441577956711,2-0,0,0.0704418911832777,2-0,0,0.0711093665869873,2-0,0,0.07177684199069856,2-0,0,0.07244431739440871,2-0,0,0.0731117927981193
African Cup of Nations,2015,2015-02-04,DR Congo,Ivory Coast,1,3,0.1480963106094744,0.2262491979889913,0.6256544914015343,0.15015053306543236,0.262871737838963,0.5869777290960967,0.038676762305683635,away,away,False,0-2,1,0.02338838249926123,0-2,1,0.021959762643056324,0-2,1,0.022032110577052455,0-2,1,0.022104458511048808,0-2,1,0.022176806445044495,0-2,1,0.022249154379040514,0-2,1,0.022321502313036534,0-2,1,0.022393850247032443,0-2,1,0.022466198181028574,0-2,1,0.022538546115024816,0-2,1,0.022610894049020613,0-2,1,0.022683241983016855,0-2,1,0.022755589917012875,0-2,1,0.022827937851009006,0-2,1,0.022900285785005026,0-2,1,0.022972633719000934,0-2,1,0.023044981652996954,0-2,1,0.02311732958699353,0-2,1,0.023189677520989438,0-2,1,0.023262025454985347,0-2,1,0.023334373388981478,0-2,1,0.02340672132297761
African Cup of Nations,2015,2015-02-01,Ivory Coast,Algeria,3,1,0.5607625003062253,0.2537099638346384,0.1855275358591363,0.3785092112421131,0.32269901538873047,0.29879177336963086,0.1822532890643494,home,home,False,2-0,1,0.016299998648239722,1-1,0,0.03420357416754882,1-1,0,0.013196525074927412,2-0,1,0.0078105240176951085,2-0,1,0.011801063175721493,2-0,1,0.012066037598835067,2-0,1,0.012331012021948418,2-0,1,0.01259598644506199,2-0,1,0.012860960868175453,2-0,1,0.013125935291289026,2-0,1,0.013390909714402599,2-0,1,0.01365588413751595,2-0,1,0.013920858560629412,2-0,1,0.014185832983742985,2-0,1,0.014450807406856558,2-0,1,0.014715781829970132,2-0,1,0.014980756253083816,2-0,1,0.0152457306761975,2-0,1,0.015510705099310962,2-0,1,0.015775679522424646,2-0,1,0.01604065394553822,2-0,1,0.016305628368651792
African Cup of Nations,2015,2015-02-01,Ghana,Guinea,3,0,0.45961400996794705,0.26876454496721164,0.2716214450648413,0.5145095843195897,0.2937130000670405,0.19177741561286682,0.079844029451723,home,home,False,2-1,1,0.008632444891213842,2-1,1,0.009665390805131846,2-1,1,0.009613828385718115,2-1,1,0.009562265966304162,2-1,1,0.009510703546890209,2-1,1,0.009459141127476256,2-1,1,0.009407578708062303,2-1,1,0.009356016288648461,2-1,1,0.009304453869234619,2-1,1,0.009252891449820666,2-1,1,0.009201329030406824,2-1,1,0.009149766610992982,2-1,1,0.009098204191579029,2-1,1,0.009046641772165187,2-1,1,0.008995079352751123,2-1,1,0.008943516933337503,2-1,1,0.008891954513923439,2-1,1,0.008840392094509597,2-1,1,0.008788829675095755,2-1,1,0.008737267255681913,2-1,1,0.008685704836268071,2-1,1,0.008634142416854118
African Cup of Nations,2015,2015-01-31,Tunisia,Equatorial Guinea,2,1,0.6111173249248619,0.25961712949039756,0.12926554558474052,0.46533820772528434,0.3165567845833867,0.21810500769183877,0.1457791171998325,home,home,False,2-0,2,0.014336027999891199,2-0,2,0.010918741707810375,2-0,2,0.011089770488670325,2-0,2,0.011260799269530386,2-0,2,0.011431828050390558,2-0,2,0.011602856831250619,2-0,2,0.011773885612110568,2-0,2,0.011944914392970962,2-0,2,0.012115943173831134,2-0,2,0.012286971954691195,2-0,2,0.012458000735551256,2-0,2,0.012629029516411427,2-0,2,0.0128000582972716,2-0,2,0.012971087078131771,2-0,2,0.013142115858991943,2-0,2,0.013313144639852337,2-0,2,0.013484173420712509,2-0,2,0.013655202201572347,2-0,2,0.013826230982432852,2-0,2,0.013997259763293135,2-0,2,0.014168288544153307,2-0,2,0.0143393173250137
African Cup of Nations,2015,2015-01-31,Congo,DR Congo,2,4,0.22677745764757468,0.31089752223332584,0.46232502011909943,0.3041177043193085,0.34355816624590196,0.35232412943428115,0.11000089068456412,away,away,False,0-1,1,0.03910274024585625,0-0,0,0.018481600934777687,0-0,0,0.01839375249334596,0-0,0,0.018305904051914457,0-0,0,0.01821805561048262,0-0,0,0.012211880035449707,0-1,1,0.00024743022401541026,0-1,1,0.012706740483479972,0-1,1,0.025166050742943202,0-1,1,0.033521972172280035,0-1,1,0.03398717769571191,0-1,1,0.0344523832191439,0-1,1,0.03491758874257589,0-1,1,0.035382794266007545,0-1,1,0.03584799978943953,0-1,1,0.03631320531287108,0-1,1,0.036778410836303066,0-1,1,0.03724361635973483,0-1,1,0.03770882188316638,0-1,1,0.038174027406598254,0-1,1,0.03863923293003002,0-1,1,0.03910443845346179
African Cup of Nations,2015,2015-01-28,Cameroon,Ivory Coast,0,1,0.28571776905752744,0.29047402389882765,0.42380820704364486,0.28492710860381204,0.305211961877822,0.4098609295178911,0.014737937979231758,away,away,False,1-2,1,0.0020542677674023624,1-2,1,0.001986819777215376,1-2,1,0.00199020028079977,1-2,1,0.0019935807843840525,1-2,1,0.001996961287968446,1-2,1,0.002000341791552618,1-2,1,0.0020037222951367895,1-2,1,0.002007102798721183,1-2,1,0.002010483302305577,1-2,1,0.0020138638058898595,1-2,1,0.002017244309474142,1-2,1,0.002020624813058536,1-2,1,0.0020240053166428185,1-2,1,0.002027385820227101,1-2,1,0.0020307663238113838,1-2,1,0.0020341468273958885,1-2,1,0.00203752733098006,1-2,1,0.002040907834564454,1-2,1,0.0020442883381486254,1-2,1,0.002047668841732908,1-2,1,0.0020510493453173018,1-2,1,0.0020544298489015844
African Cup of Nations,2015,2015-01-28,Guinea,Mali,1,1,0.4185887472882411,0.26872288092417734,0.31268837178758163,0.32807341239000476,0.3252784274921669,0.3466481601173401,0.09051533489799218,home,away,True,2-1,0,0.016591735394612783,1-1,3,0.06508504600372755,1-1,3,0.06235674972489624,1-1,3,0.05962845344606593,1-1,3,0.05690015716723529,1-1,3,0.05417186088840531,1-1,3,0.0468219012543315,1-1,3,0.03406962454577689,1-1,3,0.02131734783722239,1-1,3,0.00856507112866789,2-1,0,0.004187205579885056,2-1,0,0.014800575609263733,2-1,0,0.014979997994688188,2-1,0,0.015159420380112643,2-1,0,0.015338842765536986,2-1,0,0.015518265150961441,2-1,0,0.015697687536385785,2-1,0,0.01587710992181013,2-1,0,0.016056532307234583,2-1,0,0.01623595469265915,2-1,0,0.016415377078083382,2-1,0,0.016594799463507837
African Cup of Nations,2015,2015-01-27,Senegal,Algeria,0,2,0.4050162066331843,0.31810106889549855,0.27688272447131723,0.324824611416516,0.32163374964106933,0.35354163894192214,0.080191595216422,home,away,True,1-0,0,0.045264802735186405,0-1,1,0.032009148493036044,0-1,1,0.025404124456648525,0-1,1,0.01879910042026245,0-1,1,0.012194076383875818,0-1,1,0.0055890523474899645,0-0,0,0.0010159716888957782,0-0,0,0.0037195038605787323,1-0,0,0.0005091686619551616,1-0,0,0.007730690810359264,1-0,0,0.01495221295876259,1-0,0,0.022173735107165804,1-0,0,0.029395257255568352,1-0,0,0.0366167794039709,1-0,0,0.04212916785451193,1-0,0,0.04257729264675092,1-0,0,0.04302541743898958,1-0,0,0.043473542231228124,1-0,0,0.043921667023467004,1-0,0,0.04436979181570555,1-0,0,0.04481791660794432,1-0,0,0.04526604140018298
African Cup of Nations,2015,2015-01-27,South Africa,Ghana,1,2,0.2576787120522742,0.3611102200225239,0.38121106792520193,0.2302770913232398,0.2984473040711396,0.471275604606128,0.09006453668067238,away,away,False,0-0,0,0.039143292590504086,0-1,1,0.15811870832594932,0-1,1,0.15660782084665514,0-1,1,0.15509693336736075,0-1,1,0.1535860458880659,0-1,1,0.15207515840877128,0-1,1,0.15056427092947677,0-1,1,0.14905338345018215,0-1,1,0.1475424959708872,0-1,1,0.145403458481148,0-1,1,0.13002454263324614,0-1,1,0.11464562678534307,0-1,1,0.09926671093744,0-1,1,0.08388779508953526,0-1,1,0.06850887924163018,0-1,1,0.05312996339372422,0-1,1,0.037751047545817595,0-1,1,0.02237213169791008,0-1,1,0.00699321585000201,0-0,0,0.008385699997907392,0-0,0,0.023764615845816683,0-0,0,0.03914353169372731
African Cup of Nations,2015,2015-01-26,Cape Verde,Zambia,0,0,0.2841662487111262,0.347077699505945,0.36875605178292875,0.37368539897353154,0.3151992543525699,0.31111534667439383,0.08951915026215768,away,home,True,0-0,3,0.02274127006430038,1-0,0,0.07754129582439095,1-0,0,0.06561399429993975,1-0,0,0.053686692775487876,1-0,0,0.041759391251035005,1-0,0,0.02983208972658158,1-0,0,0.017904788202127597,1-0,0,0.005977486677673172,0-0,3,0.005949814846782364,0-0,3,0.017877116371238122,0-0,3,0.02980441789569399,0-0,3,0.04173171942015075,0-0,3,0.041765390809495484,0-0,3,0.039651621968396555,0-0,3,0.03753785312729774,0-0,3,0.035424084286198476,0-0,3,0.03331031544509899,0-0,3,0.031196546603999953,0-0,3,0.02908277776290047,0-0,3,0.026969008921801207,0-0,3,0.024855240080701724,0-0,3,0.022741471239601796
African Cup of Nations,2015,2015-01-26,DR Congo,Tunisia,1,1,0.2599210776631324,0.31564423271558295,0.4244346896212846,0.24702026209128808,0.3149686384225638,0.4380110994856425,0.013576409864610672,away,away,False,0-1,0,0.04201641419542568,0-1,0,0.043361791510770464,0-1,0,0.043294590308026515,0-1,0,0.043227389105282454,0-1,0,0.043160187902538616,0-1,0,0.04309298669979478,0-1,0,0.043025785497050606,0-1,0,0.04295858429430677,0-1,0,0.04289138309156282,0-1,0,0.04282418188881909,0-1,0,0.04275698068607503,0-1,0,0.04268977948333119,0-1,0,0.04262257828058713,0-1,0,0.04255537707784307,0-1,0,0.042488175875099565,0-1,0,0.042420974672355616,0-1,0,0.042353773469611444,0-1,0,0.04228657226686794,0-1,0,0.04221937106412388,0-1,0,0.04215216986138004,0-1,0,0.04208496865863598,0-1,0,0.04201776745589214
African Cup of Nations,2015,2015-01-25,Congo,Burkina Faso,2,1,0.20840547798579515,0.3211845854556523,0.4704099365585525,0.26120239975768356,0.3091525962772629,0.4296450039655503,0.05279692177164004,away,away,False,0-1,0,0.06630662628617201,0-1,0,0.06056255369092911,0-1,0,0.0608498639582542,0-1,0,0.06113717422557918,0-1,0,0.061424484492904385,0-1,0,0.061711794760229255,0-1,0,0.061999105027554346,0-1,0,0.062286415294879216,0-1,0,0.06257372556220442,0-1,0,0.06286103582952962,0-1,0,0.06314834609685471,0-1,0,0.0634356563641797,0-1,0,0.06372296663150501,0-1,0,0.06401027689882999,0-1,0,0.0642975871661553,0-1,0,0.06458489743348039,0-1,0,0.0648722077008056,0-1,0,0.0651595179681308,0-1,0,0.065446828235456,0-1,0,0.06573413850278131,0-1,0,0.06602144877010652,0-1,0,0.06630875903743183
African Cup of Nations,2015,2015-01-25,Gabon,Equatorial Guinea,2,0,0.5018739665126214,0.32098589873636574,0.1771401347510129,0.42264108826537483,0.31416811920933,0.2631907925248202,0.08605065777404479,home,home,False,1-0,1,0.08092351535960951,1-0,1,0.06815019051446258,1-0,1,0.06878899917475023,1-0,1,0.06942780783503744,1-0,1,0.07006661649532497,1-0,1,0.0707054251556124,1-0,1,0.07134423381589983,1-0,1,0.07198304247618714,1-0,1,0.07262185113647457,1-0,1,0.07326065979676188,1-0,1,0.0738994684570492,1-0,1,0.0745382771173363,1-0,1,0.07517708577762361,1-0,1,0.0758158944379107,1-0,1,0.07645470309819802,1-0,1,0.07709351175848489,1-0,1,0.0777323204187721,1-0,1,0.07837112907905919,1-0,1,0.07900993773934628,1-0,1,0.07964874639963315,1-0,1,0.08028755505992025,1-0,1,0.08092636372020712
