year,game_id,team1,team2,disagreement,model_home,model_draw,model_away,book_home,book_draw,book_away,model_favorite,book_favorite,favorite_flip,model_prediction,blend_prediction,prediction_changed,actual,model_points,blend_points,delta
2006,1,Germany,Costa Rica,0.07063223894633869,0.6746727597769829,0.1847194204922437,0.1406078197307734,0.7453049987230824,0.17938925831228947,0.07530574296414975,home,home,False,2-1,2-1,False,4-2,1,1,0
2006,2,Poland,Ecuador,0.05179886426703237,0.43710452271211414,0.27802784798531743,0.2848676293025685,0.488903386979379,0.2755246922302287,0.23557192079085737,home,home,False,2-1,2-1,False,0-2,0,0,0
2006,3,England,Paraguay,0.08189081068964145,0.5157222045899773,0.2847622474498051,0.19951554796021748,0.5976130152798697,0.2674917049588192,0.13489527976181284,home,home,False,2-0,2-0,False,1-0,1,1,0
2006,6,Serbia,Netherlands,0.05666182558438719,0.17148607504646607,0.2725040811565464,0.5560098437969876,0.19354225079240503,0.3071097309952551,0.4993480182128609,away,away,False,0-2,0-2,False,0-1,1,1,0
2006,8,Angola,Portugal,0.03299058756986346,0.0941470726721973,0.19256999003183012,0.7132829372959725,0.07741456196727316,0.22556057760152584,0.6970248604308654,away,away,False,0-2,0-2,False,0-1,1,1,0
2006,9,Italy,Ghana,0.01625235464456716,0.6006020249409685,0.27952145968172254,0.11987651537730903,0.6168543795857611,0.2633707519913599,0.11977486842332993,home,home,False,1-0,1-0,False,2-0,1,1,0
2006,11,Brazil,Croatia,0.11225285074815128,0.5502033946213556,0.26517456673840994,0.18462203864023438,0.6624562453692961,0.24577233176616256,0.09177142286411977,home,home,False,2-0,2-0,False,1-0,1,1,0
2006,13,France,Switzerland,0.07182541773072985,0.6257893673860507,0.24777415016897386,0.12643648244497538,0.5539639496551187,0.2821789370263454,0.16385711331813158,home,home,False,2-0,2-0,False,0-0,0,0,0
2006,14,South Korea,Togo,0.025615612791031056,0.4709280615852327,0.29718951789352976,0.23188242052123756,0.4453124487939382,0.30770870402934863,0.24697884717618632,home,home,False,1-0,1-0,False,2-1,1,1,0
2006,15,Spain,Ukraine,0.028456723995306785,0.49267549221912504,0.3228244870716052,0.1845000207092697,0.5103851887142739,0.294367763076072,0.19524704820920125,home,home,False,1-0,1-0,False,4-0,1,1,0
2006,18,Ecuador,Costa Rica,0.07754454292806273,0.40900856066788366,0.28152624959255856,0.3094651897395577,0.4833643168634541,0.2847150363248218,0.23192064681126595,home,home,False,2-1,2-1,False,3-0,1,1,0
2006,19,England,Trinidad and Tobago,0.012643136444161113,0.8177685632263,0.13428212779670512,0.04794930897699498,0.8243641970508643,0.1403296304161145,0.03530617253264642,home,home,False,2-0,2-0,False,2-0,3,3,0
2006,20,Sweden,Paraguay,0.021864460930364066,0.46521452383339396,0.3037555771907134,0.2310298989758926,0.4795451216961165,0.2818911162606091,0.23856376204379387,home,home,False,1-0,1-0,False,1-0,3,3,0
2006,22,Netherlands,Ivory Coast,0.1438250742956207,0.6233701959914775,0.24246987990667482,0.13415992410184774,0.4795451216961165,0.2818911162606091,0.23856376204379387,home,home,False,2-0,2-0,False,2-1,2,2,0
2006,23,Mexico,Angola,0.0926147262434513,0.5698415191260556,0.2629421296338434,0.167216351240101,0.6624562453692961,0.24577233176616256,0.09177142286411977,home,home,False,2-0,2-0,False,0-0,0,0,0
2006,24,Portugal,Iran,0.0535229855631247,0.6699506904025525,0.20345175768615748,0.12659755191129005,0.715999974944088,0.21092545870749171,0.07307456634791033,home,home,False,2-0,2-0,False,2-0,3,3,0
