year,date,phase,game_id,home_team,away_team,actual_home,actual_away,model_home,model_draw,model_away,lambda_home,lambda_away,book_home,book_draw,book_away,tvd,model_favorite,book_favorite,favorite_flip,diff_home,diff_draw,diff_away,model_pred_home,model_pred_away,model_prediction,model_expected_pts,model_decision_margin,model_second_pred_home,model_second_pred_away,model_second_prediction,model_second_expected_pts,model_points,blend00_pred_home,blend00_pred_away,blend00_prediction,blend00_expected_pts,blend00_decision_margin,blend00_points,blend00_second_prediction,blend00_second_pred_home,blend00_second_pred_away,blend00_second_expected_pts,blend005_pred_home,blend005_pred_away,blend005_prediction,blend005_expected_pts,blend005_decision_margin,blend005_points,blend005_second_prediction,blend005_second_pred_home,blend005_second_pred_away,blend005_second_expected_pts,blend01_pred_home,blend01_pred_away,blend01_prediction,blend01_expected_pts,blend01_decision_margin,blend01_points,blend01_second_prediction,blend01_second_pred_home,blend01_second_pred_away,blend01_second_expected_pts,blend015_pred_home,blend015_pred_away,blend015_prediction,blend015_expected_pts,blend015_decision_margin,blend015_points,blend015_second_prediction,blend015_second_pred_home,blend015_second_pred_away,blend015_second_expected_pts,blend02_pred_home,blend02_pred_away,blend02_prediction,blend02_expected_pts,blend02_decision_margin,blend02_points,blend02_second_prediction,blend02_second_pred_home,blend02_second_pred_away,blend02_second_expected_pts,blend025_pred_home,blend025_pred_away,blend025_prediction,blend025_expected_pts,blend025_decision_margin,blend025_points,blend025_second_prediction,blend025_second_pred_home,blend025_second_pred_away,blend025_second_expected_pts,blend03_pred_home,blend03_pred_away,blend03_prediction,blend03_expected_pts,blend03_decision_margin,blend03_points,blend03_second_prediction,blend03_second_pred_home,blend03_second_pred_away,blend03_second_expected_pts,blend035_pred_home,blend035_pred_away,blend035_prediction,blend035_expected_pts,blend035_decision_margin,blend035_points,blend035_second_prediction,blend035_second_pred_home,blend035_second_pred_away,blend035_second_expected_pts,blend04_pred_home,blend04_pred_away,blend04_prediction,blend04_expected_pts,blend04_decision_margin,blend04_points,blend04_second_prediction,blend04_second_pred_home,blend04_second_pred_away,blend04_second_expected_pts,blend045_pred_home,blend045_pred_away,blend045_prediction,blend045_expected_pts,blend045_decision_margin,blend045_points,blend045_second_prediction,blend045_second_pred_home,blend045_second_pred_away,blend045_second_expected_pts,blend05_pred_home,blend05_pred_away,blend05_prediction,blend05_expected_pts,blend05_decision_margin,blend05_points,blend05_second_prediction,blend05_second_pred_home,blend05_second_pred_away,blend05_second_expected_pts,blend055_pred_home,blend055_pred_away,blend055_prediction,blend055_expected_pts,blend055_decision_margin,blend055_points,blend055_second_prediction,blend055_second_pred_home,blend055_second_pred_away,blend055_second_expected_pts,blend06_pred_home,blend06_pred_away,blend06_prediction,blend06_expected_pts,blend06_decision_margin,blend06_points,blend06_second_prediction,blend06_second_pred_home,blend06_second_pred_away,blend06_second_expected_pts,blend065_pred_home,blend065_pred_away,blend065_prediction,blend065_expected_pts,blend065_decision_margin,blend065_points,blend065_second_prediction,blend065_second_pred_home,blend065_second_pred_away,blend065_second_expected_pts,blend07_pred_home,blend07_pred_away,blend07_prediction,blend07_expected_pts,blend07_decision_margin,blend07_points,blend07_second_prediction,blend07_second_pred_home,blend07_second_pred_away,blend07_second_expected_pts,blend075_pred_home,blend075_pred_away,blend075_prediction,blend075_expected_pts,blend075_decision_margin,blend075_points,blend075_second_prediction,blend075_second_pred_home,blend075_second_pred_away,blend075_second_expected_pts,blend08_pred_home,blend08_pred_away,blend08_prediction,blend08_expected_pts,blend08_decision_margin,blend08_points,blend08_second_prediction,blend08_second_pred_home,blend08_second_pred_away,blend08_second_expected_pts,blend085_pred_home,blend085_pred_away,blend085_prediction,blend085_expected_pts,blend085_decision_margin,blend085_points,blend085_second_prediction,blend085_second_pred_home,blend085_second_pred_away,blend085_second_expected_pts,blend09_pred_home,blend09_pred_away,blend09_prediction,blend09_expected_pts,blend09_decision_margin,blend09_points,blend09_second_prediction,blend09_second_pred_home,blend09_second_pred_away,blend09_second_expected_pts,blend095_pred_home,blend095_pred_away,blend095_prediction,blend095_expected_pts,blend095_decision_margin,blend095_points,blend095_second_prediction,blend095_second_pred_home,blend095_second_pred_away,blend095_second_expected_pts,blend10_pred_home,blend10_pred_away,blend10_prediction,blend10_expected_pts,blend10_decision_margin,blend10_points,blend10_second_prediction,blend10_second_pred_home,blend10_second_pred_away,blend10_second_expected_pts
2006,2006-06-09T18:00:00+01:00,G,1,Germany,Costa Rica,4,2,0.674673,0.184719,0.140608,2.4411,1.0458,0.745305,0.179389,0.075306,0.070632,home,home,False,-0.070632,0.00533,0.065302,2,1,2-1,0.954,0.004175,2,0,2-0,0.949825,1,2.0,1.0,2-1,1.057795,0.004629,1.0,2-0,2.0,0.0,1.053166,2.0,1.0,2-1,1.052783,0.004607,1.0,2-0,2.0,0.0,1.048175,2.0,1.0,2-1,1.04777,0.004585,1.0,2-0,2.0,0.0,1.043185,2.0,1.0,2-1,1.042758,0.004563,1.0,2-0,2.0,0.0,1.038195,2.0,1.0,2-1,1.037746,0.004541,1.0,2-0,2.0,0.0,1.033204,2.0,1.0,2-1,1.032733,0.004519,1.0,2-0,2.0,0.0,1.028214,2.0,1.0,2-1,1.027721,0.004497,1.0,2-0,2.0,0.0,1.023223,2.0,1.0,2-1,1.022708,0.004475,1.0,2-0,2.0,0.0,1.018233,2.0,1.0,2-1,1.017696,0.004454,1.0,2-0,2.0,0.0,1.013243,2.0,1.0,2-1,1.012684,0.004432,1.0,2-0,2.0,0.0,1.008252,2.0,1.0,2-1,1.007671,0.00441,1.0,2-0,2.0,0.0,1.003262,2.0,1.0,2-1,1.002659,0.004388,1.0,2-0,2.0,0.0,0.998271,2.0,1.0,2-1,0.997647,0.004366,1.0,2-0,2.0,0.0,0.993281,2.0,1.0,2-1,0.992634,0.004344,1.0,2-0,2.0,0.0,0.988291,2.0,1.0,2-1,0.987622,0.004322,1.0,2-0,2.0,0.0,0.9833,2.0,1.0,2-1,0.98261,0.0043,1.0,2-0,2.0,0.0,0.97831,2.0,1.0,2-1,0.977597,0.004278,1.0,2-0,2.0,0.0,0.973319,2.0,1.0,2-1,0.972585,0.004256,1.0,2-0,2.0,0.0,0.968329,2.0,1.0,2-1,0.967573,0.004234,1.0,2-0,2.0,0.0,0.963339,2.0,1.0,2-1,0.96256,0.004212,1.0,2-0,2.0,0.0,0.958348,2.0,1.0,2-1,0.957548,0.00419,1.0,2-0,2.0,0.0,0.953358
2006,2006-06-09T21:00:00+01:00,G,2,Poland,Ecuador,0,2,0.437105,0.278028,0.284868,1.4275,1.1047,0.488903,0.275525,0.235572,0.051799,home,home,False,-0.051799,0.002503,0.049296,2,1,2-1,0.696954,0.008482,2,0,2-0,0.688472,0,2.0,1.0,2-1,0.779658,0.009489,0.0,2-0,2.0,0.0,0.770169,2.0,1.0,2-1,0.775527,0.009439,0.0,2-0,2.0,0.0,0.766089,2.0,1.0,2-1,0.771397,0.009388,0.0,2-0,2.0,0.0,0.762009,2.0,1.0,2-1,0.767267,0.009338,0.0,2-0,2.0,0.0,0.757929,2.0,1.0,2-1,0.763137,0.009288,0.0,2-0,2.0,0.0,0.753849,2.0,1.0,2-1,0.759007,0.009237,0.0,2-0,2.0,0.0,0.749769,2.0,1.0,2-1,0.754876,0.009187,0.0,2-0,2.0,0.0,0.745689,2.0,1.0,2-1,0.750746,0.009137,0.0,2-0,2.0,0.0,0.741609,2.0,1.0,2-1,0.746616,0.009087,0.0,2-0,2.0,0.0,0.737529,2.0,1.0,2-1,0.742486,0.009036,0.0,2-0,2.0,0.0,0.733449,2.0,1.0,2-1,0.738356,0.008986,0.0,2-0,2.0,0.0,0.729369,2.0,1.0,2-1,0.734225,0.008936,0.0,2-0,2.0,0.0,0.72529,2.0,1.0,2-1,0.730095,0.008886,0.0,2-0,2.0,0.0,0.72121,2.0,1.0,2-1,0.725965,0.008835,0.0,2-0,2.0,0.0,0.71713,2.0,1.0,2-1,0.721835,0.008785,0.0,2-0,2.0,0.0,0.71305,2.0,1.0,2-1,0.717705,0.008735,0.0,2-0,2.0,0.0,0.70897,2.0,1.0,2-1,0.713574,0.008685,0.0,2-0,2.0,0.0,0.70489,2.0,1.0,2-1,0.709444,0.008634,0.0,2-0,2.0,0.0,0.70081,2.0,1.0,2-1,0.705314,0.008584,0.0,2-0,2.0,0.0,0.69673,2.0,1.0,2-1,0.701184,0.008534,0.0,2-0,2.0,0.0,0.69265,2.0,1.0,2-1,0.697054,0.008483,0.0,2-0,2.0,0.0,0.68857
2006,2006-06-10T15:00:00+01:00,G,3,England,Paraguay,1,0,0.515722,0.284762,0.199516,1.4285,0.7863,0.597613,0.267492,0.134895,0.081891,home,home,False,-0.081891,0.017271,0.06462,2,0,2-0,0.826042,0.012333,1,0,1-0,0.813709,1,2.0,0.0,2-0,0.957327,0.014294,1.0,1-0,1.0,0.0,0.943034,2.0,0.0,2-0,0.950768,0.014196,1.0,1-0,1.0,0.0,0.936572,2.0,0.0,2-0,0.944209,0.014098,1.0,1-0,1.0,0.0,0.930111,2.0,0.0,2-0,0.93765,0.014,1.0,1-0,1.0,0.0,0.92365,2.0,0.0,2-0,0.931091,0.013902,1.0,1-0,1.0,0.0,0.917189,2.0,0.0,2-0,0.924532,0.013804,1.0,1-0,1.0,0.0,0.910728,2.0,0.0,2-0,0.917972,0.013706,1.0,1-0,1.0,0.0,0.904266,2.0,0.0,2-0,0.911413,0.013608,1.0,1-0,1.0,0.0,0.897805,2.0,0.0,2-0,0.904854,0.01351,1.0,1-0,1.0,0.0,0.891344,2.0,0.0,2-0,0.898295,0.013412,1.0,1-0,1.0,0.0,0.884883,2.0,0.0,2-0,0.891736,0.013314,1.0,1-0,1.0,0.0,0.878422,2.0,0.0,2-0,0.885177,0.013216,1.0,1-0,1.0,0.0,0.87196,2.0,0.0,2-0,0.878618,0.013118,1.0,1-0,1.0,0.0,0.865499,2.0,0.0,2-0,0.872059,0.01302,1.0,1-0,1.0,0.0,0.859038,2.0,0.0,2-0,0.865499,0.012923,1.0,1-0,1.0,0.0,0.852577,2.0,0.0,2-0,0.85894,0.012825,1.0,1-0,1.0,0.0,0.846116,2.0,0.0,2-0,0.852381,0.012727,1.0,1-0,1.0,0.0,0.839655,2.0,0.0,2-0,0.845822,0.012629,1.0,1-0,1.0,0.0,0.833193,2.0,0.0,2-0,0.839263,0.012531,1.0,1-0,1.0,0.0,0.826732,2.0,0.0,2-0,0.832704,0.012433,1.0,1-0,1.0,0.0,0.820271,2.0,0.0,2-0,0.826145,0.012335,1.0,1-0,1.0,0.0,0.81381
2006,2006-06-10T18:00:00+01:00,G,4,Trinidad and Tobago,Sweden,0,0,0.06269,0.162364,0.774945,0.5172,2.3109,,,,,away,,,,,,0,2,0-2,1.170274,0.075021,0,3,0-3,1.095253,0,0.0,2.0,0-2,1.170274,0.075021,0.0,0-3,0.0,3.0,1.095253,0.0,2.0,0-2,1.170274,0.075021,0.0,0-3,0.0,3.0,1.095253,0.0,2.0,0-2,1.170274,0.075021,0.0,0-3,0.0,3.0,1.095253,0.0,2.0,0-2,1.170274,0.075021,0.0,0-3,0.0,3.0,1.095253,0.0,2.0,0-2,1.170274,0.075021,0.0,0-3,0.0,3.0,1.095253,0.0,2.0,0-2,1.170274,0.075021,0.0,0-3,0.0,3.0,1.095253,0.0,2.0,0-2,1.170274,0.075021,0.0,0-3,0.0,3.0,1.095253,0.0,2.0,0-2,1.170274,0.075021,0.0,0-3,0.0,3.0,1.095253,0.0,2.0,0-2,1.170274,0.075021,0.0,0-3,0.0,3.0,1.095253,0.0,2.0,0-2,1.170274,0.075021,0.0,0-3,0.0,3.0,1.095253,0.0,2.0,0-2,1.170274,0.075021,0.0,0-3,0.0,3.0,1.095253,0.0,2.0,0-2,1.170274,0.075021,0.0,0-3,0.0,3.0,1.095253,0.0,2.0,0-2,1.170274,0.075021,0.0,0-3,0.0,3.0,1.095253,0.0,2.0,0-2,1.170274,0.075021,0.0,0-3,0.0,3.0,1.095253,0.0,2.0,0-2,1.170274,0.075021,0.0,0-3,0.0,3.0,1.095253,0.0,2.0,0-2,1.170274,0.075021,0.0,0-3,0.0,3.0,1.095253,0.0,2.0,0-2,1.170274,0.075021,0.0,0-3,0.0,3.0,1.095253,0.0,2.0,0-2,1.170274,0.075021,0.0,0-3,0.0,3.0,1.095253,0.0,2.0,0-2,1.170274,0.075021,0.0,0-3,0.0,3.0,1.095253,0.0,2.0,0-2,1.170274,0.075021,0.0,0-3,0.0,3.0,1.095253,0.0,2.0,0-2,1.170274,0.075021,0.0,0-3,0.0,3.0,1.095253
2006,2006-06-10T21:00:00+01:00,G,5,Argentina,Ivory Coast,2,1,0.601302,0.229254,0.169444,1.9185,0.9203,,,,,home,,,,,,2,0,2-0,0.915163,0.008579,2,1,2-1,0.906584,2,2.0,0.0,2-0,0.915163,0.008579,2.0,2-1,2.0,1.0,0.906584,2.0,0.0,2-0,0.915163,0.008579,2.0,2-1,2.0,1.0,0.906584,2.0,0.0,2-0,0.915163,0.008579,2.0,2-1,2.0,1.0,0.906584,2.0,0.0,2-0,0.915163,0.008579,2.0,2-1,2.0,1.0,0.906584,2.0,0.0,2-0,0.915163,0.008579,2.0,2-1,2.0,1.0,0.906584,2.0,0.0,2-0,0.915163,0.008579,2.0,2-1,2.0,1.0,0.906584,2.0,0.0,2-0,0.915163,0.008579,2.0,2-1,2.0,1.0,0.906584,2.0,0.0,2-0,0.915163,0.008579,2.0,2-1,2.0,1.0,0.906584,2.0,0.0,2-0,0.915163,0.008579,2.0,2-1,2.0,1.0,0.906584,2.0,0.0,2-0,0.915163,0.008579,2.0,2-1,2.0,1.0,0.906584,2.0,0.0,2-0,0.915163,0.008579,2.0,2-1,2.0,1.0,0.906584,2.0,0.0,2-0,0.915163,0.008579,2.0,2-1,2.0,1.0,0.906584,2.0,0.0,2-0,0.915163,0.008579,2.0,2-1,2.0,1.0,0.906584,2.0,0.0,2-0,0.915163,0.008579,2.0,2-1,2.0,1.0,0.906584,2.0,0.0,2-0,0.915163,0.008579,2.0,2-1,2.0,1.0,0.906584,2.0,0.0,2-0,0.915163,0.008579,2.0,2-1,2.0,1.0,0.906584,2.0,0.0,2-0,0.915163,0.008579,2.0,2-1,2.0,1.0,0.906584,2.0,0.0,2-0,0.915163,0.008579,2.0,2-1,2.0,1.0,0.906584,2.0,0.0,2-0,0.915163,0.008579,2.0,2-1,2.0,1.0,0.906584,2.0,0.0,2-0,0.915163,0.008579,2.0,2-1,2.0,1.0,0.906584,2.0,0.0,2-0,0.915163,0.008579,2.0,2-1,2.0,1.0,0.906584
2006,2006-06-11T15:00:00+01:00,G,6,Serbia,Netherlands,0,1,0.171486,0.272504,0.55601,0.7254,1.5185,0.193542,0.30711,0.499348,0.056662,away,away,False,-0.022056,-0.034606,0.056662,0,2,0-2,0.88912,0.024379,0,1,0-1,0.864741,1,0.0,2.0,0-2,0.798659,0.021899,1.0,0-1,0.0,1.0,0.77676,0.0,2.0,0-2,0.803191,0.022023,1.0,0-1,0.0,1.0,0.781167,0.0,2.0,0-2,0.807722,0.022147,1.0,0-1,0.0,1.0,0.785574,0.0,2.0,0-2,0.812253,0.022272,1.0,0-1,0.0,1.0,0.789981,0.0,2.0,0-2,0.816784,0.022396,1.0,0-1,0.0,1.0,0.794389,0.0,2.0,0-2,0.821316,0.02252,1.0,0-1,0.0,1.0,0.798796,0.0,2.0,0-2,0.825847,0.022644,1.0,0-1,0.0,1.0,0.803203,0.0,2.0,0-2,0.830378,0.022769,1.0,0-1,0.0,1.0,0.80761,0.0,2.0,0-2,0.834909,0.022893,1.0,0-1,0.0,1.0,0.812017,0.0,2.0,0-2,0.839441,0.023017,1.0,0-1,0.0,1.0,0.816424,0.0,2.0,0-2,0.843972,0.023141,1.0,0-1,0.0,1.0,0.820831,0.0,2.0,0-2,0.848503,0.023266,1.0,0-1,0.0,1.0,0.825238,0.0,2.0,0-2,0.853035,0.02339,1.0,0-1,0.0,1.0,0.829645,0.0,2.0,0-2,0.857566,0.023514,1.0,0-1,0.0,1.0,0.834052,0.0,2.0,0-2,0.862097,0.023638,1.0,0-1,0.0,1.0,0.838459,0.0,2.0,0-2,0.866628,0.023763,1.0,0-1,0.0,1.0,0.842866,0.0,2.0,0-2,0.87116,0.023887,1.0,0-1,0.0,1.0,0.847273,0.0,2.0,0-2,0.875691,0.024011,1.0,0-1,0.0,1.0,0.85168,0.0,2.0,0-2,0.880222,0.024135,1.0,0-1,0.0,1.0,0.856087,0.0,2.0,0-2,0.884753,0.02426,1.0,0-1,0.0,1.0,0.860494,0.0,2.0,0-2,0.889285,0.024384,1.0,0-1,0.0,1.0,0.864901
2006,2006-06-11T18:00:00+01:00,G,7,Mexico,Iran,3,1,0.517396,0.264727,0.217877,1.5911,0.9468,,,,,home,,,,,,2,0,2-0,0.812056,0.005322,2,1,2-1,0.806735,1,2.0,0.0,2-0,0.812056,0.005322,1.0,2-1,2.0,1.0,0.806735,2.0,0.0,2-0,0.812056,0.005322,1.0,2-1,2.0,1.0,0.806735,2.0,0.0,2-0,0.812056,0.005322,1.0,2-1,2.0,1.0,0.806735,2.0,0.0,2-0,0.812056,0.005322,1.0,2-1,2.0,1.0,0.806735,2.0,0.0,2-0,0.812056,0.005322,1.0,2-1,2.0,1.0,0.806735,2.0,0.0,2-0,0.812056,0.005322,1.0,2-1,2.0,1.0,0.806735,2.0,0.0,2-0,0.812056,0.005322,1.0,2-1,2.0,1.0,0.806735,2.0,0.0,2-0,0.812056,0.005322,1.0,2-1,2.0,1.0,0.806735,2.0,0.0,2-0,0.812056,0.005322,1.0,2-1,2.0,1.0,0.806735,2.0,0.0,2-0,0.812056,0.005322,1.0,2-1,2.0,1.0,0.806735,2.0,0.0,2-0,0.812056,0.005322,1.0,2-1,2.0,1.0,0.806735,2.0,0.0,2-0,0.812056,0.005322,1.0,2-1,2.0,1.0,0.806735,2.0,0.0,2-0,0.812056,0.005322,1.0,2-1,2.0,1.0,0.806735,2.0,0.0,2-0,0.812056,0.005322,1.0,2-1,2.0,1.0,0.806735,2.0,0.0,2-0,0.812056,0.005322,1.0,2-1,2.0,1.0,0.806735,2.0,0.0,2-0,0.812056,0.005322,1.0,2-1,2.0,1.0,0.806735,2.0,0.0,2-0,0.812056,0.005322,1.0,2-1,2.0,1.0,0.806735,2.0,0.0,2-0,0.812056,0.005322,1.0,2-1,2.0,1.0,0.806735,2.0,0.0,2-0,0.812056,0.005322,1.0,2-1,2.0,1.0,0.806735,2.0,0.0,2-0,0.812056,0.005322,1.0,2-1,2.0,1.0,0.806735,2.0,0.0,2-0,0.812056,0.005322,1.0,2-1,2.0,1.0,0.806735
2006,2006-06-11T21:00:00+01:00,G,8,Angola,Portugal,0,1,0.094147,0.19257,0.713283,0.6388,2.1239,0.077415,0.225561,0.697025,0.032991,away,away,False,0.016733,-0.032991,0.016258,0,2,0-2,1.087835,0.05143,1,2,1-2,1.036404,1,0.0,2.0,0-2,1.064737,0.050338,1.0,1-2,1.0,2.0,1.014398,0.0,2.0,0-2,1.065978,0.050397,1.0,1-2,1.0,2.0,1.015581,0.0,2.0,0-2,1.06722,0.050456,1.0,1-2,1.0,2.0,1.016764,0.0,2.0,0-2,1.068462,0.050515,1.0,1-2,1.0,2.0,1.017947,0.0,2.0,0-2,1.069704,0.050573,1.0,1-2,1.0,2.0,1.01913,0.0,2.0,0-2,1.070945,0.050632,1.0,1-2,1.0,2.0,1.020313,0.0,2.0,0-2,1.072187,0.050691,1.0,1-2,1.0,2.0,1.021496,0.0,2.0,0-2,1.073429,0.050749,1.0,1-2,1.0,2.0,1.022679,0.0,2.0,0-2,1.074671,0.050808,1.0,1-2,1.0,2.0,1.023863,0.0,2.0,0-2,1.075912,0.050867,1.0,1-2,1.0,2.0,1.025046,0.0,2.0,0-2,1.077154,0.050925,1.0,1-2,1.0,2.0,1.026229,0.0,2.0,0-2,1.078396,0.050984,1.0,1-2,1.0,2.0,1.027412,0.0,2.0,0-2,1.079638,0.051043,1.0,1-2,1.0,2.0,1.028595,0.0,2.0,0-2,1.080879,0.051102,1.0,1-2,1.0,2.0,1.029778,0.0,2.0,0-2,1.082121,0.05116,1.0,1-2,1.0,2.0,1.030961,0.0,2.0,0-2,1.083363,0.051219,1.0,1-2,1.0,2.0,1.032144,0.0,2.0,0-2,1.084605,0.051278,1.0,1-2,1.0,2.0,1.033327,0.0,2.0,0-2,1.085846,0.051336,1.0,1-2,1.0,2.0,1.03451,0.0,2.0,0-2,1.087088,0.051395,1.0,1-2,1.0,2.0,1.035693,0.0,2.0,0-2,1.08833,0.051454,1.0,1-2,1.0,2.0,1.036876,0.0,2.0,0-2,1.089572,0.051513,1.0,1-2,1.0,2.0,1.038059
2006,2006-06-12T21:00:00+01:00,G,9,Italy,Ghana,2,0,0.600602,0.279521,0.119877,1.4355,0.4906,0.616854,0.263371,0.119775,0.016252,home,home,False,-0.016252,0.016151,0.000102,1,0,1-0,1.007278,0.03281,2,0,2-0,0.974469,1,1.0,0.0,1-0,1.034666,0.033702,1.0,2-0,2.0,0.0,1.000964,1.0,0.0,1-0,1.033303,0.033657,1.0,2-0,2.0,0.0,0.999646,1.0,0.0,1-0,1.03194,0.033613,1.0,2-0,2.0,0.0,0.998327,1.0,0.0,1-0,1.030577,0.033569,1.0,2-0,2.0,0.0,0.997008,1.0,0.0,1-0,1.029214,0.033524,1.0,2-0,2.0,0.0,0.99569,1.0,0.0,1-0,1.027851,0.03348,1.0,2-0,2.0,0.0,0.994371,1.0,0.0,1-0,1.026488,0.033435,1.0,2-0,2.0,0.0,0.993052,1.0,0.0,1-0,1.025125,0.033391,1.0,2-0,2.0,0.0,0.991734,1.0,0.0,1-0,1.023762,0.033347,1.0,2-0,2.0,0.0,0.990415,1.0,0.0,1-0,1.022399,0.033302,1.0,2-0,2.0,0.0,0.989096,1.0,0.0,1-0,1.021036,0.033258,1.0,2-0,2.0,0.0,0.987778,1.0,0.0,1-0,1.019673,0.033213,1.0,2-0,2.0,0.0,0.986459,1.0,0.0,1-0,1.01831,0.033169,1.0,2-0,2.0,0.0,0.985141,1.0,0.0,1-0,1.016947,0.033125,1.0,2-0,2.0,0.0,0.983822,1.0,0.0,1-0,1.015584,0.03308,1.0,2-0,2.0,0.0,0.982503,1.0,0.0,1-0,1.014221,0.033036,1.0,2-0,2.0,0.0,0.981185,1.0,0.0,1-0,1.012858,0.032991,1.0,2-0,2.0,0.0,0.979866,1.0,0.0,1-0,1.011495,0.032947,1.0,2-0,2.0,0.0,0.978547,1.0,0.0,1-0,1.010132,0.032903,1.0,2-0,2.0,0.0,0.977229,1.0,0.0,1-0,1.008768,0.032858,1.0,2-0,2.0,0.0,0.97591,1.0,0.0,1-0,1.007405,0.032814,1.0,2-0,2.0,0.0,0.974592
2006,2006-06-12T18:00:00+01:00,G,10,United States,Czech Republic,0,3,0.210413,0.319249,0.470338,0.7024,1.194,,,,,away,,,,,,0,1,0-1,0.814541,0.055067,0,2,0-2,0.759474,1,0.0,1.0,0-1,0.814541,0.055067,1.0,0-2,0.0,2.0,0.759474,0.0,1.0,0-1,0.814541,0.055067,1.0,0-2,0.0,2.0,0.759474,0.0,1.0,0-1,0.814541,0.055067,1.0,0-2,0.0,2.0,0.759474,0.0,1.0,0-1,0.814541,0.055067,1.0,0-2,0.0,2.0,0.759474,0.0,1.0,0-1,0.814541,0.055067,1.0,0-2,0.0,2.0,0.759474,0.0,1.0,0-1,0.814541,0.055067,1.0,0-2,0.0,2.0,0.759474,0.0,1.0,0-1,0.814541,0.055067,1.0,0-2,0.0,2.0,0.759474,0.0,1.0,0-1,0.814541,0.055067,1.0,0-2,0.0,2.0,0.759474,0.0,1.0,0-1,0.814541,0.055067,1.0,0-2,0.0,2.0,0.759474,0.0,1.0,0-1,0.814541,0.055067,1.0,0-2,0.0,2.0,0.759474,0.0,1.0,0-1,0.814541,0.055067,1.0,0-2,0.0,2.0,0.759474,0.0,1.0,0-1,0.814541,0.055067,1.0,0-2,0.0,2.0,0.759474,0.0,1.0,0-1,0.814541,0.055067,1.0,0-2,0.0,2.0,0.759474,0.0,1.0,0-1,0.814541,0.055067,1.0,0-2,0.0,2.0,0.759474,0.0,1.0,0-1,0.814541,0.055067,1.0,0-2,0.0,2.0,0.759474,0.0,1.0,0-1,0.814541,0.055067,1.0,0-2,0.0,2.0,0.759474,0.0,1.0,0-1,0.814541,0.055067,1.0,0-2,0.0,2.0,0.759474,0.0,1.0,0-1,0.814541,0.055067,1.0,0-2,0.0,2.0,0.759474,0.0,1.0,0-1,0.814541,0.055067,1.0,0-2,0.0,2.0,0.759474,0.0,1.0,0-1,0.814541,0.055067,1.0,0-2,0.0,2.0,0.759474,0.0,1.0,0-1,0.814541,0.055067,1.0,0-2,0.0,2.0,0.759474
