year,date,phase,game_id,home_team,away_team,actual_home,actual_away,model_home,model_draw,model_away,lambda_home,lambda_away,book_home,book_draw,book_away,tvd,model_favorite,book_favorite,favorite_flip,diff_home,diff_draw,diff_away,model_pred_home,model_pred_away,model_prediction,model_expected_pts,model_decision_margin,model_second_pred_home,model_second_pred_away,model_second_prediction,model_second_expected_pts,model_points,blend00_pred_home,blend00_pred_away,blend00_prediction,blend00_expected_pts,blend00_decision_margin,blend00_points,blend00_second_prediction,blend00_second_pred_home,blend00_second_pred_away,blend00_second_expected_pts,blend005_pred_home,blend005_pred_away,blend005_prediction,blend005_expected_pts,blend005_decision_margin,blend005_points,blend005_second_prediction,blend005_second_pred_home,blend005_second_pred_away,blend005_second_expected_pts,blend01_pred_home,blend01_pred_away,blend01_prediction,blend01_expected_pts,blend01_decision_margin,blend01_points,blend01_second_prediction,blend01_second_pred_home,blend01_second_pred_away,blend01_second_expected_pts,blend015_pred_home,blend015_pred_away,blend015_prediction,blend015_expected_pts,blend015_decision_margin,blend015_points,blend015_second_prediction,blend015_second_pred_home,blend015_second_pred_away,blend015_second_expected_pts,blend02_pred_home,blend02_pred_away,blend02_prediction,blend02_expected_pts,blend02_decision_margin,blend02_points,blend02_second_prediction,blend02_second_pred_home,blend02_second_pred_away,blend02_second_expected_pts,blend025_pred_home,blend025_pred_away,blend025_prediction,blend025_expected_pts,blend025_decision_margin,blend025_points,blend025_second_prediction,blend025_second_pred_home,blend025_second_pred_away,blend025_second_expected_pts,blend03_pred_home,blend03_pred_away,blend03_prediction,blend03_expected_pts,blend03_decision_margin,blend03_points,blend03_second_prediction,blend03_second_pred_home,blend03_second_pred_away,blend03_second_expected_pts,blend035_pred_home,blend035_pred_away,blend035_prediction,blend035_expected_pts,blend035_decision_margin,blend035_points,blend035_second_prediction,blend035_second_pred_home,blend035_second_pred_away,blend035_second_expected_pts,blend04_pred_home,blend04_pred_away,blend04_prediction,blend04_expected_pts,blend04_decision_margin,blend04_points,blend04_second_prediction,blend04_second_pred_home,blend04_second_pred_away,blend04_second_expected_pts,blend045_pred_home,blend045_pred_away,blend045_prediction,blend045_expected_pts,blend045_decision_margin,blend045_points,blend045_second_prediction,blend045_second_pred_home,blend045_second_pred_away,blend045_second_expected_pts,blend05_pred_home,blend05_pred_away,blend05_prediction,blend05_expected_pts,blend05_decision_margin,blend05_points,blend05_second_prediction,blend05_second_pred_home,blend05_second_pred_away,blend05_second_expected_pts,blend055_pred_home,blend055_pred_away,blend055_prediction,blend055_expected_pts,blend055_decision_margin,blend055_points,blend055_second_prediction,blend055_second_pred_home,blend055_second_pred_away,blend055_second_expected_pts,blend06_pred_home,blend06_pred_away,blend06_prediction,blend06_expected_pts,blend06_decision_margin,blend06_points,blend06_second_prediction,blend06_second_pred_home,blend06_second_pred_away,blend06_second_expected_pts,blend065_pred_home,blend065_pred_away,blend065_prediction,blend065_expected_pts,blend065_decision_margin,blend065_points,blend065_second_prediction,blend065_second_pred_home,blend065_second_pred_away,blend065_second_expected_pts,blend07_pred_home,blend07_pred_away,blend07_prediction,blend07_expected_pts,blend07_decision_margin,blend07_points,blend07_second_prediction,blend07_second_pred_home,blend07_second_pred_away,blend07_second_expected_pts,blend075_pred_home,blend075_pred_away,blend075_prediction,blend075_expected_pts,blend075_decision_margin,blend075_points,blend075_second_prediction,blend075_second_pred_home,blend075_second_pred_away,blend075_second_expected_pts,blend08_pred_home,blend08_pred_away,blend08_prediction,blend08_expected_pts,blend08_decision_margin,blend08_points,blend08_second_prediction,blend08_second_pred_home,blend08_second_pred_away,blend08_second_expected_pts,blend085_pred_home,blend085_pred_away,blend085_prediction,blend085_expected_pts,blend085_decision_margin,blend085_points,blend085_second_prediction,blend085_second_pred_home,blend085_second_pred_away,blend085_second_expected_pts,blend09_pred_home,blend09_pred_away,blend09_prediction,blend09_expected_pts,blend09_decision_margin,blend09_points,blend09_second_prediction,blend09_second_pred_home,blend09_second_pred_away,blend09_second_expected_pts,blend095_pred_home,blend095_pred_away,blend095_prediction,blend095_expected_pts,blend095_decision_margin,blend095_points,blend095_second_prediction,blend095_second_pred_home,blend095_second_pred_away,blend095_second_expected_pts,blend10_pred_home,blend10_pred_away,blend10_prediction,blend10_expected_pts,blend10_decision_margin,blend10_points,blend10_second_prediction,blend10_second_pred_home,blend10_second_pred_away,blend10_second_expected_pts
2006,2006-06-09T18:00:00+01:00,G,1,Germany,Costa Rica,4,2,0.701666,0.163405,0.134929,2.8073,1.2027,0.745305,0.179389,0.075306,0.059623,home,home,False,-0.043639,-0.015984,0.059623,3,1,3-1,0.971911,0.013552,3,0,3-0,0.95836,1,3,1,3-1,1.040985,0.014515,1,3-0,3,0,1.02647,3,1,3-1,1.037938,0.014472,1,3-0,3,0,1.023465,3,1,3-1,1.03489,0.01443,1,3-0,3,0,1.02046,3,1,3-1,1.031842,0.014387,1,3-0,3,0,1.017455,3,1,3-1,1.028795,0.014345,1,3-0,3,0,1.01445,3,1,3-1,1.025747,0.014302,1,3-0,3,0,1.011445,3,1,3-1,1.022699,0.01426,1,3-0,3,0,1.00844,3,1,3-1,1.019652,0.014217,1,3-0,3,0,1.005435,3,1,3-1,1.016604,0.014175,1,3-0,3,0,1.00243,3,1,3-1,1.013557,0.014132,1,3-0,3,0,0.999424,3,1,3-1,1.010509,0.01409,1,3-0,3,0,0.996419,3,1,3-1,1.007461,0.014047,1,3-0,3,0,0.993414,3,1,3-1,1.004414,0.014005,1,3-0,3,0,0.990409,3,1,3-1,1.001366,0.013962,1,3-0,3,0,0.987404,3,1,3-1,0.998319,0.01392,1,3-0,3,0,0.984399,3,1,3-1,0.995271,0.013877,1,3-0,3,0,0.981394,3,1,3-1,0.992223,0.013835,1,3-0,3,0,0.978389,3,1,3-1,0.989176,0.013792,1,3-0,3,0,0.975383,3,1,3-1,0.986128,0.01375,1,3-0,3,0,0.972378,3,1,3-1,0.983081,0.013707,1,3-0,3,0,0.969373,3,1,3-1,0.980033,0.013665,1,3-0,3,0,0.966368
2006,2006-06-09T21:00:00+01:00,G,2,Poland,Ecuador,0,2,0.45447,0.255419,0.290111,1.6417,1.2705,0.488903,0.275525,0.235572,0.054539,home,home,False,-0.034434,-0.020105,0.054539,2,1,2-1,0.713685,0.019811,2,0,2-0,0.693874,0,2,1,2-1,0.768038,0.02132,0,2-0,2,0,0.746718,2,1,2-1,0.765333,0.021245,0,2-0,2,0,0.744088,2,1,2-1,0.762629,0.02117,0,2-0,2,0,0.741459,2,1,2-1,0.759924,0.021095,0,2-0,2,0,0.738829,2,1,2-1,0.757219,0.02102,0,2-0,2,0,0.736199,2,1,2-1,0.754515,0.020945,0,2-0,2,0,0.73357,2,1,2-1,0.75181,0.02087,0,2-0,2,0,0.73094,2,1,2-1,0.749105,0.020795,0,2-0,2,0,0.728311,2,1,2-1,0.746401,0.02072,0,2-0,2,0,0.725681,2,1,2-1,0.743696,0.020644,0,2-0,2,0,0.723052,2,1,2-1,0.740991,0.020569,0,2-0,2,0,0.720422,2,1,2-1,0.738287,0.020494,0,2-0,2,0,0.717792,2,1,2-1,0.735582,0.020419,0,2-0,2,0,0.715163,2,1,2-1,0.732877,0.020344,0,2-0,2,0,0.712533,2,1,2-1,0.730173,0.020269,0,2-0,2,0,0.709904,2,1,2-1,0.727468,0.020194,0,2-0,2,0,0.707274,2,1,2-1,0.724763,0.020119,0,2-0,2,0,0.704645,2,1,2-1,0.722059,0.020044,0,2-0,2,0,0.702015,2,1,2-1,0.719354,0.019969,0,2-0,2,0,0.699385,2,1,2-1,0.716649,0.019894,0,2-0,2,0,0.696756,2,1,2-1,0.713945,0.019819,0,2-0,2,0,0.694126
2006,2006-06-10T15:00:00+01:00,G,3,England,Paraguay,1,0,0.540998,0.258928,0.200074,1.6428,0.9042,0.597613,0.267492,0.134895,0.065178,home,home,False,-0.056615,-0.008563,0.065178,2,0,2-0,0.847744,0.010125,2,1,2-1,0.837619,1,2,0,2-0,0.936755,0.011188,1,2-1,2,1,0.925566,2,0,2-0,0.932318,0.011135,1,2-1,2,1,0.921182,2,0,2-0,0.92788,0.011082,1,2-1,2,1,0.916798,2,0,2-0,0.923443,0.011029,1,2-1,2,1,0.912414,2,0,2-0,0.919006,0.010976,1,2-1,2,1,0.90803,2,0,2-0,0.914569,0.010923,1,2-1,2,1,0.903646,2,0,2-0,0.910132,0.01087,1,2-1,2,1,0.899261,2,0,2-0,0.905695,0.010817,1,2-1,2,1,0.894877,2,0,2-0,0.901257,0.010764,1,2-1,2,1,0.890493,2,0,2-0,0.89682,0.010711,1,2-1,2,1,0.886109,2,0,2-0,0.892383,0.010658,1,2-1,2,1,0.881725,2,0,2-0,0.887946,0.010605,1,2-1,2,1,0.877341,2,0,2-0,0.883509,0.010552,1,2-1,2,1,0.872956,2,0,2-0,0.879072,0.010499,1,2-1,2,1,0.868572,2,0,2-0,0.874634,0.010446,1,2-1,2,1,0.864188,2,0,2-0,0.870197,0.010393,1,2-1,2,1,0.859804,2,0,2-0,0.86576,0.01034,1,2-1,2,1,0.85542,2,0,2-0,0.861323,0.010287,1,2-1,2,1,0.851035,2,0,2-0,0.856886,0.010234,1,2-1,2,1,0.846651,2,0,2-0,0.852448,0.010181,1,2-1,2,1,0.842267,2,0,2-0,0.848011,0.010128,1,2-1,2,1,0.837883
2006,2006-06-10T18:00:00+01:00,G,4,Trinidad and Tobago,Sweden,0,0,0.057092,0.136434,0.806474,0.5948,2.6575,,,,,away,,,,,,0,2,0-2,1.156056,0.019063,0,3,0-3,1.136992,0,0,2,0-2,1.156056,0.019063,0,0-3,0,3,1.136992,0,2,0-2,1.156056,0.019063,0,0-3,0,3,1.136992,0,2,0-2,1.156056,0.019063,0,0-3,0,3,1.136992,0,2,0-2,1.156056,0.019063,0,0-3,0,3,1.136992,0,2,0-2,1.156056,0.019063,0,0-3,0,3,1.136992,0,2,0-2,1.156056,0.019063,0,0-3,0,3,1.136992,0,2,0-2,1.156056,0.019063,0,0-3,0,3,1.136992,0,2,0-2,1.156056,0.019063,0,0-3,0,3,1.136992,0,2,0-2,1.156056,0.019063,0,0-3,0,3,1.136992,0,2,0-2,1.156056,0.019063,0,0-3,0,3,1.136992,0,2,0-2,1.156056,0.019063,0,0-3,0,3,1.136992,0,2,0-2,1.156056,0.019063,0,0-3,0,3,1.136992,0,2,0-2,1.156056,0.019063,0,0-3,0,3,1.136992,0,2,0-2,1.156056,0.019063,0,0-3,0,3,1.136992,0,2,0-2,1.156056,0.019063,0,0-3,0,3,1.136992,0,2,0-2,1.156056,0.019063,0,0-3,0,3,1.136992,0,2,0-2,1.156056,0.019063,0,0-3,0,3,1.136992,0,2,0-2,1.156056,0.019063,0,0-3,0,3,1.136992,0,2,0-2,1.156056,0.019063,0,0-3,0,3,1.136992,0,2,0-2,1.156056,0.019063,0,0-3,0,3,1.136992,0,2,0-2,1.156056,0.019063,0,0-3,0,3,1.136992
2006,2006-06-10T21:00:00+01:00,G,5,Argentina,Ivory Coast,2,1,0.628186,0.20572,0.166094,2.2062,1.0584,,,,,home,,,,,,2,1,2-1,0.916765,0.005427,2,0,2-0,0.911339,3,2,1,2-1,0.916765,0.005427,3,2-0,2,0,0.911339,2,1,2-1,0.916765,0.005427,3,2-0,2,0,0.911339,2,1,2-1,0.916765,0.005427,3,2-0,2,0,0.911339,2,1,2-1,0.916765,0.005427,3,2-0,2,0,0.911339,2,1,2-1,0.916765,0.005427,3,2-0,2,0,0.911339,2,1,2-1,0.916765,0.005427,3,2-0,2,0,0.911339,2,1,2-1,0.916765,0.005427,3,2-0,2,0,0.911339,2,1,2-1,0.916765,0.005427,3,2-0,2,0,0.911339,2,1,2-1,0.916765,0.005427,3,2-0,2,0,0.911339,2,1,2-1,0.916765,0.005427,3,2-0,2,0,0.911339,2,1,2-1,0.916765,0.005427,3,2-0,2,0,0.911339,2,1,2-1,0.916765,0.005427,3,2-0,2,0,0.911339,2,1,2-1,0.916765,0.005427,3,2-0,2,0,0.911339,2,1,2-1,0.916765,0.005427,3,2-0,2,0,0.911339,2,1,2-1,0.916765,0.005427,3,2-0,2,0,0.911339,2,1,2-1,0.916765,0.005427,3,2-0,2,0,0.911339,2,1,2-1,0.916765,0.005427,3,2-0,2,0,0.911339,2,1,2-1,0.916765,0.005427,3,2-0,2,0,0.911339,2,1,2-1,0.916765,0.005427,3,2-0,2,0,0.911339,2,1,2-1,0.916765,0.005427,3,2-0,2,0,0.911339,2,1,2-1,0.916765,0.005427,3,2-0,2,0,0.911339
2006,2006-06-11T15:00:00+01:00,G,6,Serbia,Netherlands,0,1,0.170206,0.245975,0.583819,0.8342,1.7463,0.193542,0.30711,0.499348,0.084471,away,away,False,-0.023336,-0.061134,0.084471,0,2,0-2,0.910843,0.019145,1,2,1-2,0.891698,1,0,2,0-2,0.779418,0.016383,1,1-2,1,2,0.763035,0,2,0-2,0.786011,0.016522,1,1-2,1,2,0.769489,0,2,0-2,0.792603,0.01666,1,1-2,1,2,0.775943,0,2,0-2,0.799195,0.016799,1,1-2,1,2,0.782397,0,2,0-2,0.805788,0.016937,1,1-2,1,2,0.788851,0,2,0-2,0.81238,0.017076,1,1-2,1,2,0.795304,0,2,0-2,0.818973,0.017214,1,1-2,1,2,0.801758,0,2,0-2,0.825565,0.017353,1,1-2,1,2,0.808212,0,2,0-2,0.832157,0.017492,1,1-2,1,2,0.814666,0,2,0-2,0.83875,0.01763,1,1-2,1,2,0.82112,0,2,0-2,0.845342,0.017769,1,1-2,1,2,0.827574,0,2,0-2,0.851935,0.017907,1,1-2,1,2,0.834027,0,2,0-2,0.858527,0.018046,1,1-2,1,2,0.840481,0,2,0-2,0.865119,0.018184,1,1-2,1,2,0.846935,0,2,0-2,0.871712,0.018323,1,1-2,1,2,0.853389,0,2,0-2,0.878304,0.018462,1,1-2,1,2,0.859843,0,2,0-2,0.884897,0.0186,1,1-2,1,2,0.866297,0,2,0-2,0.891489,0.018739,1,1-2,1,2,0.87275,0,2,0-2,0.898081,0.018877,1,1-2,1,2,0.879204,0,2,0-2,0.904674,0.019016,1,1-2,1,2,0.885658,0,2,0-2,0.911266,0.019154,1,1-2,1,2,0.892112
2006,2006-06-11T18:00:00+01:00,G,7,Mexico,Iran,3,1,0.540714,0.241005,0.218281,1.8298,1.0888,,,,,home,,,,,,2,1,2-1,0.827669,0.008031,2,0,2-0,0.819638,1,2,1,2-1,0.827669,0.008031,1,2-0,2,0,0.819638,2,1,2-1,0.827669,0.008031,1,2-0,2,0,0.819638,2,1,2-1,0.827669,0.008031,1,2-0,2,0,0.819638,2,1,2-1,0.827669,0.008031,1,2-0,2,0,0.819638,2,1,2-1,0.827669,0.008031,1,2-0,2,0,0.819638,2,1,2-1,0.827669,0.008031,1,2-0,2,0,0.819638,2,1,2-1,0.827669,0.008031,1,2-0,2,0,0.819638,2,1,2-1,0.827669,0.008031,1,2-0,2,0,0.819638,2,1,2-1,0.827669,0.008031,1,2-0,2,0,0.819638,2,1,2-1,0.827669,0.008031,1,2-0,2,0,0.819638,2,1,2-1,0.827669,0.008031,1,2-0,2,0,0.819638,2,1,2-1,0.827669,0.008031,1,2-0,2,0,0.819638,2,1,2-1,0.827669,0.008031,1,2-0,2,0,0.819638,2,1,2-1,0.827669,0.008031,1,2-0,2,0,0.819638,2,1,2-1,0.827669,0.008031,1,2-0,2,0,0.819638,2,1,2-1,0.827669,0.008031,1,2-0,2,0,0.819638,2,1,2-1,0.827669,0.008031,1,2-0,2,0,0.819638,2,1,2-1,0.827669,0.008031,1,2-0,2,0,0.819638,2,1,2-1,0.827669,0.008031,1,2-0,2,0,0.819638,2,1,2-1,0.827669,0.008031,1,2-0,2,0,0.819638,2,1,2-1,0.827669,0.008031,1,2-0,2,0,0.819638
2006,2006-06-11T21:00:00+01:00,G,8,Angola,Portugal,0,1,0.088531,0.166686,0.744783,0.7346,2.4425,0.077415,0.225561,0.697025,0.058875,away,away,False,0.011117,-0.058875,0.047758,0,2,0-2,1.082228,0.033021,1,2,1-2,1.049207,1,0,2,0-2,1.016598,0.031018,1,1-2,1,2,0.98558,0,2,0-2,1.020081,0.031125,1,1-2,1,2,0.988956,0,2,0-2,1.023563,0.031231,1,1-2,1,2,0.992333,0,2,0-2,1.027046,0.031337,1,1-2,1,2,0.995709,0,2,0-2,1.030529,0.031443,1,1-2,1,2,0.999086,0,2,0-2,1.034012,0.03155,1,1-2,1,2,1.002462,0,2,0-2,1.037494,0.031656,1,1-2,1,2,1.005839,0,2,0-2,1.040977,0.031762,1,1-2,1,2,1.009215,0,2,0-2,1.04446,0.031868,1,1-2,1,2,1.012591,0,2,0-2,1.047943,0.031975,1,1-2,1,2,1.015968,0,2,0-2,1.051425,0.032081,1,1-2,1,2,1.019344,0,2,0-2,1.054908,0.032187,1,1-2,1,2,1.022721,0,2,0-2,1.058391,0.032293,1,1-2,1,2,1.026097,0,2,0-2,1.061874,0.0324,1,1-2,1,2,1.029474,0,2,0-2,1.065356,0.032506,1,1-2,1,2,1.03285,0,2,0-2,1.068839,0.032612,1,1-2,1,2,1.036227,0,2,0-2,1.072322,0.032719,1,1-2,1,2,1.039603,0,2,0-2,1.075804,0.032825,1,1-2,1,2,1.04298,0,2,0-2,1.079287,0.032931,1,1-2,1,2,1.046356,0,2,0-2,1.08277,0.033037,1,1-2,1,2,1.049733,0,2,0-2,1.086253,0.033144,1,1-2,1,2,1.053109
2006,2006-06-12T21:00:00+01:00,G,9,Italy,Ghana,2,0,0.633843,0.248657,0.1175,1.6509,0.5641,0.616854,0.263371,0.119775,0.016989,home,home,False,0.016989,-0.014714,-0.002275,2,0,2-0,1.015032,0.032501,1,0,1-0,0.982532,3,2,0,2-0,0.988143,0.03164,3,1-0,1,0,0.956503,2,0,2-0,0.989504,0.031683,3,1-0,1,0,0.95782,2,0,2-0,0.990865,0.031727,3,1-0,1,0,0.959138,2,0,2-0,0.992225,0.031771,3,1-0,1,0,0.960455,2,0,2-0,0.993586,0.031814,3,1-0,1,0,0.961772,2,0,2-0,0.994947,0.031858,3,1-0,1,0,0.963089,2,0,2-0,0.996308,0.031901,3,1-0,1,0,0.964406,2,0,2-0,0.997668,0.031945,3,1-0,1,0,0.965723,2,0,2-0,0.999029,0.031988,3,1-0,1,0,0.967041,2,0,2-0,1.00039,0.032032,3,1-0,1,0,0.968358,2,0,2-0,1.00175,0.032076,3,1-0,1,0,0.969675,2,0,2-0,1.003111,0.032119,3,1-0,1,0,0.970992,2,0,2-0,1.004472,0.032163,3,1-0,1,0,0.972309,2,0,2-0,1.005833,0.032206,3,1-0,1,0,0.973626,2,0,2-0,1.007193,0.03225,3,1-0,1,0,0.974943,2,0,2-0,1.008554,0.032293,3,1-0,1,0,0.976261,2,0,2-0,1.009915,0.032337,3,1-0,1,0,0.977578,2,0,2-0,1.011275,0.032381,3,1-0,1,0,0.978895,2,0,2-0,1.012636,0.032424,3,1-0,1,0,0.980212,2,0,2-0,1.013997,0.032468,3,1-0,1,0,0.981529,2,0,2-0,1.015358,0.032511,3,1-0,1,0,0.982846
2006,2006-06-12T18:00:00+01:00,G,10,United States,Czech Republic,0,3,0.213462,0.29175,0.494788,0.8077,1.3731,,,,,away,,,,,,0,2,0-2,0.79369,0.002948,0,1,0-1,0.790742,1,0,2,0-2,0.79369,0.002948,1,0-1,0,1,0.790742,0,2,0-2,0.79369,0.002948,1,0-1,0,1,0.790742,0,2,0-2,0.79369,0.002948,1,0-1,0,1,0.790742,0,2,0-2,0.79369,0.002948,1,0-1,0,1,0.790742,0,2,0-2,0.79369,0.002948,1,0-1,0,1,0.790742,0,2,0-2,0.79369,0.002948,1,0-1,0,1,0.790742,0,2,0-2,0.79369,0.002948,1,0-1,0,1,0.790742,0,2,0-2,0.79369,0.002948,1,0-1,0,1,0.790742,0,2,0-2,0.79369,0.002948,1,0-1,0,1,0.790742,0,2,0-2,0.79369,0.002948,1,0-1,0,1,0.790742,0,2,0-2,0.79369,0.002948,1,0-1,0,1,0.790742,0,2,0-2,0.79369,0.002948,1,0-1,0,1,0.790742,0,2,0-2,0.79369,0.002948,1,0-1,0,1,0.790742,0,2,0-2,0.79369,0.002948,1,0-1,0,1,0.790742,0,2,0-2,0.79369,0.002948,1,0-1,0,1,0.790742,0,2,0-2,0.79369,0.002948,1,0-1,0,1,0.790742,0,2,0-2,0.79369,0.002948,1,0-1,0,1,0.790742,0,2,0-2,0.79369,0.002948,1,0-1,0,1,0.790742,0,2,0-2,0.79369,0.002948,1,0-1,0,1,0.790742,0,2,0-2,0.79369,0.002948,1,0-1,0,1,0.790742,0,2,0-2,0.79369,0.002948,1,0-1,0,1,0.790742
