year,date,stage,home_team,away_team,h_odds_avg,d_odds_avg,a_odds_avg
2010,2010-07-11,Playoffs,Países Bajos,España,3.85,3.35,2.0125
2010,2010-07-10,Playoffs,Uruguay,Alemania,3.90,3.5875,1.92
2010,2010-07-07,Playoffs,Alemania,España,2.77,3.3125,2.545
2010,2010-07-06,Playoffs,Uruguay,Países Bajos,5.575,3.5,1.695
2010,2010-07-03,Playoffs,Paraguay,España,9.0625,4.37,1.395
2010,2010-07-03,Playoffs,Argentina,Alemania,2.29,3.225,3.2
2010,2010-07-02,Playoffs,Uruguay,Ghana,1.8775,3.2875,4.5375
2010,2010-07-02,Playoffs,Países Bajos,Brasil,4.095,3.275,1.9775
2010,2010-06-29,Playoffs,España,Portugal,1.95,3.183,4.243
2010,2010-06-29,Playoffs,Paraguay,Japón,2.14,3.083,3.733
2010,2010-06-28,Playoffs,Brasil,Chile,1.52,3.95,6.883
2010,2010-06-28,Playoffs,Países Bajos,Eslovaquia,1.393,4.40,9.133
2010,2010-06-27,Playoffs,Argentina,México,1.603,3.70,6.367
2010,2010-06-27,Playoffs,Alemania,Inglaterra,2.95,3.033,2.613
2010,2010-06-26,Playoffs,EE. UU.,Ghana,2.383,3.067,3.267
2010,2010-06-26,Playoffs,Uruguay,Corea del Sur,1.823,3.267,5.0
2010,2010-06-25,,Chile,España,6.4375,4.1825,1.51
2010,2010-06-25,,Suiza,Honduras,1.5925,3.86,6.125
2010,2010-06-25,,Portugal,Brasil,3.68,3.032,2.213
2010,2010-06-25,,Corea del Norte,Costa de Marfil,9.875,5.0225,1.32
2010,2010-06-24,,Camerún,Países Bajos,5.125,3.7875,1.6725
2010,2010-06-24,,Dinamarca,Japón,2.2,3.2875,3.3375
2010,2010-06-24,,Eslovaquia,Italia,6.725,3.725,1.5625
2010,2010-06-24,,Paraguay,Nueva Zelanda,1.375,4.395,9.875
2010,2010-06-23,,Ghana,Alemania,7.0625,4.175,1.4925
2010,2010-06-23,,Australia,Serbia,4.1625,3.525,1.885
2010,2010-06-23,,EE. UU.,Argelia,1.8225,3.525,4.4575
2010,2010-06-23,,Eslovenia,Inglaterra,8.25,4.3875,1.4075
2010,2010-06-22,,Grecia,Argentina,7.775,4.0825,1.46
2010,2010-06-22,,Nigeria,Corea del Sur,2.7825,3.2875,2.60
2010,2010-06-22,,Francia,Sudáfrica,2.0375,3.4125,3.71
2010,2010-06-22,,México,Uruguay,3.41,2.29,3.4125
2010,2010-06-21,,España,Honduras,1.13,7.9,22.25
2010,2010-06-21,,Chile,Suiza,2.1125,3.1875,3.675
2010,2010-06-21,,Portugal,Corea del Norte,1.315,5.085,11.125
2010,2010-06-20,,Brasil,Costa de Marfil,1.6875,3.4875,5.5875
2010,2010-06-20,,Italia,Nueva Zelanda,1.195,6.2125,16.25
2010,2010-06-20,,Eslovaquia,Paraguay,3.75,3.2125,2.07
2010,2010-06-19,,Camerún,Dinamarca,2.8825,3.2125,2.505
2010,2010-06-19,,Ghana,Australia,2.205,3.225,3.475
2010,2010-06-19,,Países Bajos,Japón,1.42,4.1625,8.75
2010,2010-06-18,,Inglaterra,Argelia,1.2175,5.925,15.5
2010,2010-06-18,,Eslovenia,EE. UU.,3.6375,3.2125,2.1225
2010,2010-06-18,,Alemania,Serbia,1.6225,3.75,5.75
2010,2010-06-17,,Francia,México,2.125,3.125,3.725
2010,2010-06-17,,Grecia,Nigeria,3.91,3.225,2.03
2010,2010-06-17,,Argentina,Corea del Sur,1.4775,3.975,7.875
2010,2010-06-16,,Sudáfrica,Uruguay,3.2625,3.075,2.355
2010,2010-06-16,,España,Suiza,1.28,5.1625,12.625
2010,2010-06-16,,Honduras,Chile,5.8,3.5875,1.65
2010,2010-06-15,,Brasil,Corea del Norte,1.0975,9.25,25.75
2010,2010-06-15,,Costa de Marfil,Portugal,3.7375,3.15,2.1375
2010,2010-06-15,,Nueva Zelanda,Eslovaquia,7.625,3.825,1.5075
2010,2010-06-14,,Italia,Paraguay,2.125,3.0625,3.8375
2010,2010-06-14,,Japón,Camerún,3.7125,3.1,2.15
2010,2010-06-14,,Países Bajos,Dinamarca,1.52,3.9633333333333334,6.833333333333333
2010,2010-06-13,,Alemania,Australia,1.5075,3.8875,7.15
2010,2010-06-13,,Serbia,Ghana,2.01,3.2125,4.0125
2010,2010-06-13,,Argelia,Eslovenia,3.675,3.1,2.15
2010,2010-06-12,,Inglaterra,EE. UU.,1.51,4.03,7.00
2010,2010-06-12,,Argentina,Nigeria,1.3925,4.25,9.125
2010,2010-06-12,,Corea del Sur,Grecia,2.685,2.975,2.8825
2010,2010-06-11,,Uruguay,Francia,3.525,3.15,2.1875
2010,2010-06-11,,Sudáfrica,México,2.95,3.1,2.525
