date,home_team,away_team,ou_lines,avg_over,avg_under,implied_xg
2010-7-11,Países Bajos,España,2.5,2.4333,1.5333,2.234615074203599
2010-7-10,Uruguay,Alemania,2.5,1.6667,2.1567,2.943701367102977
2010-7-07,Alemania,España,2.5,2.14,1.6733,2.4326820537724485
2010-7-06,Uruguay,Países Bajos,2.5,2.3967,1.54,2.2519862557106562
2010-7-03,Paraguay,España,2.5,2.1667,1.6567,2.4115479499747616
2010-7-03,Argentina,Alemania,2.5,1.8833,1.8833,2.6740603137236234
2010-7-02,Uruguay,Ghana,2.5,2.4833,1.51,2.203159670837291
2010-7-02,Países Bajos,Brasil,2.5,2.35,1.56,2.281227406868288
2010-6-29,España,Portugal,2.5,2.3,1.605,2.326633958541421
2010-6-29,Paraguay,Japón,1.5,1.48,2.52,2.1377621178500745
2010-6-28,Brasil,Chile,2.5,1.875,1.925,2.700830572143847
2010-6-28,Países Bajos,Eslovaquia,2.5,1.95,1.85,2.621050478026695
2010-6-27,Argentina,México,2.5,2.075,1.735,2.4968576815292445
2010-6-27,Alemania,Inglaterra,1.5,1.49,2.5,2.1241902361091607
2010-6-26,EE. UU.,Ghana,1.5,1.48,2.52,2.1377621178500745
2010-6-26,Uruguay,Corea del Sur,1.5,1.49,2.5,2.1241902361091607
2010-6-25,Chile,España,2.5,1.95,1.85,2.621050478026695
2010-6-25,Suiza,Honduras,2.5,2.04,1.765,2.530017222576038
2010-6-25,Portugal,Brasil,2.5,2.395,1.56,2.2641672691588117
2010-6-25,Corea del Norte,Costa de Marfil,2.5,1.685,2.15,2.928605443408989
2010-6-24,Camerún,Países Bajos,2.5,2.02,1.78,2.5479284139366274
2010-6-24,Dinamarca,Japón,2.5,2.42,1.55,2.2491284957791167
2010-6-24,Eslovaquia,Italia,2.5,2.29,1.6,2.327767646442309
2010-6-24,Paraguay,Nueva Zelanda,2.5,2.135,1.695,2.4471444316905084
2010-6-23,Ghana,Alemania,2.5,1.935,1.865,2.6368816915933264
2010-6-23,Australia,Serbia,2.5,2.07,1.74,2.5019730931928197
2010-6-23,EE. UU.,Argelia,2.5,1.93,1.83,2.6204901830652734
2010-6-23,Eslovenia,Inglaterra,2.5,2.06,1.74,2.506662342208845
2010-6-22,Grecia,Argentina,2.5,1.9,1.9,2.6740603137236234
2010-6-22,Nigeria,Corea del Sur,2.5,2.375,1.565,2.2745756863591318
2010-6-22,Francia,Sudáfrica,2.5,2.02,1.785,2.5506795910679188
2010-6-22,México,Uruguay,2.5,3.375,1.31,1.8381527876739854
2010-6-21,España,Honduras,3.5,2.38,1.52,3.165282130430509
2010-6-21,Chile,Suiza,2.5,2.29,1.61,2.3334835420378055
2010-6-21,Portugal,Corea del Norte,2.5,2.125,1.7,2.4544264936128535
2010-6-20,Brasil,Costa de Marfil,2.5,2.175,1.67,2.4154795789712256
2010-6-20,Italia,Nueva Zelanda,2.5,1.975,1.825,2.5947958148021644
2010-6-20,Eslovaquia,Paraguay,2.5,2.47,1.525,2.216574471738864
2010-6-19,Camerún,Dinamarca,2.5,2.45,1.53,2.226645620579271
2010-6-19,Ghana,Australia,1.5,1.445,2.52,2.159954005929805
2010-6-19,Países Bajos,Japón,2.5,2.15,1.685,2.4348683929436845
2010-6-18,Inglaterra,Argelia,2.5,1.81,1.9633,2.7573316659694527
2010-6-18,Eslovenia,EE. UU.,1.5,1.435,2.625,2.204607852317602
2010-6-18,Alemania,Serbia,2.5,1.98,1.79,2.573117815797658
2010-6-17,Francia,México,2.5,2.4967,1.51,2.1984430894188405
2010-6-17,Grecia,Nigeria,1.5,1.47,2.45,2.1180309497538765
2010-6-17,Argentina,Corea del Sur,2.5,2.1433,1.6833,2.4368719830691226
2010-6-16,Sudáfrica,Uruguay,1.5,1.51,2.375,2.0650903944139127
2010-6-16,España,Suiza,2.5,1.9333,1.8367,2.6224366434925384
2010-6-16,Honduras,Chile,2.5,2.35,1.5933,2.3003441804394598
2010-6-15,Brasil,Corea del Norte,3.5,2.395,1.515,3.1550832322619846
2010-6-15,Costa de Marfil,Portugal,1.5,1.485,2.45,2.108701093854739
2010-6-15,Nueva Zelanda,Eslovaquia,2.5,2.28,1.6,2.331781385997504
2010-6-14,Italia,Paraguay,1.5,1.535,2.325,2.031043876237375
2010-6-14,Japón,Camerún,1.5,1.495,2.415,2.0893823520004142
2010-6-14,Países Bajos,Dinamarca,2.5,2.02,1.775,2.545171620489753
2010-6-13,Alemania,Australia,2.5,2.08,1.7067,2.478690218918371
2010-6-13,Serbia,Ghana,2.5,2.45,1.52,2.2208498248126234
2010-6-13,Argelia,Eslovenia,2.5,2.5133,1.51,2.1926464749127366
2010-6-12,Inglaterra,EE. UU.,2.5,2.05,1.765,2.525250337143789
2010-6-12,Argentina,Nigeria,2.5,1.8167,1.95,2.7464904410819226
2010-6-12,Corea del Sur,Grecia,1.5,1.535,2.325,2.031043876237375
2010-6-11,Uruguay,Francia,2.5,2.4133,1.5333,2.241948212678524
2010-6-11,Sudáfrica,México,1.5,1.49,2.475,2.1149394484943125
