date,home_team,away_team,avg_yes,avg_no
2018-07-15,Francia,Croacia,2.245,1.63
2018-07-14,Bélgica,Inglaterra,1.515,2.4875
2018-07-11,Croacia,Inglaterra,2.1675,1.6875
2018-07-10,Francia,Bélgica,1.765,2.0525
2018-07-07,Rusia,Croacia,2.0625,1.7375
2018-07-07,Suecia,Inglaterra,2.1075,1.7175
2018-07-06,Brasil,Bélgica,1.6425,2.23
2018-07-06,Uruguay,Francia,2.235,1.635
2018-07-03,Colombia,Inglaterra,2.15,1.69
2018-07-03,Suecia,Suiza,1.9925,1.8025
2018-07-02,Bélgica,Japón,1.9225,1.8625
2018-07-02,Brasil,México,1.925,1.8675
2018-07-01,Croacia,Dinamarca,2.1625,1.675
2018-07-01,España,Rusia,1.9175,1.87
2018-06-30,Uruguay,Portugal,2.1625,1.6775
2018-06-30,Francia,Argentina,1.9875,1.805
2018-06-28,Inglaterra,Bélgica,2.0125,1.7875
2018-06-28,Senegal,Colombia,1.87,1.93
2018-06-28,Panamá,Túnez,1.89,1.8925
2018-06-28,Japón,Polonia,1.79,2.0075
2018-06-27,Serbia,Brasil,1.765,2.0375
2018-06-27,Suiza,Costa Rica,2.1375,1.695
2018-06-27,Corea del Sur,Alemania,2.0725,1.7325
2018-06-27,México,Suecia,1.785,2.0175
2018-06-26,Nigeria,Argentina,1.71,2.1175
2018-06-26,Islandia,Croacia,1.89,1.895
2018-06-26,Australia,Perú,1.7825,2.04
2018-06-26,Dinamarca,Francia,2.0425,1.7625
2018-06-25,España,Marruecos,1.82,1.975
2018-06-25,Irán,Portugal,1.96,1.8275
2018-06-25,Arabia Saudí,Egipto,2.0475,1.75
2018-06-25,Uruguay,Rusia,1.895,1.9
2018-06-24,Polonia,Colombia,1.9025,1.89
2018-06-24,Japón,Senegal,2.0625,1.7375
2018-06-24,Inglaterra,Panamá,2.7425,1.4375
2018-06-23,Alemania,Suecia,1.8125,1.9725
2018-06-23,Corea del Sur,México,1.9025,1.89
2018-06-23,Bélgica,Túnez,2.1325,1.6975
2018-06-22,Serbia,Suiza,2.0,1.79
2018-06-22,Nigeria,Islandia,2.1475,1.6925
2018-06-22,Brasil,Costa Rica,2.835,1.4175
2018-06-21,Argentina,Croacia,1.94,1.8525
2018-06-21,Francia,Perú,2.335,1.6
2018-06-21,Dinamarca,Australia,2.0475,1.75
2018-06-20,Irán,España,2.7125,1.445
2018-06-20,Uruguay,Arabia Saudí,2.505,1.5275
2018-06-20,Portugal,Marruecos,2.08,1.7425
2018-06-19,Rusia,Egipto,2.135,1.705
2018-06-19,Polonia,Senegal,2.0475,1.77
2018-06-19,Colombia,Japón,2.2275,1.65
2018-06-18,Túnez,Inglaterra,2.3925,1.565
2018-06-18,Bélgica,Panamá,2.5725,1.4975
2018-06-18,Suecia,Corea del Sur,2.2625,1.6325
2018-06-17,Brasil,Suiza,2.165,1.6925
2018-06-17,Alemania,México,1.7275,2.1
2018-06-17,Costa Rica,Serbia,2.305,1.6075
2018-06-16,Croacia,Nigeria,2.155,1.7
2018-06-16,Perú,Dinamarca,2.3575,1.59
2018-06-16,Argentina,Islandia,2.22,1.655
2018-06-16,Francia,Australia,2.33,1.6
2018-06-15,Portugal,España,2.01,1.8025
2018-06-15,Marruecos,Irán,2.4825,1.5275
2018-06-15,Egipto,Uruguay,2.4,1.565
2018-06-14,Rusia,Arabia Saudí,2.4625,1.5375
