date,home_team,away_team,h_odds_avg,d_odds_avg,a_odds_avg
2026-06-11T19:00:00+00:00,Mexico,South Africa,1.456,4.0,9.0
2026-06-12T02:00:00+00:00,South Korea,Czech Republic,2.64,3.083,3.03
2026-06-12T19:00:00+00:00,Canada,Bosnia and Herzegovina,1.854,3.61,4.8
2026-06-13T01:00:00+00:00,United States,Paraguay,2.0,3.3,4.0
2026-06-13T19:00:00+00:00,Qatar,Switzerland,15.67,7.5167,1.1987
2026-06-13T22:00:00+00:00,Brazil,Morocco,1.688,3.7767,5.68
2026-06-14T01:00:00+00:00,Haiti,Scotland,6.0133,4.5267,1.545
2026-06-14T04:00:00+00:00,Australia,Turkey,5.62,3.76,1.724
2026-06-14T17:00:00+00:00,Germany,Curaçao,1.0423,21.3333,42.0
2026-06-14T20:00:00+00:00,Netherlands,Japan,2.08,3.5,3.75
2026-06-14T23:00:00+00:00,Ivory Coast,Ecuador,3.39,2.8467,2.59
2026-06-15T02:00:00+00:00,Sweden,Tunisia,1.8928,3.4,4.3085
2026-06-15T16:00:00+00:00,Spain,Cape Verde,1.1,13.0,25.0
2026-06-15T19:00:00+00:00,Belgium,Egypt,1.575,4.0625,6.2025
2026-06-15T22:00:00+00:00,Saudi Arabia,Uruguay,8.2786,4.2629,1.4386
2026-06-16T01:00:00+00:00,Iran,New Zealand,1.8057,3.4743,4.8214
2026-06-16T19:00:00+00:00,France,Senegal,1.4629,4.5029,6.9386
2026-06-16T22:00:00+00:00,Iraq,Norway,13.4286,6.4657,1.2214
2026-06-17T01:00:00+00:00,Argentina,Algeria,1.574,4.1,7.05
2026-06-17T04:00:00+00:00,Austria,Jordan,1.403,4.95,9.3
2026-06-17T17:00:00+00:00,Portugal,DR Congo,1.307,5.7,12.5
2026-06-17T20:00:00+00:00,England,Croatia,1.71,3.8075,5.095
2026-06-17T23:00:00+00:00,Ghana,Panama,2.3738,3.1725,3.2163
2026-06-18T02:00:00+00:00,Uzbekistan,Colombia,12.5,5.45,1.317
2026-06-18T16:00:00+00:00,Czech Republic,South Africa,1.8357,3.5186,4.53
2026-06-18T19:00:00+00:00,Switzerland,Bosnia and Herzegovina,1.5686,4.0571,6.0443
2026-06-18T22:00:00+00:00,Canada,Qatar,1.2829,5.5814,10.9143
2026-06-19T01:00:00+00:00,Mexico,South Korea,2.0586,3.2814,3.8986
2026-06-19T19:00:00+00:00,United States,Australia,1.6371,4.1314,5.1
2026-06-19T22:00:00+00:00,Scotland,Morocco,5.916,3.647,1.656
2026-06-20T01:00:00+00:00,Brazil,Haiti,1.1057,10.4429,23.8571
2026-06-20T04:00:00+00:00,Turkey,Paraguay,2.0186,3.3586,3.8614
2026-06-20T17:00:00+00:00,Netherlands,Sweden,1.677,4.14,4.95
2026-06-20T20:00:00+00:00,Germany,Ivory Coast,1.4448,4.922,7.146
2026-06-21T04:00:00+00:00,Tunisia,Japan,7.6071,4.2829,1.46
2026-06-21T00:00:00+00:00,Ecuador,Curaçao,1.1529,8.1214,18.1429
2026-06-21T16:00:00+00:00,Spain,Saudi Arabia,1.0967,10.7,28.8333
2026-06-21T19:00:00+00:00,Belgium,Iran,1.4083,4.6633,8.2917
2026-06-21T22:00:00+00:00,Uruguay,Cape Verde,1.3971,4.4143,9.4143
2026-06-22T01:00:00+00:00,New Zealand,Egypt,5.5086,3.9529,1.6243
2026-06-22T17:00:00+00:00,Argentina,Austria,1.4586,4.3129,7.5071
2026-06-22T21:00:00+00:00,France,Iraq,1.0943,11.0286,26.7143
2026-06-23T00:00:00+00:00,Norway,Senegal,2.3043,3.4,3.1171
2026-06-23T03:00:00+00:00,Jordan,Algeria,6.695,4.305,1.5083
2026-06-23T17:00:00+00:00,Portugal,Uzbekistan,1.162,8.75,21.75
2026-06-23T20:00:00+00:00,England,Ghana,1.1886,7.15,15.7857
2026-06-23T23:00:00+00:00,Panama,Croatia,8.4,4.8,1.442
2026-06-24T02:00:00+00:00,Colombia,DR Congo,1.5157,3.9571,7.1929
2026-06-24T19:00:00+00:00,Bosnia and Herzegovina,Qatar,1.38,5.1929,7.5357
2026-06-24T19:00:00+00:00,Switzerland,Canada,2.5214,2.9986,3.1429
2026-06-24T22:00:00+00:00,Morocco,Haiti,1.1914,6.8243,15.9286
2026-06-24T22:00:00+00:00,Scotland,Brazil,10.5429,5.4071,1.3014
2026-06-25T01:00:00+00:00,Czech Republic,Mexico,4.2029,4.0057,1.7743
2026-06-25T01:00:00+00:00,South Africa,South Korea,5.3871,3.7543,1.6729
