date,home_team,away_team,implied_xg
2026-06-11T19:00:00+00:00,Mexico,South Africa,2.35
2026-06-12T02:00:00+00:00,South Korea,Czech Republic,2.3917
2026-06-12T19:00:00+00:00,Canada,Bosnia and Herzegovina,2.4015
2026-06-13T01:00:00+00:00,United States,Paraguay,2.249
2026-06-13T19:00:00+00:00,Qatar,Switzerland,3.0284
2026-06-13T22:00:00+00:00,Brazil,Morocco,2.4198
2026-06-14T01:00:00+00:00,Haiti,Scotland,2.5168
2026-06-14T04:00:00+00:00,Australia,Turkey,2.4949
2026-06-14T17:00:00+00:00,Germany,Curaçao,4.4236
2026-06-14T20:00:00+00:00,Netherlands,Japan,2.5195
2026-06-14T23:00:00+00:00,Ivory Coast,Ecuador,1.9599
2026-06-15T02:00:00+00:00,Sweden,Tunisia,2.4267
2026-06-15T16:00:00+00:00,Spain,Cape Verde,3.8329
2026-06-15T19:00:00+00:00,Belgium,Egypt,2.6516
2026-06-15T22:00:00+00:00,Saudi Arabia,Uruguay,2.4803
2026-06-16T01:00:00+00:00,Iran,New Zealand,2.2537
2026-06-16T19:00:00+00:00,France,Senegal,2.8878
2026-06-16T22:00:00+00:00,Iraq,Norway,3.0708
2026-06-17T01:00:00+00:00,Argentina,Algeria,2.5687
2026-06-17T04:00:00+00:00,Austria,Jordan,2.6834
2026-06-17T17:00:00+00:00,Portugal,DR Congo,2.8003
2026-06-17T20:00:00+00:00,England,Croatia,2.5686
2026-06-17T23:00:00+00:00,Ghana,Panama,2.29
2026-06-18T02:00:00+00:00,Uzbekistan,Colombia,2.9261
2026-06-18T16:00:00+00:00,Czech Republic,South Africa,2.4191
2026-06-18T19:00:00+00:00,Switzerland,Bosnia and Herzegovina,2.7925
2026-06-18T22:00:00+00:00,Canada,Qatar,2.9914
2026-06-19T01:00:00+00:00,Mexico,South Korea,2.4356
2026-06-19T19:00:00+00:00,United States,Australia,2.6779
2026-06-19T22:00:00+00:00,Scotland,Morocco,2.3516
2026-06-20T01:00:00+00:00,Brazil,Haiti,3.8104
2026-06-20T04:00:00+00:00,Turkey,Paraguay,2.4772
2026-06-20T17:00:00+00:00,Netherlands,Sweden,3.067
2026-06-20T20:00:00+00:00,Germany,Ivory Coast,3.1512
2026-06-21T04:00:00+00:00,Tunisia,Japan,2.5112
2026-06-21T00:00:00+00:00,Ecuador,Curaçao,3.1641
2026-06-21T16:00:00+00:00,Spain,Saudi Arabia,3.6833
2026-06-21T19:00:00+00:00,Belgium,Iran,2.7385
2026-06-21T22:00:00+00:00,Uruguay,Cape Verde,2.392
2026-06-22T01:00:00+00:00,New Zealand,Egypt,2.5691
2026-06-22T17:00:00+00:00,Argentina,Austria,2.6361
2026-06-22T21:00:00+00:00,France,Iraq,3.9339
2026-06-23T00:00:00+00:00,Norway,Senegal,2.6573
2026-06-23T03:00:00+00:00,Jordan,Algeria,2.6598
2026-06-23T17:00:00+00:00,Portugal,Uzbekistan,3.4272
2026-06-23T20:00:00+00:00,England,Ghana,3.248
2026-06-23T23:00:00+00:00,Panama,Croatia,2.9582
2026-06-24T02:00:00+00:00,Colombia,DR Congo,2.4267
2026-06-24T19:00:00+00:00,Bosnia and Herzegovina,Qatar,3.0814
2026-06-24T19:00:00+00:00,Switzerland,Canada,2.4282
2026-06-24T22:00:00+00:00,Morocco,Haiti,3.1547
2026-06-24T22:00:00+00:00,Scotland,Brazil,2.7982
2026-06-25T01:00:00+00:00,Czech Republic,Mexico,2.655
2026-06-25T01:00:00+00:00,South Africa,South Korea,2.38
2026-06-25T23:00:00+00:00,Japan,Sweden,2.7263
2026-06-25T20:00:00+00:00,Curaçao,Ivory Coast,3.4358
2026-06-25T20:00:00+00:00,Ecuador,Germany,2.9454
2026-06-25T23:00:00+00:00,Tunisia,Netherlands,3.5504
2026-06-26T02:00:00+00:00,Paraguay,Australia,1.934
2026-06-26T02:00:00+00:00,Turkey,United States,3.0601
2026-06-26T19:00:00+00:00,Norway,France,3.2909
2026-06-26T19:00:00+00:00,Senegal,Iraq,3.2098
2026-06-27T00:00:00+00:00,Uruguay,Spain,2.519
2026-06-27T00:00:00+00:00,Cape Verde,Saudi Arabia,2.0836
2026-06-27T03:00:00+00:00,New Zealand,Belgium,4.0216
2026-06-27T03:00:00+00:00,Egypt,Iran,2.0061
2026-06-27T21:00:00+00:00,Panama,England,3.6047
2026-06-27T21:00:00+00:00,Croatia,Ghana,2.2632
2026-06-27T23:30:00+00:00,Colombia,Portugal,2.9166
2026-06-27T23:30:00+00:00,DR Congo,Uzbekistan,2.4176
2026-06-28T02:00:00+00:00,Algeria,Austria,1.7733
2026-06-28T02:00:00+00:00,Jordan,Argentina,3.1594
