year,date,home_team,away_team,h_odds_avg,d_odds_avg,a_odds_avg
2026,2026-01-18,Senegal,Marruecos,4.035,2.7617,2.225
2026,2026-01-17,Egipto,Nigeria,3.345,3.155,2.2683
2026,2026-01-14,Nigeria,Marruecos,3.815,2.96,2.1717
2026,2026-01-14,Senegal,Egipto,1.97,3.0283,4.615
2026,2026-01-10,Egipto,Costa de Marfil,3.6083,2.6967,2.425
2026,2026-01-10,Argelia,Nigeria,3.1217,2.9217,2.5333
2026,2026-01-09,Camerún,Marruecos,7.24,4.015,1.4883
2026,2026-01-09,Mali,Senegal,5.7933,3.1183,1.7833
2026,2026-01-06,Costa de Marfil,Burkina Faso,1.994,2.998,4.46
2026,2026-01-06,Argelia,RD Congo,2.12,3.0,3.996
2026,2026-01-05,Nigeria,Mozambique,1.296,5.326,10.42
2026,2026-01-05,Egipto,Benín,1.41,4.126,9.38
2026,2026-01-04,Sudáfrica,Camerún,3.296,2.818,2.49
2026,2026-01-04,Marruecos,Tanzania,1.15,7.334,19.5
2026,2026-01-03,Mali,Túnez,2.574,2.684,3.362
2026,2026-01-03,Senegal,Sudán,1.138,7.54,21.38
2025,2025-12-31,Mozambique,Camerún,8.004,4.296,1.428
2025,2025-12-31,Gabón,Costa de Marfil,5.788,3.822,1.596
2025,2025-12-31,Guinea Ecuatorial,Argelia,8.148,3.974,1.46
2025,2025-12-31,Sudán,Burkina Faso,6.524,3.142,1.71
2025,2025-12-30,Benín,Senegal,12.58,5.816,1.242
2025,2025-12-30,Botsuana,RD Congo,13.18,5.476,1.25
2025,2025-12-30,Uganda,Nigeria,5.324,3.666,1.67
2025,2025-12-30,Tanzania,Túnez,6.696,3.584,1.58
2025,2025-12-29,Comores,Mali,7.104,3.652,1.522
2025,2025-12-29,Zambia,Marruecos,16.46,6.524,1.182
2025,2025-12-29,Angola,Egipto,2.872,2.94,2.674
2025,2025-12-29,Zimbabue,Sudáfrica,5.542,3.514,1.678
2025,2025-12-28,Costa de Marfil,Camerún,2.034,2.828,4.614
2025,2025-12-28,Argelia,Burkina Faso,1.828,3.274,4.816
2025,2025-12-28,Guinea Ecuatorial,Sudán,2.206,2.822,3.97
2025,2025-12-28,Gabón,Mozambique,1.838,3.33,4.638
2025,2025-12-27,Nigeria,Túnez,2.098,2.972,4.026
2025,2025-12-27,Uganda,Tanzania,2.424,2.698,3.618
2025,2025-12-27,Senegal,RD Congo,1.598,3.502,6.734
2025,2025-12-27,Benín,Botsuana,1.868,3.086,5.024
2025,2025-12-26,Marruecos,Mali,1.48,3.898,7.778
2025,2025-12-26,Zambia,Comores,2.214,3.004,3.616
2025,2025-12-26,Egipto,Sudáfrica,1.98,3.062,4.41
2025,2025-12-26,Angola,Zimbabue,1.878,3.126,4.83
2025,2025-12-24,Camerún,Gabón,1.972,3.118,4.308
2025,2025-12-24,Costa de Marfil,Mozambique,1.292,5.01,12.12
2025,2025-12-24,Argelia,Sudán,1.288,5.226,11.04
2025,2025-12-24,Burkina Faso,Guinea Ecuatorial,1.918,3.004,4.878
2025,2025-12-23,Túnez,Uganda,1.706,3.144,6.32
2025,2025-12-23,Nigeria,Tanzania,1.378,4.452,8.848
2025,2025-12-23,Senegal,Botsuana,1.104,8.588,26.2
2025,2025-12-23,RD Congo,Benín,1.626,3.248,7.344
2025,2025-12-22,Egipto,Zimbabue,1.318,4.63,11.74
2025,2025-12-22,Sudáfrica,Angola,2.792,2.648,3.08
2025,2025-12-22,Mali,Zambia,1.762,3.292,5.284
2025,2025-12-21,Marruecos,Comores,1.134,7.624,22.0
2024,2024-02-11,Nigeria,Costa de Marfil,2.804,2.746,2.886
2024,2024-02-10,Sudáfrica,RD Congo,3.204,3.222,2.274
2024,2024-02-07,Costa de Marfil,RD Congo,2.072,2.916,4.116
2024,2024-02-07,Nigeria,Sudáfrica,1.658,3.396,5.89
2024,2024-02-03,Cabo Verde,Sudáfrica,2.974,2.868,2.602
2024,2024-02-03,Mali,Costa de Marfil,3.53,2.848,2.33
2024,2024-02-02,RD Congo,Guinea,2.525,2.7517,3.1983
2024,2024-02-02,Nigeria,Angola,1.4883,3.8533,7.4283
2024,2024-01-30,Marruecos,Sudáfrica,1.51,3.74,7.13
2024,2024-01-30,Mali,Burkina Faso,2.2033,2.7917,3.8283
2024,2024-01-29,Senegal,Costa de Marfil,2.2333,2.985,3.485
2024,2024-01-29,Cabo Verde,Mauritania,2.1167,2.8333,4.075
2024,2024-01-28,Egipto,RD Congo,2.5717,2.785,3.1167
2024,2024-01-28,Guinea Ecuatorial,Guinea,3.595,2.83,2.2817
2024,2024-01-27,Nigeria,Camerún,1.98,3.0317,4.2617
2024,2024-01-27,Angola,Namibia,2.23,2.9,3.6417
2024,2024-01-24,Zambia,Marruecos,6.435,3.81,1.5317
2024,2024-01-24,Tanzania,RD Congo,5.4683,3.8467,1.6017
