team,lambda_for,lambda_against,strength_score,model_rank,book_prob,odds,book_rank,rank_diff
Spain,1.9702,0.9202,1.05,1,0.15098034581947034,5.75,1,0
Argentina,1.6674,0.774,0.8934,2,0.08267971318685281,10.5,5,3
Brazil,1.6936,0.8594,0.8342,3,0.08267971318685281,10.5,6,3
England,1.5937,0.8985,0.6952,4,0.10213376334846523,8.5,3,-1
France,1.6775,0.9869,0.6906,5,0.1446894980769924,6.0,2,-3
Portugal,1.7174,1.0772,0.6401,6,0.09138284089073205,9.5,4,-2
Colombia,1.5143,1.0301,0.4842,7,0.021174072889315963,41.0,11,4
Germany,1.7498,1.3161,0.4337,8,0.05787579923079697,15.0,7,-1
Netherlands,1.626,1.2571,0.3688,9,0.04159736408538354,20.87,8,-1
Belgium,1.5575,1.1992,0.3583,10,0.021174072889315963,41.0,10,0
Morocco,1.1001,0.8454,0.2547,11,0.017022293891410873,51.0,13,2
Uruguay,1.162,0.9617,0.2003,12,0.010717740598295734,81.0,17,5
Croatia,1.3449,1.304,0.0409,13,0.008615034121881061,100.77,20,7
Senegal,1.1303,1.1865,-0.0562,14,0.008595415727346085,101.0,21,7
Ecuador,1.0502,1.1288,-0.0787,15,0.008649367225883775,100.37,19,4
Japan,1.2367,1.3871,-0.1504,16,0.017022293891410873,51.0,12,-4
Norway,1.3758,1.5334,-0.1576,17,0.024121616795275202,35.99,9,-8
Austria,1.1996,1.4507,-0.2511,18,0.0057492515792182414,151.0,22,4
Mexico,0.9767,1.322,-0.3453,19,0.01424342885089343,60.95,14,-5
Algeria,1.2016,1.5991,-0.3975,20,0.0021649301457904104,401.0,33,13
Egypt,0.8583,1.2908,-0.4325,21,0.0034587131014420496,251.0,28,7
Sweden,1.1954,1.6629,-0.4676,22,0.0057492515792182414,151.0,24,2
Paraguay,0.8822,1.424,-0.5418,23,0.0034587131014420496,251.0,30,7
Turkey,1.2412,1.788,-0.5468,24,0.010717740598295734,81.0,16,-8
Australia,0.9544,1.5086,-0.5542,25,0.0027282746337584994,318.2,32,7
Iran,1.0697,1.637,-0.5673,26,0.001732808360203502,501.0,35,9
Ivory Coast,0.9686,1.5511,-0.5824,27,0.0057492515792182414,151.0,23,-4
United States,0.9602,1.6088,-0.6486,28,0.010717740598295734,81.0,18,-10
Tunisia,0.8523,1.514,-0.6617,29,0.001732808360203502,501.0,36,7
Czech Republic,1.0344,1.7021,-0.6678,30,0.0035919441783356966,241.69,26,-4
Canada,0.9698,1.6545,-0.6847,31,0.0044029872113503805,197.17,25,-6
Scotland,0.9931,1.6861,-0.6929,32,0.0034627138465236906,250.71,27,-5
DR Congo,0.7504,1.5355,-0.7851,33,0.00144448750160059,601.0,37,4
South Korea,0.9763,1.8099,-0.8336,34,0.0034587131014420496,251.0,31,-3
Uzbekistan,0.7324,1.6931,-0.9607,35,0.0005837706361705542,1487.12,45,10
South Africa,0.774,1.7793,-1.0053,36,0.0011559746850358917,751.0,39,3
Saudi Arabia,0.6207,1.8808,-1.2601,37,0.0008672697187432113,1001.0,42,5
Ghana,0.7831,2.0468,-1.2637,38,0.0034587131014420496,251.0,29,-9
Cape Verde,0.6967,1.9701,-1.2734,39,0.0005783724107008358,1501.0,46,7
Iraq,0.6614,1.9823,-1.321,40,0.0011559746850358917,751.0,38,-2
Bosnia and Herzegovina,0.7732,2.1588,-1.3856,41,0.0017486544504329744,496.46,34,-7
Jordan,0.7848,2.3243,-1.5395,42,0.0005837706361705542,1487.12,44,2
Panama,0.8334,2.3888,-1.5554,43,0.0005783724107008358,1501.0,48,5
New Zealand,0.4585,2.0706,-1.612,44,0.0005783724107008358,1501.0,47,3
Qatar,0.7861,2.6866,-1.9004,45,0.0008672697187432113,1001.0,41,-4
Curaçao,0.4902,2.6166,-2.1265,46,0.0008672697187432113,1001.0,40,-6
Haiti,0.6427,3.0923,-2.4497,47,0.0005837706361705542,1487.12,43,-4
