team,odds
Spain,5.750
France,6.000
England,8.500
Portugal,9.500
Argentina,10.500
Brazil,10.500
Germany,15.000
Netherlands,20.870
Norway,35.990
Belgium,41.000
Colombia,41.000
Japan,51.000
Morocco,51.000
Mexico,60.950
Switzerland,81.000
Turkey,81.000
Uruguay,81.000
United States,81.000
Ecuador,100.370
Croatia,100.770
Senegal,101.000
Austria,151.000
Ivory Coast,151.000
Sweden,151.000
Canada,197.170
Czech Republic,241.690
Scotland,250.710
Egypt,251.000
Ghana,251.000
Paraguay,251.000
South Korea,251.000
Australia,318.200
Algeria,401.000
Bosnia and Herzegovina,496.460
Iran,501.000
Tunisia,501.000
DR Congo,601.000
Iraq,751.000
South Africa,751.000
Curaçao,1001.000
Qatar,1001.000
Saudi Arabia,1001.000
Haiti,1487.120
Jordan,1487.120
Uzbekistan,1487.120
Cape Verde,1501.000
New Zealand,1501.000
Panama,1501.000
