BRA,CRO,3,1
MEX,CMR,1,0
ESP,NED,1,5
CHI,AUS,3,1
COL,GRE,3,0
URU,CRC,1,3
ENG,ITA,1,2
CIV,JPN,2,1
SUI,ECU,2,1
FRA,HON,3,0
ARG,BIH,2,1
GER,POR,4,0
IRN,NGA,0,0
GHA,USA,1,2
BEL,ALG,2,1
BRA,MEX,0,0
RUS,KOR,1,1
AUS,NED,2,3
ESP,CHI,0,2
CMR,CRO,0,4
COL,CIV,2,1
URU,ENG,2,1
JPN,GRE,0,0
ITA,CRC,0,1
SUI,FRA,2,5
HON,ECU,1,2
ARG,IRN,1,0
GER,GHA,2,2
NGA,BIH,1,0
BEL,RUS,1,0
KOR,ALG,2,4
USA,POR,2,2
AUS,ESP,0,3
NED,CHI,2,0
CMR,BRA,1,4
CRO,MEX,1,3
ITA,URU,0,1
CRC,ENG,0,0
JPN,COL,1,4
GRE,CIV,2,1
NGA,ARG,2,3
BIH,IRN,3,1
HON,SUI,0,3
ECU,FRA,0,0
USA,GER,0,1
POR,GHA,2,1
KOR,BEL,0,1
ALG,RUS,1,1
BRA,CHI,1,1
COL,URU,2,0
NED,MEX,2,1
CRC,GRE,1,1
FRA,NGA,2,0
GER,ALG,2,1
ARG,SUI,1,0
BEL,USA,2,1
FRA,GER,0,1
BRA,COL,2,1
ARG,BEL,1,0
NED,CRC,0,0
BRA,GER,1,7
NED,ARG,0,0
BRA,NED,0,3
GER,ARG,1,0
