G,SEN,NED,0,2
G,ENG,IRN,6,2
G,QAT,ECU,0,2
G,USA,WAL,1,1
G,ARG,KSA,1,2
G,DEN,TUN,0,0
G,MEX,POL,0,0
G,FRA,AUS,4,1
G,MAR,CRO,0,0
G,GER,JPN,1,2
G,ESP,CRC,7,0
G,BEL,CAN,1,0
G,SUI,CMR,1,0
G,URU,KOR,0,0
G,POR,GHA,3,2
G,BRA,SRB,2,0
G,WAL,IRN,0,2
G,QAT,SEN,1,3
G,NED,ECU,1,1
G,ENG,USA,0,0
G,TUN,AUS,0,1
G,POL,KSA,2,0
G,FRA,DEN,2,1
G,ARG,MEX,2,0
G,JPN,CRC,0,1
G,BEL,MAR,0,2
G,CRO,CAN,4,1
G,ESP,GER,1,1
G,CMR,SRB,3,3
G,KOR,GHA,2,3
G,BRA,SUI,1,0
G,POR,URU,2,0
G,ECU,SEN,1,2
G,NED,QAT,2,0
G,WAL,ENG,0,3
G,IRN,USA,0,1
G,AUS,DEN,1,0
G,TUN,FRA,1,0
G,POL,ARG,0,2
G,KSA,MEX,1,2
G,CRO,BEL,0,0
G,CAN,MAR,1,2
G,JPN,ESP,2,1
G,CRC,GER,2,4
G,GHA,URU,0,2
G,KOR,POR,2,1
G,SRB,SUI,2,3
G,CMR,BRA,1,0
8,NED,USA,3,1
8,ARG,AUS,2,1
8,ENG,SEN,3,0
8,FRA,POL,3,1
8,JPN,CRO,1,1
8,BRA,KOR,4,1
8,MAR,ESP,0,0
8,POR,SUI,6,1
4,CRO,BRA,1,1
4,NED,ARG,2,2
4,MAR,POR,1,0
4,ENG,FRA,1,2
2,ARG,CRO,3,0
2,FRA,MAR,2,0
1,CRO,MAR,2,1
0,ARG,FRA,3,3
