home_team,away_team
Mexico,South Africa
South Korea,Czech Republic
Canada,Bosnia and Herzegovina
USA,Paraguay
Qatar,Switzerland
Brazil,Morocco
Haiti,Scotland
Australia,Turkey
Germany,Curaçao
Netherlands,Japan
Ivory Coast,Ecuador
Sweden,Tunisia
Spain,Cape Verde
Belgium,Egypt
Saudi Arabia,Uruguay
Iran,New Zealand
France,Senegal
Iraq,Norway
Argentina,Algeria
Austria,Jordan
Portugal,DR Congo
England,Croatia
Ghana,Panama
Uzbekistan,Colombia
Czech Republic,South Africa
Switzerland,Bosnia and Herzegovina
Canada,Qatar
Mexico,South Korea
USA,Australia
Scotland,Morocco
Brazil,Haiti
Turkey,Paraguay
Netherlands,Sweden
Germany,Ivory Coast
Ecuador,Curaçao
Tunisia,Japan
Spain,Saudi Arabia
Belgium,Iran
Uruguay,Cape Verde
New Zealand,Egypt
Argentina,Austria
France,Iraq
Norway,Senegal
Jordan,Algeria
Portugal,Uzbekistan
England,Ghana
Panama,Croatia
Colombia,DR Congo
Switzerland,Canada
Bosnia and Herzegovina,Qatar
Scotland,Brazil
Morocco,Haiti
Czech Republic,Mexico
South Africa,South Korea
Curaçao,Ivory Coast
Ecuador,Germany
Japan,Sweden
Tunisia,Netherlands
Turkey,USA
Paraguay,Australia
Norway,France
Senegal,Iraq
Cape Verde,Saudi Arabia
Uruguay,Spain
Egypt,Iran
New Zealand,Belgium
Panama,England
Croatia,Ghana
Colombia,Portugal
DR Congo,Uzbekistan
Algeria,Austria
Jordan,Argentina
