home_team,away_team,lambda_home,lambda_away,lambda_total
Mexico,South Africa,1.41,0.8302,2.2402
South Korea,Czech Republic,1.3483,1.5189,2.8673
Canada,Bosnia and Herzegovina,1.6986,1.0379,2.7365
United States,Paraguay,1.1094,1.1516,2.261
Qatar,Switzerland,0.9041,3.0895,3.9936
Brazil,Morocco,1.1617,0.7671,1.9288
Haiti,Scotland,0.8792,2.4917,3.3708
Australia,Turkey,1.3845,1.5193,2.9038
Germany,Curaçao,3.7149,0.5234,4.2383
Netherlands,Japan,1.8299,1.2614,3.0914
Ivory Coast,Ecuador,0.8872,1.3216,2.2087
Sweden,Tunisia,1.4684,1.1499,2.6183
Spain,Cape Verde,3.1492,0.5202,3.6693
Belgium,Egypt,1.6312,0.8352,2.4663
Saudi Arabia,Uruguay,0.4843,1.7732,2.2575
Iran,New Zealand,1.7971,0.609,2.4061
France,Senegal,1.6149,0.905,2.5199
Iraq,Norway,0.8228,2.2128,3.0356
Argentina,Algeria,2.1634,0.7546,2.918
Austria,Jordan,2.2623,0.9237,3.186
Portugal,DR Congo,2.1395,0.6558,2.7953
England,Croatia,1.6862,0.9804,2.6666
Ghana,Panama,1.5178,1.384,2.9018
Uzbekistan,Colombia,0.6121,2.0803,2.6924
Czech Republic,South Africa,1.4933,1.0689,2.5622
Switzerland,Bosnia and Herzegovina,2.4826,0.8892,3.3718
Canada,Qatar,2.1139,1.0553,3.1692
Mexico,South Korea,1.4343,1.0472,2.4815
United States,Australia,1.1753,1.2458,2.4211
Scotland,Morocco,0.6812,1.505,2.1862
Brazil,Haiti,4.2492,0.4481,4.6973
Turkey,Paraguay,1.4341,1.2798,2.7139
Netherlands,Sweden,2.1938,1.2192,3.413
Germany,Ivory Coast,2.2021,1.0343,3.2364
Ecuador,Curaçao,2.2295,0.4489,2.6784
Tunisia,Japan,0.9592,1.5192,2.4784
Spain,Saudi Arabia,3.0064,0.4634,3.4698
Belgium,Iran,2.0687,1.0408,3.1095
Uruguay,Cape Verde,1.8574,0.5436,2.401
New Zealand,Egypt,0.4802,1.4419,1.9221
Argentina,Austria,1.9626,0.7534,2.7159
France,Iraq,2.698,0.5296,3.2276
Norway,Senegal,1.3245,1.4062,2.7306
Jordan,Algeria,1.0182,2.266,3.2842
Portugal,Uzbekistan,2.3592,0.6401,2.9993
England,Ghana,2.6467,0.5709,3.2175
Panama,Croatia,0.8817,2.6067,3.4884
Colombia,DR Congo,1.8866,0.6271,2.5137
Switzerland,Canada,1.9026,1.1153,3.0179
Bosnia and Herzegovina,Qatar,1.6853,1.3769,3.0623
Scotland,Brazil,0.6925,2.3168,3.0093
Morocco,Haiti,2.7602,0.4408,3.2011
Czech Republic,Mexico,1.1094,1.3489,2.4583
South Africa,South Korea,1.1366,1.4094,2.5461
Curaçao,Ivory Coast,0.6169,2.0564,2.6733
Ecuador,Germany,1.1214,1.6026,2.724
Japan,Sweden,1.6686,1.3453,3.014
Tunisia,Netherlands,0.8693,1.9973,2.8666
Turkey,United States,1.6202,1.3929,3.0131
Paraguay,Australia,1.0799,1.1027,2.1826
Norway,France,1.1016,2.087,3.1886
Senegal,Iraq,1.8179,0.6367,2.4546
Cape Verde,Saudi Arabia,1.0631,0.9921,2.0552
Uruguay,Spain,0.8676,1.5372,2.4048
Egypt,Iran,1.14,1.1203,2.2604
New Zealand,Belgium,0.4461,2.6165,3.0626
Panama,England,0.6075,3.0889,3.6965
Croatia,Ghana,2.2335,0.8285,3.062
Colombia,Portugal,1.3236,1.4354,2.7589
DR Congo,Uzbekistan,1.0308,0.9124,1.9432
Algeria,Austria,1.4143,1.5565,2.9708
Jordan,Argentina,0.4928,3.1444,3.6373
