home_team,away_team,ou_line
Mexico,South Africa,2.25
South Korea,Czech Republic,2.25
Canada,Bosnia and Herzegovina,2.25
USA,Paraguay,2.25
Qatar,Switzerland,2.75
Brazil,Morocco,2.25
Haiti,Scotland,2.5
Australia,Turkey,2.5
Germany,Curaçao,4.25
Netherlands,Japan,2.5
Ivory Coast,Ecuador,1.75
Sweden,Tunisia,2.25
Spain,Cape Verde,3.5
Belgium,Egypt,2.5
Saudi Arabia,Uruguay,2.5
Iran,New Zealand,2.25
France,Senegal,2.5
Iraq,Norway,3
Argentina,Algeria,2.5
Austria,Jordan,2.75
Portugal,DR Congo,2.75
England,Croatia,2.25
Ghana,Panama,2.25
Uzbekistan,Colombia,2.5
Czech Republic,South Africa,2.25
Switzerland,Bosnia and Herzegovina,2.25
Canada,Qatar,2.5
Mexico,South Korea,2.25
USA,Australia,2.5
Scotland,Morocco,2.25
Brazil,Haiti,3.75
Turkey,Paraguay,2.25
Netherlands,Sweden,2.5
Germany,Ivory Coast,2.75
Ecuador,Curaçao,2.75
Tunisia,Japan,2.25
Spain,Saudi Arabia,3.25
Belgium,Iran,2.5
Uruguay,Cape Verde,2.5
New Zealand,Egypt,2.25
Argentina,Austria,2.5
France,Iraq,3.25
Norway,Senegal,2.5
Jordan,Algeria,2.5
Portugal,Uzbekistan,3
England,Ghana,2.75
Panama,Croatia,2.5
Colombia,DR Congo,2.25
Switzerland,Canada,2.25
Bosnia and Herzegovina,Qatar,2.5
Scotland,Brazil,2.5
Morocco,Haiti,2.75
Czech Republic,Mexico,2.25
South Africa,South Korea,2.25
Curaçao,Ivory Coast,2.75
Ecuador,Germany,2.5
Japan,Sweden,2.25
Tunisia,Netherlands,2.5
Turkey,USA,2.5
Paraguay,Australia,2.25
Norway,France,2.5
Senegal,Iraq,2.5
Cape Verde,Saudi Arabia,2.25
Uruguay,Spain,2.5
Egypt,Iran,2
New Zealand,Belgium,2.75
Panama,England,2.75
Croatia,Ghana,2.25
Colombia,Portugal,2.25
DR Congo,Uzbekistan,2.25
Algeria,Austria,2.25
Jordan,Argentina,3
