wc_match_weight,avg_static,avg_live,avg_gain,static_2002,live_2002,gain_2002,static_2006,live_2006,gain_2006,static_2010,live_2010,gain_2010,static_2014,live_2014,gain_2014,static_2018,live_2018,gain_2018,static_2022,live_2022,gain_2022
1.75,56.5,56.17,-0.33,55,50,-5,66,69,3,60,62,2,47,47,0,58,60,2,53,49,-4
1.5,56.5,56.0,-0.5,55,50,-5,66,69,3,60,62,2,47,47,0,58,59,1,53,49,-4
1.25,56.5,55.83,-0.67,55,50,-5,66,66,0,60,62,2,47,49,2,58,59,1,53,49,-4
2.5,56.5,55.67,-0.83,55,48,-7,66,65,-1,60,61,1,47,49,2,58,61,3,53,50,-3
0.75,56.5,55.67,-0.83,55,49,-6,66,65,-1,60,64,4,47,48,1,58,61,3,53,47,-6
2.0,56.5,55.5,-1.0,55,50,-5,66,69,3,60,59,-1,47,48,1,58,59,1,53,48,-5
0.5,56.5,55.5,-1.0,55,49,-6,66,69,3,60,62,2,47,47,0,58,59,1,53,47,-6
4.0,56.5,55.33,-1.17,55,47,-8,66,61,-5,60,67,7,47,51,4,58,58,0,53,48,-5
1.0,56.5,55.33,-1.17,55,49,-6,66,66,0,60,62,2,47,50,3,58,59,1,53,46,-7
5.0,56.5,54.83,-1.67,55,49,-6,66,61,-5,60,66,6,47,53,6,58,55,-3,53,45,-8
3.0,56.5,54.5,-2.0,55,46,-9,66,60,-6,60,61,1,47,49,2,58,61,3,53,50,-3
7.0,56.5,53.67,-2.83,55,44,-11,66,57,-9,60,69,9,47,53,6,58,54,-4,53,45,-8
10.0,56.5,51.17,-5.33,55,43,-12,66,56,-10,60,67,7,47,51,4,58,51,-7,53,39,-14
