world_cup_year,match_index,model_cumulative_points,actual_leaderboard_rank,competitors_higher_or_equal_count,total_pool_participants
2006,1,1,2,54,64
2006,2,1,12,56,64
2006,3,4,1,8,64
2006,4,4,2,9,64
2006,5,6,4,3,64
2006,6,7,5,5,64
2006,7,8,5,6,64
2006,8,9,6,7,64
2006,9,10,8,14,64
2006,10,11,7,12,64
2006,11,12,7,11,64
2006,12,12,7,13,64
2006,13,12,8,15,64
2006,14,13,13,21,64
2006,15,14,11,20,64
2006,16,14,15,26,64
2006,17,15,16,26,64
2006,18,16,17,22,64
2006,19,19,14,17,64
2006,20,22,8,8,64
2006,21,23,8,7,64
2006,22,25,7,8,64
2006,23,25,7,8,64
2006,24,28,4,5,64
2006,25,29,3,3,64
2006,26,29,3,3,64
2006,27,32,1,2,64
2006,28,32,2,2,64
2006,29,32,2,3,64
2006,30,35,1,1,64
2006,31,36,2,2,64
2006,32,37,1,2,64
2006,33,38,1,2,64
2006,34,41,1,0,64
2006,35,41,1,0,64
2006,36,44,1,0,64
2006,37,44,1,0,64
2006,38,45,1,0,64
2006,39,47,1,1,64
2006,40,47,1,1,64
2006,41,48,1,0,64
2006,42,48,4,3,64
2006,43,49,4,3,64
2006,44,49,4,3,64
2006,45,52,2,3,64
2006,46,53,2,3,64
2006,47,54,2,3,64
2006,48,57,1,0,64
2006,49,59,1,0,64
2006,50,62,1,0,64
2006,51,63,1,0,64
2006,52,63,1,1,64
2006,53,66,1,0,64
2006,54,69,1,0,64
2006,55,70,1,0,64
2006,56,70,1,0,64
2006,57,70,1,0,64
2006,58,71,1,0,64
2006,59,71,1,0,64
2006,60,71,1,0,64
2006,61,71,1,0,64
2006,62,74,1,0,64
2006,63,75,1,0,64
2006,64,76,1,0,64
2010,1,0,4,43,43
2010,2,0,14,43,43
2010,3,0,21,43,43
2010,4,1,21,38,43
2010,5,1,29,38,43
2010,6,4,14,19,43
2010,7,4,19,24,43
2010,8,5,19,23,43
2010,9,8,11,15,43
2010,10,8,11,18,43
2010,11,8,20,25,43
2010,12,8,22,25,43
2010,13,8,22,25,43
2010,14,10,17,22,43
2010,15,13,9,13,43
2010,16,13,9,13,43
2010,17,14,8,11,43
2010,18,14,9,12,43
2010,19,15,8,12,43
2010,20,15,8,12,43
2010,21,15,8,14,43
2010,22,15,8,14,43
2010,23,15,8,14,43
