match_date,prediction_timestamp,home_team,away_team,home_odds,draw_odds,away_odds,ou_line,over_odds,under_odds,calculated_implied_xg,pred_home,pred_away,prediction,expected_pts,second_best_prediction,second_best_expected_pts,decision_margin,lambda_home,lambda_away,lambda_total,home_win,draw,away_win
2026-06-11,2026-07-01 04:52:18,England,DR Congo,1.2933,5.26,13.0,2.5,1.9933,1.8167,2.5811,2,0,2-0,1.1495,2-1,1.0787,0.0708,2.0286,0.5581,2.5867,0.7394,0.1868,0.0739
2026-06-11,2026-06-10 17:54:47,Mexico,South Africa,1.4107,4.4667,8.45,2.25,1.9667,1.8873,2.3818,2,0,2-0,0.9863,2-1,0.9645,0.0218,1.4711,0.8323,2.3035,0.6179,0.2377,0.1443
2026-06-11,2026-06-10 20:59:07,Mexico,South Africa,1.4107,4.4667,8.45,2.25,1.9667,1.8873,2.3818,2,0,2-0,0.9874,2-1,0.9651,0.0223,1.4742,0.8289,2.3031,0.6186,0.2376,0.1438
2026-06-11,2026-06-10 17:54:47,South Korea,Czech Republic,2.6967,3.1133,2.8467,2.25,2.01,1.8457,2.3441,1,1,1-1,0.5894,1-2,0.5754,0.014,1.0956,1.238,2.3335,0.3401,0.3035,0.3564
2026-06-11,2026-06-10 20:59:07,South Korea,Czech Republic,2.6967,3.1133,2.8467,2.25,2.01,1.8457,2.3441,1,1,1-1,0.5895,1-2,0.5754,0.0142,1.0958,1.2376,2.3334,0.3401,0.3036,0.3563
2026-06-12,2026-06-10 17:54:47,Canada,Bosnia and Herzegovina,1.8043,3.6033,4.66,2.25,1.9343,1.9177,2.4101,2,0,2-0,0.8318,2-1,0.8208,0.0111,1.5005,0.8959,2.3965,0.524,0.2689,0.2071
2026-06-12,2026-06-10 20:59:07,Canada,Bosnia and Herzegovina,1.8043,3.6033,4.66,2.25,1.9343,1.9177,2.4101,2,0,2-0,0.8331,2-1,0.8216,0.0115,1.5045,0.8921,2.3966,0.5248,0.2688,0.2064
2026-06-12,2026-06-10 17:54:47,United States,Paraguay,1.9243,3.4533,4.2233,2.25,2.0467,1.8143,2.3142,1,0,1-0,0.7181,2-1,0.7081,0.01,1.0887,1.1351,2.2237,0.4353,0.288,0.2768
2026-06-12,2026-06-10 20:59:07,United States,Paraguay,1.9243,3.4533,4.2233,2.25,2.0467,1.8143,2.3142,1,0,1-0,0.7173,2-1,0.7072,0.0101,1.0851,1.1384,2.2235,0.4346,0.288,0.2774
2026-06-13,2026-06-10 17:54:47,Australia,Turkey,5.18,3.8233,1.6913,2.5,2.01,1.8307,2.5805,1,2,1-2,0.8048,0-2,0.7828,0.0219,1.2495,1.3504,2.6,0.2422,0.2606,0.4973
