match_date,prediction_timestamp,home_team,away_team,home_odds,draw_odds,away_odds,ou_line,over_odds,under_odds,calculated_implied_xg,pred_home,pred_away,prediction,expected_pts,second_best_prediction,second_best_expected_pts,decision_margin,lambda_home,lambda_away,lambda_total,home_win,draw,away_win
2026-06-23,2026-06-24 01:06:30,Colombia,DR Congo,1.5157,3.9571,7.1929,2.25,1.91,1.93,2.4267,2,0,2-0,1.026,2-1,0.9652,0.0608,1.8033,0.5846,2.3878,0.648,0.2343,0.1177
2026-06-12,2026-06-12 05:32:26,Canada,Bosnia and Herzegovina,1.864,3.51,3.81,2.25,2.0567,1.8097,2.3079,2,0,2-0,0.8032,2-1,0.7868,0.0164,1.4257,0.8453,2.271,0.5022,0.2701,0.2277
2026-06-12,2026-06-12 05:32:56,Canada,Bosnia and Herzegovina,1.864,3.51,4.6467,2.25,2.01,1.877,2.3584,2,0,2-0,0.8202,2-1,0.8061,0.014,1.4645,0.8683,2.3328,0.5146,0.277,0.2084
2026-06-12,2026-06-12 18:15:11,Canada,Bosnia and Herzegovina,1.854,3.61,4.8,2.25,1.97,1.934,2.4015,2,0,2-0,0.8269,2-1,0.8151,0.0119,1.4979,0.8881,2.386,0.5206,0.2729,0.2065
2026-06-27,2026-06-28 01:46:06,Jordan,Argentina,21.0,8.8833,1.1333,3.0,1.8033,1.9567,3.2329,0,2,0-2,1.2386,0-3,1.2297,0.0089,0.4351,2.8199,3.255,0.0352,0.1043,0.8605
2026-06-11,2026-06-10 17:54:47,Mexico,South Africa,1.4107,4.4667,8.45,2.25,1.9667,1.8873,2.3818,2,0,2-0,0.9863,2-1,0.9645,0.0218,1.4711,0.8323,2.3035,0.6179,0.2377,0.1443
2026-06-11,2026-06-10 20:59:07,Mexico,South Africa,1.4107,4.4667,8.45,2.25,1.9667,1.8873,2.3818,2,0,2-0,0.9874,2-1,0.9651,0.0223,1.4742,0.8289,2.3031,0.6186,0.2376,0.1438
2026-06-11,2026-06-11 08:27:36,Mexico,South Africa,1.446,4.5033,8.22,2.25,1.9313,1.9567,2.429,2,0,2-0,0.9767,2-1,0.9575,0.0191,1.5113,0.8497,2.3611,0.614,0.2376,0.1484
2026-06-11,2026-06-11 16:47:29,Mexico,South Africa,1.423,4.6,8.75,2.25,1.915,1.97,2.4424,2,0,2-0,0.9873,2-1,0.9688,0.0185,1.5219,0.8557,2.3776,0.6214,0.2345,0.1441
2026-06-11,2026-06-11 18:54:30,Mexico,South Africa,1.456,4.0,9.0,2.25,2.03,1.877,2.35,2,0,2-0,0.9679,2-1,0.944,0.0239,1.4494,0.8149,2.2642,0.6051,0.255,0.1399
2026-06-11,2026-06-10 17:54:47,South Korea,Czech Republic,2.6967,3.1133,2.8467,2.25,2.01,1.8457,2.3441,1,1,1-1,0.5894,1-2,0.5754,0.014,1.0956,1.238,2.3335,0.3401,0.3035,0.3564
2026-06-11,2026-06-10 20:59:07,South Korea,Czech Republic,2.6967,3.1133,2.8467,2.25,2.01,1.8457,2.3441,1,1,1-1,0.5895,1-2,0.5754,0.0142,1.0958,1.2376,2.3334,0.3401,0.3036,0.3563
2026-06-11,2026-06-12 01:06:41,South Korea,Czech Republic,2.64,3.083,3.03,2.25,1.973,1.915,2.3917,1,1,1-1,0.5953,2-1,0.5708,0.0244,1.1234,1.2688,2.3922,0.3475,0.3057,0.3467
2026-06-15,2026-06-15 15:52:41,Spain,Cape Verde,1.1,13.0,25.0,3.75,2.01,1.877,3.8329,3,0,3-0,1.252,2-0,1.203,0.049,3.3011,0.513,3.814,0.8928,0.076,0.0311
2026-06-12,2026-06-11 08:21:37,United States,Paraguay,1.9243,3.4533,4.2233,2.25,2.0467,1.8143,2.3142,1,0,1-0,0.7173,2-1,0.7072,0.0101,1.0851,1.1384,2.2235,0.4346,0.288,0.2774
2026-06-12,2026-06-12 05:28:22,United States,Paraguay,2.1067,3.34,3.81,2.25,2.0567,1.8097,2.3079,1,0,1-0,0.6778,2-1,0.6667,0.0111,1.0814,1.1346,2.216,0.4098,0.2959,0.2943
2026-06-12,2026-06-10 17:54:47,Canada,Bosnia and Herzegovina,1.8043,3.6033,4.66,2.25,1.9343,1.9177,2.4101,2,0,2-0,0.8318,2-1,0.8208,0.0111,1.5005,0.8959,2.3965,0.524,0.2689,0.2071
2026-06-12,2026-06-10 20:59:07,Canada,Bosnia and Herzegovina,1.8043,3.6033,4.66,2.25,1.9343,1.9177,2.4101,2,0,2-0,0.8331,2-1,0.8216,0.0115,1.5045,0.8921,2.3966,0.5248,0.2688,0.2064
