combo_id,decay_lambda,regularization,elite,caf,concacaf,afc,ofc,best_alpha,best_k,best_weighted_score,best_unweighted_score,score_2006,score_2010,score_2014,score_2018,converged,error
9,0.15,0.01,1.0,1.1,1.05,0.95,0.9,0.45,1.05,192.3,250,77,54,57,62,True,
4,0.1,0.01,1.0,1.1,1.05,0.95,0.9,0.75,1.2,190.95,245,70,53,58,64,True,
8,0.15,0.005,1.0,1.1,1.05,0.95,0.9,0.45,1.05,192.3,250,77,54,57,62,True,
3,0.1,0.005,1.0,1.1,1.05,0.95,0.9,0.75,1.2,190.95,245,70,53,58,64,True,
7,0.15,0.002,1.0,1.1,1.05,0.95,0.9,0.45,1.05,192.3,250,77,54,57,62,True,
2,0.1,0.002,1.0,1.1,1.05,0.95,0.9,0.75,1.2,190.95,245,70,53,58,64,True,
6,0.15,0.001,1.0,1.1,1.05,0.95,0.9,0.45,1.05,192.3,250,77,54,57,62,True,
1,0.1,0.001,1.0,1.1,1.05,0.95,0.9,0.75,1.2,190.95,245,70,53,58,64,True,
10,0.2,0.0005,1.0,1.1,1.05,0.95,0.9,0.65,1.15,195.05,250,71,55,57,67,True,
0,0.1,0.0005,1.0,1.1,1.05,0.95,0.9,0.75,1.2,190.95,245,70,53,58,64,True,
5,0.15,0.0005,1.0,1.1,1.05,0.95,0.9,0.45,1.05,192.3,250,77,54,57,62,True,
14,0.2,0.01,1.0,1.1,1.05,0.95,0.9,0.25,1.15,197.25,254,76,51,60,67,True,
13,0.2,0.005,1.0,1.1,1.05,0.95,0.9,0.25,1.15,196.75,253,75,51,60,67,True,
12,0.2,0.002,1.0,1.1,1.05,0.95,0.9,0.65,1.15,195.05,250,71,55,57,67,True,
11,0.2,0.001,1.0,1.1,1.05,0.95,0.9,0.65,1.15,195.05,250,71,55,57,67,True,
19,0.25,0.01,1.0,1.1,1.05,0.95,0.9,0.75,1.15,193.25,247,69,55,55,68,True,
18,0.25,0.005,1.0,1.1,1.05,0.95,0.9,0.75,1.15,193.25,247,69,55,55,68,True,
17,0.25,0.002,1.0,1.1,1.05,0.95,0.9,0.75,1.15,193.25,247,69,55,55,68,True,
15,0.25,0.0005,1.0,1.1,1.05,0.95,0.9,0.75,1.15,193.25,247,69,55,55,68,True,
16,0.25,0.001,1.0,1.1,1.05,0.95,0.9,0.75,1.15,193.25,247,69,55,55,68,True,
21,0.3,0.001,1.0,1.1,1.05,0.95,0.9,0.45,1.2,194.6,248,69,52,59,68,True,
20,0.3,0.0005,1.0,1.1,1.05,0.95,0.9,0.45,1.2,194.6,248,69,52,59,68,True,
24,0.3,0.01,1.0,1.1,1.05,0.95,0.9,0.45,1.2,194.6,248,69,52,59,68,True,
23,0.3,0.005,1.0,1.1,1.05,0.95,0.9,0.45,1.2,194.6,248,69,52,59,68,True,
22,0.3,0.002,1.0,1.1,1.05,0.95,0.9,0.45,1.2,194.6,248,69,52,59,68,True,
