year,home_team,away_team,lambda_total,k,prediction,actual,points
2014,Brazil,Croatia,2.7501000425130004,1.0940403,2-0,3-1,1
2014,Mexico,Cameroon,1.9680983999999992,1.13,1-0,1-0,3
2014,Spain,Netherlands,2.5864815164249997,1.1063505,2-1,1-5,0
2014,Chile,Australia,2.7355676912999995,1.0951469999999999,2-0,3-1,1
2014,Colombia,Greece,1.7522570999999996,1.13,1-0,3-0,1
2014,Uruguay,Costa Rica,2.7523856292000004,1.093866,2-0,1-3,0
2014,England,Italy,2.674997411433,1.0997313,2-1,1-2,0
2014,Ivory Coast,Japan,2.8346317368480003,1.0875492,2-1,2-1,3
2014,Switzerland,Ecuador,2.6314294857,1.103001,1-2,2-1,0
2014,France,Honduras,2.6126157292169996,1.1044059,2-0,3-0,1
2014,Argentina,Bosnia and Herzegovina,2.8891698375719996,1.0833114,2-0,2-1,2
2014,Germany,Portugal,2.776126213392,1.0920516,2-1,4-0,1
2014,Iran,Nigeria,2.6155159893119997,1.1041896,1-2,0-0,0
2014,Ghana,United States,2.648310850368,1.1017367999999998,2-1,1-2,0
2014,Belgium,Algeria,2.709753821432999,1.0971062999999999,2-0,2-1,2
2014,Brazil,Mexico,2.776537545657,1.0920201,2-0,0-0,0
2014,Russia,South Korea,2.6501028616319995,1.1016024,2-0,1-1,0
2014,Australia,Netherlands,2.7249566146919997,1.0959534,0-2,2-3,1
2014,Spain,Chile,2.6628560033279998,1.1006448,2-0,0-2,0
2014,Cameroon,Croatia,2.6460140816999997,1.101909,1-2,0-4,1
2014,Colombia,Ivory Coast,2.6689715544570003,1.1001849,2-1,2-1,3
2014,Uruguay,England,2.725675659408,1.0958988,1-2,2-1,0
2014,Japan,Greece,2.605768071108,1.1049162,1-2,0-0,0
2014,Italy,Costa Rica,2.6653420475369995,1.1004578999999999,2-0,0-1,0
2014,Switzerland,France,2.541269963748,1.1096958,1-2,2-5,1
2014,Honduras,Ecuador,2.6871706350719995,1.0988136,0-2,1-2,2
2014,Argentina,Iran,2.7811425301529993,1.0916673,2-0,1-0,1
2014,Germany,Ghana,3.4855874,1.06,2-1,2-2,0
2014,Nigeria,Bosnia and Herzegovina,2.7479789028,1.094202,1-2,1-0,0
2014,Belgium,Russia,2.6689157320169996,1.1001891,1-2,1-0,0
2014,South Korea,Algeria,2.297410604353,1.1273476999999998,2-1,2-4,0
2014,United States,Portugal,2.681379515712,1.0992503999999998,0-2,2-2,0
2014,Australia,Spain,3.3705032,1.06,0-2,0-3,1
2014,Netherlands,Chile,2.7005694879720004,1.0978014,2-1,2-0,2
2014,Cameroon,Brazil,3.5175782,1.06,0-3,1-4,1
2014,Croatia,Mexico,2.644304960337,1.1020371,1-2,1-3,1
2014,Italy,Uruguay,2.745636517425,1.0943805,1-2,0-1,1
2014,Costa Rica,England,2.6954302362569997,1.0981899,0-2,0-0,0
2014,Japan,Colombia,2.6423711268000005,1.102182,0-2,1-4,1
2014,Greece,Ivory Coast,2.6573216732519995,1.1010606,1-2,2-1,0
2014,Nigeria,Argentina,2.755991234817,1.0935909,0-2,2-3,1
2014,Bosnia and Herzegovina,Iran,2.746297989057,1.0943301,2-1,3-1,1
2014,Honduras,Switzerland,2.5939715652,1.105794,0-2,0-3,1
2014,Ecuador,France,2.618049102852,1.1040006,1-2,0-0,0
2014,United States,Germany,2.8704178353,1.084773,0-2,0-1,1
2014,Portugal,Ghana,3.2808908,1.06,2-1,2-1,3
2014,South Korea,Belgium,2.721581498112,1.0962096,1-2,0-1,1
2014,Algeria,Russia,2.6498508912329997,1.1016213,0-2,1-1,0
2014,Brazil,Chile,2.8003189985279997,1.0901952,2-0,1-1,0
2014,Colombia,Uruguay,2.635387521657,1.1027049,1-2,2-0,0
2014,Netherlands,Mexico,2.6736309501479996,1.0998341999999999,2-1,2-1,3
2014,Costa Rica,Greece,1.7890724999999996,1.13,0-1,1-1,0
2014,France,Nigeria,2.5906939912319995,1.1060375999999998,2-0,2-0,3
2014,Germany,Algeria,2.918762439657,1.0809951,2-0,2-1,2
2014,Argentina,Switzerland,2.6827999580729998,1.0991433,2-0,1-0,1
2014,Belgium,United States,2.723822563425,1.0960395,2-1,2-1,3
2014,France,Germany,2.712830673168,1.0968731999999999,1-2,0-1,1
2014,Brazil,Colombia,2.6428756629479997,1.1021442,2-0,2-1,2
2014,Argentina,Belgium,2.8185078824249996,1.0887944999999999,2-0,1-0,1
2014,Netherlands,Costa Rica,2.704927524273,1.0974717,2-0,0-0,0
2014,Brazil,Germany,2.8753003061370004,1.0843929,2-1,1-7,0
2014,Netherlands,Argentina,2.696097193425,1.0981395,1-2,0-0,0
2014,Brazil,Netherlands,2.7033734217929997,1.0975892999999999,2-1,0-3,0
2014,Germany,Argentina,2.862478394112,1.0853904,1-2,1-0,0
2018,Russia,Saudi Arabia,2.773602755328,1.0922448,2-0,5-0,1
2018,Egypt,Uruguay,2.2920616443879993,1.1277278,0-2,0-1,1
2018,Morocco,Iran,2.0890423,1.13,1-0,0-1,0
2018,Portugal,Spain,2.6453416964519993,1.1019594,1-2,3-3,0
2018,France,Australia,3.065303503137,1.0693429,2-0,2-1,2
2018,Argentina,Iceland,2.8737362069129997,1.0845147,2-0,1-1,0
2018,Peru,Denmark,2.2404057999999996,1.13,1-0,0-1,0
2018,Croatia,Nigeria,2.569830488913,1.1075853,2-0,2-0,3
2018,Costa Rica,Serbia,2.3232694852,1.125506,0-2,0-1,1
2018,Germany,Mexico,3.1376763582329996,1.0634713,2-0,0-1,0
2018,Brazil,Switzerland,2.703567706212,1.0975746,2-0,1-1,0
2018,Sweden,South Korea,2.3432529987999997,1.124078,2-0,1-0,1
2018,Belgium,Panama,3.0940494341130003,1.0670203,2-0,3-0,1
2018,Tunisia,England,2.619793542912,1.1038704,0-2,1-2,2
2018,Colombia,Japan,2.314788316048,1.1261108,2-0,1-2,0
2018,Poland,Senegal,2.2934805553000004,1.127627,2-1,1-2,0
2018,Russia,Egypt,2.2269474999999996,1.13,1-1,3-1,0
2018,Portugal,Morocco,2.549410590528,1.1090952,2-0,1-0,1
2018,Uruguay,Saudi Arabia,3.2412468,1.06,2-0,1-0,1
2018,Iran,Spain,2.6138548388249996,1.1043135,0-2,0-1,1
2018,Denmark,Australia,2.3606907798249996,1.1228285,2-0,1-1,0
2018,France,Peru,2.2532539,1.13,2-0,1-0,1
2018,Argentina,Croatia,2.3092758498249992,1.1265034999999999,2-0,0-3,0
2018,Brazil,Costa Rica,2.7865378926719995,1.0912536,2-0,2-0,3
2018,Nigeria,Iceland,2.3339444044329998,1.1247437,2-1,2-0,2
2018,Serbia,Switzerland,2.3341500937,1.1247289999999999,1-2,1-2,3
2018,Belgium,Tunisia,2.7378035923770003,1.0949769,2-0,5-2,1
2018,South Korea,Mexico,2.7213047660519996,1.0962306,1-2,1-2,3
