continental,qualifier,regional,friendly,avg_margin,combo_time_s,pts_2002,margin_2002,time_2002,pts_2006,margin_2006,time_2006,pts_2010,margin_2010,time_2010,pts_2018,margin_2018,time_2018,pts_2022,margin_2022,time_2022
0.8,0.5,0.3,0.3,14.177303895659742,698.3,49,7.977272727272727,149.6,71,21.328125,157.8,62,18.60465116279069,143.4,61,16.0,131.9,51,6.976470588235294,115.5
0.8,0.5,1.0,0.3,13.777303895659742,684.6,49,7.977272727272727,148.7,68,18.328125,157.4,62,18.60465116279069,131.9,59,14.0,132.3,54,9.976470588235294,114.2
0.8,0.5,0.5,0.3,13.577303895659742,699.9,49,7.977272727272727,149.3,68,18.328125,156.1,62,18.60465116279069,141.8,61,16.0,136.5,51,6.976470588235294,116.2
0.8,1.0,0.3,0.3,13.577303895659742,548.7,45,3.977272727272727,101.3,77,27.328125,112.3,57,13.604651162790695,106.4,63,18.0,115.9,49,4.976470588235294,112.9
0.9,0.7,0.5,0.3,13.577303895659742,908.2,45,3.9772727272727266,160.1,70,20.328125,210.9,62,18.604651162790695,175.4,63,18.0,198.3,51,6.976470588235294,163.5
0.9,0.7,1.0,0.3,13.577303895659742,872.2,45,3.9772727272727266,134.0,70,20.328125,209.8,62,18.604651162790695,177.7,63,18.0,184.7,51,6.976470588235294,166.0
0.9,1.0,0.3,0.3,13.577303895659742,915.9,46,4.977272727272727,187.1,76,26.328125,169.0,57,13.604651162790695,194.0,63,18.0,205.2,49,4.976470588235294,160.6
1.0,0.7,1.0,0.3,13.377303895659741,620.2,47,5.977272727272727,108.2,67,17.328125,133.2,62,18.604651162790695,130.3,63,18.0,125.0,51,6.976470588235294,123.5
0.8,1.0,0.5,0.3,13.37730389565974,545.0,45,3.977272727272727,101.7,76,26.328125,110.0,57,13.604651162790695,106.8,63,18.0,115.4,49,4.976470588235294,111.1
0.8,1.0,0.5,0.0,13.177303895659742,546.4,47,5.977272727272727,104.5,78,28.328125,110.7,54,10.604651162790695,109.3,59,14.0,113.9,51,6.976470588235294,108.0
0.9,0.7,0.3,0.3,13.177303895659742,599.4,45,3.977272727272727,100.1,68,18.328125,112.0,62,18.60465116279069,108.3,63,18.0,141.8,51,6.976470588235294,137.3
0.9,1.0,1.0,0.3,13.177303895659742,858.6,44,2.9772727272727266,183.0,76,26.328125,156.9,57,13.604651162790695,162.3,63,18.0,180.5,49,4.976470588235294,175.9
0.9,1.0,0.5,1.0,12.977303895659741,853.5,47,5.977272727272727,180.1,73,23.328125,168.1,57,13.604651162790695,144.4,60,15.0,185.2,51,6.976470588235294,175.6
0.9,1.0,0.3,1.0,12.977303895659741,858.5,47,5.977272727272727,161.2,73,23.328125,188.3,57,13.604651162790695,147.3,60,15.0,189.4,51,6.976470588235294,172.3
0.9,1.0,1.0,1.0,12.977303895659741,828.3,47,5.977272727272727,161.7,73,23.328125,157.5,57,13.604651162790695,142.5,60,15.0,192.4,51,6.976470588235294,174.1
1.0,0.7,0.5,0.3,12.977303895659741,611.0,47,5.977272727272727,98.8,65,15.328125,130.0,62,18.604651162790695,129.5,63,18.0,135.8,51,6.976470588235294,116.8
1.0,1.0,0.5,1.0,12.977303895659741,622.0,46,4.977272727272727,119.5,73,23.328125,136.2,58,14.604651162790695,129.9,60,15.0,116.8,51,6.976470588235294,119.5
1.0,1.0,1.0,1.0,12.977303895659741,611.4,46,4.977272727272727,116.6,73,23.328125,133.6,58,14.604651162790695,129.7,60,15.0,118.9,51,6.976470588235294,112.7
1.0,1.0,0.3,1.0,12.977303895659741,627.2,46,4.977272727272727,111.7,73,23.328125,133.5,58,14.604651162790695,129.9,60,15.0,128.6,51,6.976470588235294,123.4
1.0,0.7,0.3,0.3,12.977303895659741,611.9,47,5.977272727272727,122.9,65,15.328125,134.3,62,18.604651162790695,127.7,63,18.0,114.9,51,6.976470588235294,112.0
0.8,1.0,1.0,0.3,12.97730389565974,547.5,43,1.9772727272727264,101.0,76,26.328125,109.8,57,13.604651162790695,108.8,63,18.0,115.2,49,4.976470588235294,112.7
0.9,0.5,0.3,0.3,12.97730389565974,594.2,49,7.977272727272727,102.1,67,17.328125,110.3,60,16.604651162790695,106.9,61,16.0,137.5,51,6.976470588235294,137.5
0.8,0.5,0.3,0.0,12.777303895659744,685.6,52,10.977272727272728,149.3,69,19.328125,157.3,55,11.604651162790695,134.9,63,18.0,129.8,48,3.976470588235294,114.4
0.9,0.5,0.5,0.3,12.777303895659744,599.3,49,7.977272727272727,99.4,67,17.328125,113.1,60,16.604651162790695,109.3,59,14.0,139.0,52,7.976470588235294,138.5
0.9,0.5,1.0,0.3,12.777303895659744,605.3,49,7.977272727272727,101.5,67,17.328125,114.8,60,16.604651162790695,108.6,59,14.0,141.4,52,7.976470588235294,139.0
0.8,1.0,1.0,1.0,12.777303895659744,546.2,46,4.977272727272727,102.3,73,23.328125,112.5,57,13.604651162790695,106.0,60,15.0,114.8,51,6.976470588235294,110.6
0.9,0.5,0.3,0.0,12.777303895659744,593.0,56,14.977272727272728,100.3,67,17.328125,110.6,53,9.604651162790695,106.7,63,18.0,136.4,48,3.976470588235294,139.0
0.8,1.0,0.3,1.0,12.777303895659744,546.8,46,4.977272727272727,99.9,73,23.328125,112.0,57,13.604651162790695,107.1,60,15.0,113.5,51,6.976470588235294,114.4
1.0,0.5,0.3,0.1,12.777303895659744,634.1,53,11.977272727272727,125.8,68,18.328125,134.3,57,13.604651162790695,129.7,62,17.0,132.2,47,2.976470588235294,112.0
1.0,0.5,0.3,0.3,12.777303895659744,628.4,49,7.977272727272727,124.2,67,17.328125,136.2,60,16.604651162790695,129.0,59,14.0,125.1,52,7.976470588235294,113.8
1.0,0.5,0.5,0.3,12.777303895659744,618.9,49,7.977272727272727,120.2,67,17.328125,133.8,60,16.604651162790695,129.5,59,14.0,123.9,52,7.976470588235294,111.6
0.8,1.0,0.3,0.0,12.777303895659744,547.0,45,3.977272727272727,102.7,78,28.328125,110.1,54,10.604651162790695,108.0,59,14.0,114.9,51,6.976470588235294,111.3
0.8,0.5,0.5,0.0,12.577303895659742,689.5,54,12.977272727272728,150.4,69,19.328125,156.8,55,11.604651162790695,131.2,63,18.0,137.1,45,0.9764705882352942,114.0
0.8,1.0,0.5,1.0,12.577303895659742,556.8,45,3.977272727272727,105.6,73,23.328125,114.5,57,13.604651162790695,106.2,60,15.0,115.5,51,6.976470588235294,115.0
0.8,0.7,1.0,0.0,12.577303895659742,550.3,51,9.977272727272728,101.8,73,23.328125,112.7,55,11.604651162790695,107.0,59,14.0,117.1,48,3.976470588235294,111.6
0.8,0.5,1.0,0.0,12.577303895659742,686.4,54,12.977272727272728,150.1,69,19.328125,156.4,55,11.604651162790695,130.6,63,18.0,133.0,45,0.9764705882352942,116.3
0.8,1.0,1.0,0.0,12.577303895659742,550.3,46,4.977272727272727,103.5,78,28.328125,111.0,54,10.604651162790695,105.4,59,14.0,117.3,49,4.976470588235294,113.1
0.9,1.0,0.5,0.3,12.577303895659742,828.3,44,2.9772727272727266,170.0,73,23.328125,148.3,57,13.604651162790695,145.5,63,18.0,190.2,49,4.976470588235294,174.4
0.9,0.5,1.0,0.0,12.177303895659744,595.9,56,14.977272727272728,100.3,67,17.328125,111.9,53,9.604651162790695,108.0,63,18.0,137.3,45,0.9764705882352942,138.5
0.8,0.7,0.5,0.1,12.177303895659744,698.7,49,7.977272727272727,150.6,74,24.328125,157.1,57,13.604651162790695,146.2,60,15.0,133.4,44,-0.0235294117647058,111.4
0.8,0.7,0.5,0.3,12.177303895659744,551.1,44,2.977272727272726,99.6,69,19.328125,111.4,57,13.604651162790695,108.1,63,18.0,114.0,51,6.976470588235294,118.0
0.8,0.7,1.0,0.3,12.177303895659744,548.1,45,3.977272727272727,100.8,68,18.328125,111.0,57,13.604651162790695,107.6,63,18.0,119.9,51,6.976470588235294,108.9
0.8,0.7,0.3,0.1,12.177303895659744,687.5,49,7.977272727272727,151.7,74,24.328125,156.7,57,13.604651162790695,133.3,60,15.0,134.3,44,-0.0235294117647058,111.4
0.8,0.7,0.3,0.3,12.177303895659744,695.0,44,2.977272727272726,152.4,69,19.328125,155.4,57,13.604651162790695,137.3,63,18.0,136.1,51,6.976470588235294,113.8
0.9,0.5,0.5,0.0,12.177303895659744,597.6,56,14.977272727272728,100.6,67,17.328125,114.1,53,9.604651162790695,108.0,63,18.0,136.9,45,0.9764705882352942,138.0
1.0,0.5,0.5,0.1,12.177303895659744,622.7,53,11.977272727272727,122.0,65,15.328125,134.8,57,13.604651162790695,128.9,62,17.0,120.8,47,2.976470588235294,116.1
1.0,1.0,0.3,0.3,12.177303895659744,629.6,44,2.9772727272727266,112.1,73,23.328125,134.7,57,13.604651162790695,130.3,61,16.0,130.0,49,4.976470588235294,122.5
1.0,0.5,1.0,0.3,12.177303895659744,624.6,46,4.977272727272727,125.7,67,17.328125,134.3,60,16.604651162790695,129.9,59,14.0,121.3,52,7.976470588235294,113.4
1.0,1.0,0.5,0.3,12.177303895659744,622.5,44,2.9772727272727266,118.7,73,23.328125,132.3,57,13.604651162790695,129.7,61,16.0,121.9,49,4.976470588235294,119.9
1.0,1.0,1.0,0.3,12.177303895659744,618.6,44,2.9772727272727266,116.6,73,23.328125,134.9,57,13.604651162790695,131.3,61,16.0,121.7,49,4.976470588235294,114.1
0.9,0.5,1.0,0.1,11.977303895659745,595.0,51,9.977272727272728,101.5,67,17.328125,110.8,57,13.604651162790695,105.6,61,16.0,138.5,47,2.976470588235294,138.6
0.8,0.7,0.3,0.0,11.977303895659745,693.8,48,6.977272727272727,148.0,73,23.328125,157.6,55,11.604651162790695,142.6,59,14.0,130.1,48,3.976470588235294,115.5
0.8,0.7,0.5,0.0,11.977303895659745,689.2,48,6.977272727272727,150.4,73,23.328125,155.6,55,11.604651162790695,138.8,59,14.0,131.4,48,3.976470588235294,113.1
0.9,1.0,1.0,0.0,11.977303895659743,842.4,48,6.977272727272727,157.3,72,22.328125,174.2,56,12.604651162790695,157.5,59,14.0,178.2,48,3.976470588235294,175.2
0.9,0.5,0.3,0.1,11.777303895659744,585.4,51,9.977272727272728,100.1,67,17.328125,108.7,57,13.604651162790695,106.3,62,17.0,133.8,45,0.9764705882352942,136.5
0.9,0.7,0.3,0.1,11.777303895659744,607.1,49,7.977272727272727,103.7,72,22.328125,113.6,57,13.604651162790695,109.9,60,15.0,142.2,44,-0.0235294117647058,137.7
0.9,0.5,0.5,0.1,11.777303895659744,598.0,51,9.977272727272728,99.3,68,18.328125,112.8,57,13.604651162790695,108.4,61,16.0,139.6,45,0.9764705882352942,137.9
0.9,1.0,0.3,0.0,11.777303895659744,899.4,48,6.977272727272727,175.1,72,22.328125,186.3,56,12.604651162790695,195.0,59,14.0,178.8,47,2.976470588235294,164.0
0.9,0.7,0.3,0.0,11.577303895659742,599.7,50,8.977272727272727,103.3,71,21.328125,108.8,56,12.604651162790695,109.7,58,13.0,141.4,46,1.9764705882352944,136.5
0.8,0.5,1.0,0.1,11.577303895659742,685.2,49,7.977272727272727,151.8,68,18.328125,155.6,57,13.604651162790695,136.1,63,18.0,132.1,44,-0.0235294117647058,109.7
0.9,0.7,1.0,0.1,11.577303895659742,903.2,49,7.977272727272727,178.7,69,19.328125,160.8,57,13.604651162790695,231.4,60,15.0,168.0,46,1.9764705882352942,164.3
1.0,0.5,0.3,0.0,11.577303895659742,644.5,56,14.977272727272727,129.6,62,12.328125,134.7,53,9.604651162790695,129.6,62,17.0,131.0,48,3.976470588235294,119.6
0.9,1.0,1.0,0.1,11.577303895659742,893.9,46,4.977272727272727,166.0,73,23.328125,201.7,58,14.604651162790695,156.8,56,11.0,201.2,48,3.976470588235294,168.2
1.0,0.5,0.5,0.0,11.577303895659742,629.9,56,14.977272727272727,125.1,62,12.328125,134.3,53,9.604651162790695,130.1,62,17.0,122.8,48,3.976470588235294,117.7
0.8,0.7,1.0,0.1,11.577303895659742,545.1,49,7.977272727272727,102.0,69,19.328125,112.5,57,13.604651162790695,107.0,60,15.0,114.1,46,1.9764705882352944,109.5
0.8,1.0,1.0,0.1,11.577303895659742,552.0,45,3.977272727272727,102.6,72,22.328125,110.7,60,16.604651162790695,109.6,56,11.0,115.8,48,3.976470588235294,113.2
0.8,0.5,0.3,0.1,11.577303895659742,701.2,49,7.977272727272727,148.8,67,17.328125,156.7,57,13.604651162790695,147.4,64,19.0,134.3,44,-0.0235294117647058,114.1
0.8,0.5,1.0,1.0,11.377303895659743,685.4,40,-1.0227272727272734,148.4,69,19.328125,156.3,56,12.604651162790695,131.8,61,16.0,134.1,54,9.976470588235294,114.8
1.0,0.5,1.0,0.1,11.377303895659743,619.3,51,9.977272727272727,123.8,65,15.328125,134.1,57,13.604651162790695,131.1,60,15.0,120.6,47,2.976470588235294,109.6
1.0,0.7,0.3,0.0,11.377303895659743,623.0,54,12.977272727272727,123.4,69,19.328125,136.1,55,11.604651162790695,127.9,58,13.0,121.4,44,-0.0235294117647058,114.2
0.9,0.7,0.5,0.1,11.177303895659744,597.3,49,7.977272727272727,99.0,69,19.328125,112.4,57,13.604651162790695,107.7,60,15.0,142.7,44,-0.0235294117647058,135.4
0.9,0.7,0.5,0.0,11.177303895659744,606.8,50,8.977272727272727,102.9,71,21.328125,110.1,56,12.604651162790695,111.1,58,13.0,144.0,44,-0.0235294117647058,138.7
0.8,1.0,0.5,0.1,11.177303895659744,550.4,45,3.977272727272727,101.8,72,22.328125,112.6,60,16.604651162790695,105.8,56,11.0,115.8,46,1.9764705882352944,114.3
0.8,0.5,0.5,0.1,11.177303895659744,684.5,49,7.977272727272727,149.2,68,18.328125,154.8,57,13.604651162790695,130.7,63,18.0,134.2,42,-2.023529411764706,115.6
0.8,1.0,0.3,0.1,11.177303895659744,552.1,45,3.977272727272727,101.4,72,22.328125,112.0,60,16.604651162790695,105.8,56,11.0,118.4,46,1.9764705882352944,114.6
0.9,0.5,1.0,1.0,11.177303895659744,600.8,41,-0.0227272727272733,99.4,69,19.328125,113.0,55,11.604651162790695,107.9,60,15.0,139.6,54,9.976470588235294,140.8
0.9,1.0,0.5,0.0,11.177303895659744,870.1,48,6.977272727272727,147.3,72,22.328125,192.6,56,12.604651162790695,160.2,56,11.0,198.9,47,2.976470588235294,171.2
1.0,0.7,0.3,1.0,10.977303895659743,615.0,44,2.9772727272727266,124.4,70,20.328125,132.4,55,11.604651162790695,123.0,58,13.0,123.1,51,6.976470588235294,112.0
1.0,0.7,0.5,0.0,10.977303895659743,612.3,52,10.977272727272727,122.5,69,19.328125,135.4,55,11.604651162790695,124.2,58,13.0,118.9,44,-0.0235294117647058,111.2
0.9,1.0,0.3,0.1,10.977303895659743,896.1,45,3.9772727272727266,179.2,73,23.328125,197.3,58,14.604651162790695,175.3,56,11.0,179.2,46,1.9764705882352942,165.0
0.9,0.7,1.0,0.0,10.977303895659743,849.6,50,8.977272727272727,136.7,71,21.328125,149.2,56,12.604651162790695,197.1,57,12.0,191.9,44,-0.0235294117647058,174.6
0.9,1.0,0.5,0.1,10.977303895659743,872.3,45,3.9772727272727266,141.2,73,23.328125,157.2,58,14.604651162790695,196.5,56,11.0,208.7,46,1.9764705882352942,168.6
1.0,0.7,1.0,1.0,10.977303895659743,623.6,44,2.9772727272727266,109.4,70,20.328125,134.3,55,11.604651162790695,130.5,58,13.0,129.8,51,6.976470588235294,119.7
1.0,0.7,0.5,1.0,10.977303895659743,622.9,44,2.9772727272727266,105.9,70,20.328125,135.7,55,11.604651162790695,129.5,58,13.0,131.8,51,6.976470588235294,119.9
1.0,0.5,1.0,1.0,10.777303895659744,619.1,41,-0.022727272727273373,124.8,67,17.328125,133.6,55,11.604651162790695,130.4,60,15.0,119.0,54,9.976470588235294,111.3
0.8,0.5,0.5,1.0,10.777303895659744,686.3,40,-1.0227272727272734,152.0,69,19.328125,156.0,56,12.604651162790695,130.2,61,16.0,136.2,51,6.976470588235294,111.9
0.8,0.5,0.3,1.0,10.777303895659744,693.0,40,-1.0227272727272734,149.9,69,19.328125,153.9,56,12.604651162790695,134.8,61,16.0,138.1,51,6.976470588235294,116.3
1.0,1.0,0.5,0.0,10.777303895659744,624.9,49,7.977272727272727,114.2,70,20.328125,133.1,56,12.604651162790695,129.7,56,11.0,125.1,46,1.9764705882352942,122.7
1.0,0.7,0.5,0.1,10.777303895659744,617.5,49,7.977272727272727,123.0,69,19.328125,135.5,57,13.604651162790695,125.6,60,15.0,120.3,42,-2.023529411764706,113.1
1.0,1.0,0.3,0.0,10.777303895659744,622.9,49,7.977272727272727,109.5,70,20.328125,133.1,56,12.604651162790695,129.7,56,11.0,126.6,46,1.9764705882352942,124.1
1.0,0.7,0.3,0.1,10.777303895659744,613.2,49,7.977272727272727,124.3,69,19.328125,132.6,57,13.604651162790695,124.5,60,15.0,122.3,42,-2.023529411764706,109.5
0.9,0.5,0.5,1.0,10.577303895659742,604.3,40,-1.0227272727272734,101.6,69,19.328125,115.3,55,11.604651162790695,110.8,61,16.0,140.1,51,6.976470588235294,136.5
1.0,0.7,1.0,0.0,10.577303895659742,621.6,52,10.977272727272727,106.7,69,19.328125,132.9,55,11.604651162790695,130.3,56,11.0,131.8,44,-0.0235294117647058,120.0
1.0,0.7,1.0,0.1,10.577303895659742,627.2,49,7.977272727272727,111.6,66,16.328125,135.2,57,13.604651162790695,130.3,60,15.0,127.4,44,-0.0235294117647058,122.7
0.8,0.7,0.3,1.0,10.577303895659742,687.8,43,1.9772727272727264,152.0,70,20.328125,155.6,54,10.604651162790695,136.2,58,13.0,132.2,51,6.976470588235294,111.8
0.9,0.7,0.3,1.0,10.577303895659742,601.5,44,2.977272727272726,102.5,70,20.328125,114.0,53,9.604651162790695,104.9,58,13.0,141.2,51,6.976470588235294,138.8
