continental,qualifier,regional,friendly,avg_margin,combo_time_s,pts_2002,margin_2002,time_2002,pts_2006,margin_2006,time_2006,pts_2010,margin_2010,time_2010,pts_2018,margin_2018,time_2018,pts_2022,margin_2022,time_2022
0.8,1.0,0.3,0.0,15.977303895659741,1297.9,52,10.977272727272727,223.3,85,35.328125,324.6,55,11.604651162790695,460.8,60,15.0,152.2,51,6.976470588235294,137.1
0.9,0.5,0.5,0.0,15.177303895659742,1740.3,57,15.977272727272727,458.8,74,24.328125,410.0,55,11.604651162790695,389.7,63,18.0,264.0,50,5.976470588235294,217.8
0.9,0.5,0.3,0.0,15.177303895659742,1730.0,57,15.977272727272727,378.6,74,24.328125,448.9,55,11.604651162790695,376.3,63,18.0,312.4,50,5.976470588235294,213.8
0.9,0.5,1.0,0.0,15.177303895659742,1746.4,57,15.977272727272727,486.1,74,24.328125,397.2,55,11.604651162790695,414.3,63,18.0,228.0,50,5.976470588235294,220.8
0.9,1.0,0.3,0.0,15.177303895659742,822.5,52,10.977272727272727,148.8,81,31.328125,141.2,57,13.604651162790695,235.5,58,13.0,159.7,51,6.976470588235294,137.3
0.8,0.7,1.0,0.0,14.977303895659741,1266.5,53,11.977272727272727,215.6,77,27.328125,317.5,55,11.604651162790695,417.9,62,17.0,183.8,51,6.976470588235294,131.7
0.8,1.0,0.5,0.0,14.977303895659741,1305.2,50,8.977272727272727,235.8,85,35.328125,320.2,55,11.604651162790695,464.3,60,15.0,147.4,48,3.976470588235294,137.5
0.8,1.0,1.0,0.0,14.977303895659741,1297.2,50,8.977272727272727,241.7,85,35.328125,317.7,55,11.604651162790695,466.8,60,15.0,131.3,48,3.976470588235294,139.7
1.0,0.7,0.5,0.1,14.777303895659742,585.1,52,10.977272727272727,122.8,77,27.328125,119.5,56,12.604651162790695,112.8,63,18.0,115.4,49,4.976470588235294,114.6
1.0,0.7,0.3,0.1,14.777303895659742,600.9,52,10.977272727272727,133.0,77,27.328125,119.0,56,12.604651162790695,114.2,63,18.0,119.4,49,4.976470588235294,115.4
1.0,0.7,1.0,0.1,14.777303895659742,652.1,52,10.977272727272727,104.8,77,27.328125,126.2,56,12.604651162790695,135.9,63,18.0,142.4,49,4.976470588235294,142.9
0.8,0.5,1.0,0.0,14.577303895659742,660.4,54,12.977272727272728,122.7,74,24.328125,135.1,55,11.604651162790695,132.7,63,18.0,142.7,50,5.976470588235294,127.3
0.9,1.0,0.5,0.0,14.577303895659742,810.8,52,10.977272727272727,149.6,81,31.328125,143.1,57,13.604651162790695,252.9,55,10.0,139.4,51,6.976470588235294,125.8
1.0,0.5,1.0,0.0,14.577303895659742,603.1,56,14.977272727272727,134.4,72,22.328125,122.2,55,11.604651162790695,112.2,63,18.0,120.4,50,5.976470588235294,113.9
0.9,0.7,1.0,0.1,14.377303895659741,825.2,52,10.977272727272727,148.9,76,26.328125,140.6,56,12.604651162790695,166.2,62,17.0,225.3,49,4.976470588235294,144.3
0.9,0.7,0.3,0.1,14.377303895659741,1743.8,52,10.977272727272727,482.3,76,26.328125,394.1,56,12.604651162790695,414.8,62,17.0,227.8,49,4.976470588235294,224.8
0.9,1.0,1.0,0.0,14.377303895659741,829.6,52,10.977272727272727,144.8,83,33.328125,147.2,57,13.604651162790695,250.8,55,10.0,139.0,48,3.976470588235294,147.8
0.9,0.7,0.5,0.1,14.377303895659741,1706.1,52,10.977272727272727,424.9,76,26.328125,415.0,56,12.604651162790695,409.8,62,17.0,213.1,49,4.976470588235294,243.3
0.9,0.7,1.0,0.0,14.377303895659741,819.2,55,13.977272727272727,151.0,72,22.328125,139.9,55,11.604651162790695,164.8,62,17.0,225.3,51,6.976470588235294,138.2
0.8,0.5,1.0,0.1,14.37730389565974,673.5,51,9.977272727272728,126.5,75,25.328125,135.7,56,12.604651162790695,132.1,62,17.0,147.5,51,6.976470588235294,131.8
0.8,0.5,0.3,0.0,14.177303895659742,683.1,52,10.977272727272728,135.6,74,24.328125,135.8,55,11.604651162790695,136.5,63,18.0,147.4,50,5.976470588235294,127.8
0.8,0.5,0.5,0.0,14.177303895659742,727.7,52,10.977272727272728,141.7,74,24.328125,137.2,55,11.604651162790695,133.6,63,18.0,145.3,50,5.976470588235294,170.0
0.8,0.7,1.0,0.3,13.977303895659741,1289.9,50,8.977272727272727,217.7,72,22.328125,325.0,57,13.604651162790695,449.0,63,18.0,156.8,51,6.976470588235294,141.3
0.9,0.5,1.0,0.1,13.977303895659741,1750.5,52,10.977272727272727,486.4,73,23.328125,403.7,55,11.604651162790695,415.5,62,17.0,222.6,51,6.976470588235294,222.2
1.0,0.7,1.0,0.3,13.977303895659741,652.3,51,9.977272727272727,102.1,70,20.328125,129.8,59,15.604651162790695,134.1,61,16.0,146.5,52,7.976470588235294,139.8
0.9,0.5,0.3,0.3,13.977303895659741,1742.7,51,9.977272727272727,446.6,65,15.328125,426.8,60,16.604651162790695,395.6,64,19.0,254.8,53,8.976470588235294,219.0
0.9,0.7,0.5,0.0,13.977303895659741,1728.6,55,13.977272727272727,460.4,72,22.328125,389.1,55,11.604651162790695,418.4,62,17.0,226.9,49,4.976470588235294,233.8
0.8,0.7,0.5,0.3,13.977303895659741,1285.6,50,8.977272727272727,214.2,72,22.328125,314.5,57,13.604651162790695,405.2,63,18.0,210.5,51,6.976470588235294,141.1
1.0,1.0,0.3,0.1,13.977303895659741,654.0,51,9.977272727272727,103.2,80,30.328125,135.6,57,13.604651162790695,133.1,58,13.0,148.6,47,2.976470588235294,133.6
0.8,0.7,0.3,0.0,13.97730389565974,729.3,53,11.977272727272728,122.2,74,24.328125,132.9,55,11.604651162790695,135.5,62,17.0,146.5,49,4.976470588235294,192.2
0.8,0.7,0.5,0.0,13.97730389565974,687.8,53,11.977272727272728,122.6,74,24.328125,137.8,55,11.604651162790695,134.5,62,17.0,139.9,49,4.976470588235294,153.0
0.8,0.5,0.3,0.1,13.97730389565974,717.1,51,9.977272727272728,137.7,75,25.328125,130.4,56,12.604651162790695,133.3,62,17.0,152.9,49,4.976470588235294,162.7
0.8,0.5,0.5,0.1,13.97730389565974,675.9,51,9.977272727272728,124.6,75,25.328125,130.5,56,12.604651162790695,133.8,62,17.0,148.4,49,4.976470588235294,138.7
1.0,1.0,0.3,0.0,13.777303895659742,650.4,52,10.977272727272727,103.8,79,29.328125,130.7,55,11.604651162790695,133.8,55,10.0,145.7,51,6.976470588235294,136.4
0.8,0.5,0.3,0.3,13.777303895659742,677.0,51,9.977272727272728,130.1,64,14.328125,135.8,60,16.604651162790695,133.8,64,19.0,152.6,53,8.976470588235294,124.7
0.8,0.5,0.5,0.3,13.777303895659742,671.2,50,8.977272727272727,121.8,65,15.328125,135.3,60,16.604651162790695,132.6,64,19.0,142.2,53,8.976470588235294,139.3
1.0,0.5,1.0,0.1,13.777303895659742,590.1,52,10.977272727272727,121.1,72,22.328125,122.6,55,11.604651162790695,111.9,62,17.0,119.8,51,6.976470588235294,114.8
0.8,0.7,0.5,0.1,13.577303895659742,698.7,50,8.977272727272727,139.6,75,25.328125,136.2,57,13.604651162790695,133.4,62,17.0,151.6,47,2.976470588235294,137.9
0.9,0.5,0.5,0.3,13.577303895659742,1759.8,51,9.977272727272727,488.5,65,15.328125,402.3,60,16.604651162790695,418.1,62,17.0,227.3,53,8.976470588235294,223.6
0.8,0.7,0.3,0.1,13.577303895659742,721.6,52,10.977272727272728,140.5,73,23.328125,134.7,57,13.604651162790695,134.2,62,17.0,150.2,47,2.976470588235294,162.0
1.0,0.5,0.5,0.0,13.577303895659742,591.7,54,12.977272727272727,124.2,69,19.328125,123.1,55,11.604651162790695,113.6,63,18.0,117.1,50,5.976470588235294,113.7
0.9,0.7,0.3,0.0,13.577303895659742,1749.9,55,13.977272727272727,484.2,72,22.328125,394.5,55,11.604651162790695,419.1,62,17.0,227.3,47,2.976470588235294,224.9
0.9,0.7,1.0,0.3,13.577303895659742,817.2,51,9.977272727272727,150.6,69,19.328125,141.0,59,15.604651162790695,194.8,61,16.0,203.2,51,6.976470588235294,127.6
1.0,0.5,0.3,0.0,13.577303895659742,597.5,54,12.977272727272727,129.0,69,19.328125,127.7,55,11.604651162790695,114.8,63,18.0,115.6,50,5.976470588235294,110.3
1.0,0.5,0.5,0.3,13.577303895659742,598.4,53,11.977272727272727,130.7,67,17.328125,122.2,60,16.604651162790695,115.9,58,13.0,116.9,53,8.976470588235294,112.7
1.0,0.5,0.5,0.1,13.577303895659742,588.9,52,10.977272727272727,125.8,71,21.328125,119.4,55,11.604651162790695,112.6,62,17.0,118.4,51,6.976470588235294,112.6
1.0,0.5,0.3,0.3,13.377303895659741,599.3,53,11.977272727272727,135.4,66,16.328125,115.9,60,16.604651162790695,113.8,58,13.0,116.9,53,8.976470588235294,117.2
1.0,0.5,0.3,0.1,13.377303895659741,597.4,51,9.977272727272727,126.8,71,21.328125,127.1,55,11.604651162790695,113.2,62,17.0,116.5,51,6.976470588235294,113.9
0.9,0.5,0.3,0.1,13.377303895659741,1737.4,51,9.977272727272727,396.2,72,22.328125,465.7,55,11.604651162790695,364.2,62,17.0,291.1,50,5.976470588235294,220.3
0.9,0.5,0.5,0.1,13.377303895659741,1745.5,51,9.977272727272727,469.0,72,22.328125,418.6,55,11.604651162790695,416.8,62,17.0,224.0,50,5.976470588235294,217.1
0.9,1.0,0.5,0.1,13.377303895659741,814.3,51,9.977272727272727,148.0,80,30.328125,142.3,55,11.604651162790695,253.2,60,15.0,141.4,44,-0.0235294117647058,129.4
1.0,1.0,1.0,0.1,13.377303895659741,645.2,51,9.977272727272727,101.5,80,30.328125,136.8,57,13.604651162790695,136.8,58,13.0,148.9,44,-0.0235294117647058,121.3
1.0,0.7,0.5,0.3,13.377303895659741,657.1,51,9.977272727272727,108.7,70,20.328125,127.6,59,15.604651162790695,134.6,61,16.0,145.0,49,4.976470588235294,141.3
1.0,1.0,0.5,0.1,13.377303895659741,650.4,51,9.977272727272727,103.6,80,30.328125,133.6,57,13.604651162790695,132.0,58,13.0,148.2,44,-0.0235294117647058,133.0
0.9,1.0,0.3,0.1,13.377303895659741,842.8,51,9.977272727272727,149.2,80,30.328125,140.8,55,11.604651162790695,244.5,60,15.0,153.4,44,-0.0235294117647058,155.0
0.9,0.5,1.0,0.3,13.377303895659741,1754.2,51,9.977272727272727,491.2,66,16.328125,397.0,60,16.604651162790695,414.5,60,15.0,229.0,53,8.976470588235294,222.6
0.8,0.5,1.0,0.3,13.37730389565974,722.7,50,8.977272727272727,139.2,65,15.328125,137.1,60,16.604651162790695,133.1,62,17.0,141.1,53,8.976470588235294,172.2
0.8,0.7,0.3,0.3,13.37730389565974,710.9,50,8.977272727272727,124.8,71,21.328125,135.3,57,13.604651162790695,133.3,63,18.0,148.7,49,4.976470588235294,168.8
1.0,1.0,1.0,0.3,13.177303895659742,646.4,48,6.977272727272727,104.6,74,24.328125,137.1,55,11.604651162790695,137.8,61,16.0,147.0,51,6.976470588235294,119.9
1.0,0.7,0.5,0.0,13.177303895659742,584.7,52,10.977272727272727,117.6,71,21.328125,118.8,55,11.604651162790695,115.3,61,16.0,119.0,50,5.976470588235294,114.1
0.8,1.0,0.3,0.1,13.177303895659742,1288.2,49,7.977272727272727,228.9,79,29.328125,320.9,57,13.604651162790695,469.7,60,15.0,135.0,44,-0.0235294117647058,133.7
0.8,1.0,0.3,0.3,13.177303895659742,1303.3,46,4.977272727272727,236.5,74,24.328125,315.0,57,13.604651162790695,467.3,61,16.0,146.1,51,6.976470588235294,138.5
1.0,0.7,0.3,0.0,13.177303895659742,585.4,52,10.977272727272727,115.5,71,21.328125,120.7,55,11.604651162790695,115.4,61,16.0,120.8,50,5.976470588235294,113.0
1.0,1.0,0.3,0.3,13.177303895659742,647.0,45,3.9772727272727266,102.9,77,27.328125,132.3,55,11.604651162790695,130.0,61,16.0,146.4,51,6.976470588235294,135.3
0.9,1.0,0.3,0.3,13.177303895659742,814.2,46,4.977272727272727,151.1,74,24.328125,144.6,57,13.604651162790695,247.7,61,16.0,138.8,51,6.976470588235294,132.0
1.0,0.7,1.0,0.0,13.177303895659742,648.5,52,10.977272727272727,102.6,71,21.328125,126.2,55,11.604651162790695,135.9,61,16.0,144.4,50,5.976470588235294,139.5
1.0,0.5,1.0,0.3,13.177303895659742,579.0,51,9.977272727272727,116.3,67,17.328125,119.5,60,16.604651162790695,114.3,58,13.0,116.3,53,8.976470588235294,112.7
1.0,0.7,0.3,0.3,13.177303895659742,577.0,51,9.977272727272727,122.7,69,19.328125,116.3,59,15.604651162790695,110.1,61,16.0,116.4,49,4.976470588235294,111.6
0.8,1.0,0.5,0.1,13.177303895659742,1321.9,49,7.977272727272727,230.8,79,29.328125,330.7,57,13.604651162790695,466.2,60,15.0,146.0,44,-0.0235294117647058,148.1
0.8,1.0,0.5,0.3,13.177303895659742,1284.6,46,4.977272727272727,213.6,74,24.328125,324.5,57,13.604651162790695,453.1,61,16.0,155.7,51,6.976470588235294,137.7
