elite,caf,concacaf,afc,ofc,avg_margin,combo_time_s,pts_2002,margin_2002,time_2002,pts_2006,margin_2006,time_2006,pts_2010,margin_2010,time_2010,pts_2018,margin_2018,time_2018,pts_2022,margin_2022,time_2022
1.2,1.05,1.1,1.0,0.95,14.37730389565974,396.7,53,11.977272727272728,75.0,67,17.328125,80.8,60,16.604651162790695,78.7,62,17.0,82.3,53,8.976470588235294,80.0
1.1,1.0,1.05,1.0,0.95,14.37730389565974,393.8,53,11.977272727272728,73.4,67,17.328125,81.2,60,16.604651162790695,77.4,62,17.0,81.9,53,8.976470588235294,80.0
1.15,1.0,1.1,1.0,1.0,14.37730389565974,393.8,53,11.977272727272728,73.3,67,17.328125,81.6,60,16.604651162790695,78.1,62,17.0,81.2,53,8.976470588235294,79.6
1.15,1.05,1.05,0.95,0.95,14.37730389565974,392.8,53,11.977272727272728,73.9,67,17.328125,80.3,60,16.604651162790695,77.4,62,17.0,80.9,53,8.976470588235294,80.2
1.2,1.05,1.1,1.05,1.0,14.37730389565974,395.5,53,11.977272727272728,75.3,67,17.328125,80.1,60,16.604651162790695,78.4,62,17.0,81.8,53,8.976470588235294,79.9
1.25,1.1,1.1,1.05,1.0,14.37730389565974,748.5,53,11.977272727272728,94.9,67,17.328125,229.4,60,16.604651162790695,216.4,62,17.0,107.6,53,8.976470588235294,100.2
1.25,1.05,1.1,1.0,1.0,14.37730389565974,572.6,53,11.977272727272728,105.4,67,17.328125,116.4,60,16.604651162790695,114.4,62,17.0,118.8,53,8.976470588235294,117.5
1.25,1.1,1.1,1.0,1.0,14.37730389565974,751.4,53,11.977272727272728,93.2,67,17.328125,214.4,60,16.604651162790695,232.9,62,17.0,106.1,53,8.976470588235294,104.8
1.25,1.1,1.05,1.0,0.95,14.37730389565974,561.9,53,11.977272727272728,104.3,67,17.328125,119.0,60,16.604651162790695,106.7,62,17.0,119.1,53,8.976470588235294,112.8
1.25,1.1,1.0,0.95,0.9,14.37730389565974,557.9,54,12.977272727272728,101.3,67,17.328125,115.5,60,16.604651162790695,111.7,61,16.0,117.9,53,8.976470588235294,111.5
