decay_lambda,training_years,regularization,avg_margin,combo_time_s,pts_2002,margin_2002,time_2002,pts_2006,margin_2006,time_2006,pts_2010,margin_2010,time_2010,pts_2018,margin_2018,time_2018,pts_2022,margin_2022,time_2022
0.2,12,0.0001,13.577303895659742,328.6,45,3.977272727272727,60.5,70,20.328125,67.1,62,18.60465116279069,65.0,63,18.0,68.8,51,6.976470588235294,67.1
0.2,12,0.01,13.577303895659742,326.4,47,5.977272727272727,59.7,68,18.328125,68.2,62,18.60465116279069,65.1,63,18.0,66.0,51,6.976470588235294,67.4
0.2,16,0.01,13.377303895659741,2589.6,48,6.977272727272727,143.9,69,19.328125,853.1,58,14.604651162790695,989.7,63,18.0,184.5,52,7.976470588235294,418.4
0.1,16,0.01,13.377303895659741,2584.2,44,2.9772727272727266,145.3,73,23.328125,851.5,56,12.604651162790695,986.8,62,17.0,186.2,55,10.976470588235294,414.4
0.1,16,0.0001,13.377303895659741,2576.1,44,2.9772727272727266,146.3,73,23.328125,850.9,56,12.604651162790695,984.1,62,17.0,184.5,55,10.976470588235294,410.2
0.2,12,0.001,13.177303895659742,329.2,45,3.977272727272727,60.8,68,18.328125,66.3,62,18.60465116279069,65.2,63,18.0,69.2,51,6.976470588235294,67.7
0.2,14,0.001,13.177303895659742,2471.3,48,6.977272727272727,138.1,70,20.328125,842.6,61,17.604651162790695,976.4,61,16.0,167.7,49,4.976470588235294,346.5
0.1,16,0.001,13.177303895659742,2607.0,44,2.9772727272727266,145.9,73,23.328125,856.6,56,12.604651162790695,992.9,61,16.0,185.0,55,10.976470588235294,426.6
0.2,14,0.01,13.177303895659742,2472.9,48,6.977272727272727,135.7,70,20.328125,844.8,61,17.604651162790695,973.8,61,16.0,171.2,49,4.976470588235294,347.4
0.25,16,0.01,13.177303895659742,942.9,50,8.977272727272727,240.2,68,18.328125,259.2,60,16.604651162790695,144.4,62,17.0,149.6,49,4.976470588235294,149.6
0.25,16,0.001,12.977303895659741,945.5,48,6.977272727272727,239.5,69,19.328125,259.9,60,16.604651162790695,146.1,62,17.0,150.6,49,4.976470588235294,149.4
0.25,16,0.0001,12.977303895659741,953.1,48,6.977272727272727,247.5,69,19.328125,259.8,60,16.604651162790695,145.3,62,17.0,151.2,49,4.976470588235294,149.2
0.25,12,0.0001,12.777303895659744,736.8,50,8.977272727272727,161.9,66,16.328125,174.9,60,16.604651162790695,148.6,62,17.0,131.6,49,4.976470588235294,119.7
0.1,6,0.01,12.777303895659744,191.2,51,9.977272727272728,35.4,63,13.328125,45.9,66,22.60465116279069,35.3,61,16.0,37.6,46,1.9764705882352944,37.1
0.2,16,0.0001,12.777303895659744,2588.4,48,6.977272727272727,143.2,69,19.328125,853.1,58,14.604651162790695,989.8,63,18.0,186.1,49,4.976470588235294,416.2
0.2,14,0.0001,12.777303895659744,2468.9,48,6.977272727272727,136.1,69,19.328125,844.8,60,16.604651162790695,973.4,61,16.0,169.2,49,4.976470588235294,345.4
0.2,16,0.001,12.777303895659744,2584.2,48,6.977272727272727,144.4,69,19.328125,856.3,58,14.604651162790695,984.8,63,18.0,184.7,49,4.976470588235294,414.0
0.3,16,0.0001,12.577303895659742,883.7,49,7.977272727272727,235.6,67,17.328125,218.0,60,16.604651162790695,138.2,61,16.0,151.6,49,4.976470588235294,140.4
0.15,16,0.0001,12.577303895659742,2581.3,44,2.9772727272727266,144.3,68,18.328125,853.8,58,14.604651162790695,985.9,63,18.0,184.7,53,8.976470588235294,412.8
0.1,14,0.01,12.577303895659742,2475.2,44,2.9772727272727266,138.3,72,22.328125,839.8,56,12.604651162790695,979.7,61,16.0,169.4,53,8.976470588235294,348.0
0.1,14,0.0001,12.377303895659743,2468.7,43,1.9772727272727266,136.2,72,22.328125,846.1,56,12.604651162790695,971.6,61,16.0,169.9,53,8.976470588235294,344.9
0.15,10,0.01,12.377303895659743,279.8,47,5.977272727272727,53.5,69,19.328125,57.6,58,14.604651162790695,55.4,60,15.0,58.0,51,6.976470588235294,55.4
0.1,8,0.01,12.377303895659743,233.4,44,2.977272727272726,44.1,68,18.328125,58.8,61,17.604651162790695,44.5,61,16.0,42.4,51,6.976470588235294,43.6
0.1,6,0.001,12.377303895659743,222.8,49,7.977272727272727,45.3,63,13.328125,46.4,66,22.60465116279069,46.5,61,16.0,43.0,46,1.9764705882352944,41.6
0.25,12,0.01,12.377303895659743,733.2,50,8.977272727272727,159.7,65,15.328125,174.9,60,16.604651162790695,146.9,61,16.0,132.3,49,4.976470588235294,119.5
0.25,12,0.001,12.377303895659743,736.6,50,8.977272727272727,162.1,64,14.328125,173.3,60,16.604651162790695,148.7,62,17.0,132.6,49,4.976470588235294,120.0
0.15,16,0.001,12.377303895659743,2590.2,44,2.9772727272727266,146.2,68,18.328125,856.5,57,13.604651162790695,984.6,63,18.0,184.8,53,8.976470588235294,418.0
0.15,14,0.01,12.377303895659743,2461.8,46,4.977272727272727,136.7,69,19.328125,836.9,58,14.604651162790695,974.0,59,14.0,173.3,53,8.976470588235294,340.9
0.1,14,0.001,12.377303895659743,2451.1,43,1.9772727272727266,137.3,72,22.328125,845.4,56,12.604651162790695,968.2,61,16.0,167.1,53,8.976470588235294,333.2
0.15,16,0.01,12.377303895659743,2586.2,44,2.9772727272727266,146.9,68,18.328125,849.6,57,13.604651162790695,989.3,63,18.0,185.4,53,8.976470588235294,414.9
0.3,14,0.001,12.377303895659743,883.6,49,7.977272727272727,230.1,67,17.328125,242.6,60,16.604651162790695,143.5,60,15.0,135.6,49,4.976470588235294,131.9
0.25,14,0.0001,12.177303895659744,903.8,48,6.977272727272727,245.4,67,17.328125,243.8,60,16.604651162790695,146.9,60,15.0,135.8,49,4.976470588235294,131.9
0.25,14,0.001,12.177303895659744,902.6,48,6.977272727272727,241.5,67,17.328125,243.3,60,16.604651162790695,147.6,60,15.0,136.9,49,4.976470588235294,133.3
0.25,10,0.001,12.177303895659744,671.6,50,8.977272727272727,149.1,64,14.328125,158.3,60,16.604651162790695,130.2,61,16.0,119.7,49,4.976470588235294,114.3
0.3,12,0.001,12.177303895659744,734.0,49,7.977272727272727,161.0,65,15.328125,173.4,60,16.604651162790695,148.7,61,16.0,130.8,49,4.976470588235294,120.1
0.25,10,0.0001,12.177303895659744,672.1,50,8.977272727272727,149.6,64,14.328125,158.4,60,16.604651162790695,129.4,61,16.0,120.0,49,4.976470588235294,114.7
0.15,12,0.001,12.177303895659744,328.7,43,1.9772727272727264,60.0,70,20.328125,66.6,57,13.604651162790695,65.9,62,17.0,68.8,52,7.976470588235294,67.4
0.15,10,0.0001,11.977303895659745,284.7,45,3.977272727272727,54.5,69,19.328125,58.7,58,14.604651162790695,56.3,60,15.0,57.8,51,6.976470588235294,57.3
0.1,10,0.0001,11.977303895659745,276.9,42,0.9772727272727266,52.9,69,19.328125,57.2,58,14.604651162790695,54.6,63,18.0,57.6,51,6.976470588235294,54.6
0.15,12,0.0001,11.977303895659745,331.6,43,1.9772727272727264,60.2,69,19.328125,67.3,57,13.604651162790695,66.3,62,17.0,71.0,52,7.976470588235294,66.8
0.15,10,0.001,11.977303895659745,280.5,45,3.977272727272727,53.5,69,19.328125,58.1,58,14.604651162790695,55.2,60,15.0,57.8,51,6.976470588235294,56.0
0.1,6,0.0001,11.977303895659745,215.1,49,7.977272727272727,43.3,63,13.328125,46.7,66,22.60465116279069,44.9,61,16.0,43.3,44,-0.0235294117647058,36.8
0.15,12,0.01,11.977303895659745,328.1,43,1.9772727272727264,59.8,68,18.328125,66.3,58,14.604651162790695,65.3,62,17.0,69.3,52,7.976470588235294,67.5
0.25,8,0.01,11.977303895659745,528.3,51,9.977272727272728,107.9,59,9.328125,126.6,62,18.60465116279069,83.2,61,16.0,112.5,50,5.976470588235294,98.0
0.3,14,0.0001,11.977303895659743,885.5,49,7.977272727272727,230.2,65,15.328125,244.0,60,16.604651162790695,142.2,60,15.0,136.2,49,4.976470588235294,132.9
0.25,14,0.01,11.977303895659743,898.1,50,8.977272727272727,241.9,65,15.328125,235.1,60,16.604651162790695,150.1,59,14.0,137.7,49,4.976470588235294,133.3
0.25,10,0.01,11.777303895659744,668.7,50,8.977272727272727,147.9,62,12.328125,157.0,60,16.604651162790695,131.6,61,16.0,117.8,49,4.976470588235294,114.4
0.1,10,0.001,11.777303895659744,277.3,42,0.9772727272727266,52.3,68,18.328125,57.1,58,14.604651162790695,55.0,63,18.0,57.5,51,6.976470588235294,55.5
0.1,8,0.0001,11.777303895659744,228.2,42,0.9772727272727266,43.6,68,18.328125,46.5,61,17.604651162790695,44.1,61,16.0,45.8,50,5.976470588235294,48.3
0.1,8,0.001,11.777303895659744,235.9,42,0.9772727272727266,45.2,68,18.328125,47.0,61,17.604651162790695,44.9,61,16.0,45.9,50,5.976470588235294,52.8
0.1,10,0.01,11.777303895659744,286.9,42,0.9772727272727266,53.4,68,18.328125,61.3,58,14.604651162790695,56.5,63,18.0,58.6,51,6.976470588235294,57.1
0.25,8,0.0001,11.777303895659744,447.4,50,8.977272727272727,63.9,59,9.328125,62.1,62,18.60465116279069,58.6,61,16.0,158.5,50,5.976470588235294,104.3
0.15,14,0.001,11.777303895659744,2453.9,44,2.9772727272727266,137.4,69,19.328125,838.1,59,15.604651162790695,975.7,60,15.0,167.9,50,5.976470588235294,334.7
0.15,6,0.001,11.577303895659742,173.6,50,8.977272727272727,34.6,63,13.328125,35.9,65,21.60465116279069,35.5,57,12.0,34.3,46,1.9764705882352944,33.3
0.3,12,0.0001,11.577303895659742,736.8,49,7.977272727272727,161.7,65,15.328125,174.0,60,16.604651162790695,149.8,58,13.0,132.6,49,4.976470588235294,118.8
0.15,14,0.0001,11.577303895659742,2449.6,44,2.9772727272727266,135.6,69,19.328125,844.0,59,15.604651162790695,972.1,59,14.0,167.0,50,5.976470588235294,330.9
0.3,8,0.01,11.577303895659742,523.7,50,8.977272727272727,109.4,59,9.328125,132.1,64,20.60465116279069,83.9,58,13.0,93.9,50,5.976470588235294,104.4
0.3,6,0.0001,11.377303895659743,480.6,54,12.977272727272728,111.8,60,10.328125,104.8,65,21.60465116279069,95.6,57,12.0,78.6,44,-0.0235294117647058,89.8
0.2,8,0.001,11.377303895659743,225.5,49,7.977272727272727,43.3,62,12.328125,46.3,59,15.604651162790695,44.0,60,15.0,46.5,50,5.976470588235294,45.3
0.25,8,0.001,11.377303895659743,444.7,50,8.977272727272727,67.5,59,9.328125,90.9,62,18.60465116279069,70.5,59,14.0,81.4,50,5.976470588235294,134.3
0.2,8,0.0001,11.377303895659743,225.8,49,7.977272727272727,43.0,62,12.328125,46.4,59,15.604651162790695,44.6,60,15.0,46.6,50,5.976470588235294,45.4
0.3,16,0.001,11.377303895659743,880.8,49,7.977272727272727,234.9,65,15.328125,215.2,60,16.604651162790695,140.0,57,12.0,151.2,49,4.976470588235294,139.4
0.15,6,0.01,11.377303895659743,155.4,50,8.977272727272727,30.5,63,13.328125,36.4,65,21.60465116279069,27.1,57,12.0,30.0,45,0.9764705882352942,31.3
0.3,6,0.001,11.377303895659743,470.7,54,12.977272727272728,104.3,60,10.328125,103.1,65,21.60465116279069,96.0,57,12.0,79.0,44,-0.0235294117647058,88.3
0.2,8,0.01,11.377303895659743,208.0,49,7.977272727272727,37.8,62,12.328125,46.6,59,15.604651162790695,35.7,60,15.0,43.2,50,5.976470588235294,44.7
0.15,8,0.0001,11.177303895659744,229.6,45,3.977272727272727,43.8,63,13.328125,47.9,61,17.604651162790695,46.2,60,15.0,46.7,50,5.976470588235294,45.0
0.1,12,0.01,11.177303895659744,328.5,42,0.9772727272727266,60.9,69,19.328125,66.5,56,12.604651162790695,65.1,60,15.0,69.3,52,7.976470588235294,66.7
0.3,12,0.01,11.177303895659744,542.3,50,8.977272727272727,138.8,62,12.328125,135.5,60,16.604651162790695,93.6,58,13.0,86.1,49,4.976470588235294,88.4
0.15,8,0.001,11.177303895659744,242.0,45,3.977272727272727,43.3,63,13.328125,46.7,61,17.604651162790695,44.7,60,15.0,50.0,50,5.976470588235294,57.3
0.2,6,0.0001,10.977303895659745,173.5,51,9.977272727272728,34.4,58,8.328125,36.1,68,24.60465116279069,35.3,55,10.0,34.5,46,1.9764705882352944,33.2
0.3,8,0.001,10.977303895659745,571.3,50,8.977272727272727,131.0,59,9.328125,131.8,62,18.60465116279069,100.7,57,12.0,114.9,50,5.976470588235294,92.9
0.3,8,0.0001,10.977303895659745,570.1,50,8.977272727272727,128.3,59,9.328125,133.7,62,18.60465116279069,98.8,57,12.0,116.2,50,5.976470588235294,93.1
0.15,8,0.01,10.977303895659745,245.3,44,2.977272727272726,45.8,63,13.328125,58.5,61,17.604651162790695,50.8,60,15.0,45.3,50,5.976470588235294,44.9
0.1,12,0.001,10.977303895659745,328.0,40,-1.0227272727272734,60.2,70,20.328125,66.7,56,12.604651162790695,64.6,60,15.0,69.4,52,7.976470588235294,67.1
0.3,6,0.01,10.977303895659745,395.0,54,12.977272727272728,82.0,60,10.328125,87.5,64,20.60465116279069,88.0,57,12.0,67.0,43,-1.0235294117647058,70.5
0.3,14,0.01,10.977303895659743,883.7,50,8.977272727272727,232.4,62,12.328125,242.5,60,16.604651162790695,141.7,57,12.0,136.0,49,4.976470588235294,131.1
0.3,16,0.01,10.977303895659743,879.2,50,8.977272727272727,234.3,62,12.328125,213.9,60,16.604651162790695,140.0,57,12.0,151.5,49,4.976470588235294,139.6
0.15,6,0.0001,10.777303895659744,174.3,50,8.977272727272727,34.4,63,13.328125,36.5,65,21.60465116279069,35.5,54,9.0,34.4,45,0.9764705882352942,33.4
0.2,6,0.01,10.777303895659744,146.6,51,9.977272727272728,26.7,58,8.328125,36.0,68,24.60465116279069,26.0,54,9.0,30.2,46,1.9764705882352944,27.8
0.1,12,0.0001,10.777303895659744,333.8,40,-1.0227272727272734,61.5,69,19.328125,68.0,56,12.604651162790695,65.6,60,15.0,70.2,52,7.976470588235294,68.5
0.2,6,0.001,10.777303895659744,175.8,51,9.977272727272728,34.3,58,8.328125,37.7,68,24.60465116279069,35.3,54,9.0,34.2,46,1.9764705882352944,34.2
0.2,10,0.0001,10.577303895659742,280.1,47,5.977272727272727,53.7,64,14.328125,57.5,56,12.604651162790695,55.4,60,15.0,57.9,49,4.976470588235294,55.7
