decay_lambda,training_years,regularization,avg_margin,combo_time_s,pts_2002,margin_2002,time_2002,pts_2006,margin_2006,time_2006,pts_2010,margin_2010,time_2010,pts_2018,margin_2018,time_2018,pts_2022,margin_2022,time_2022
0.15,6,0.0001,16.377303895659743,484.4,59,17.977272727272727,86.2,68,18.328125,77.0,62,18.604651162790695,102.6,68,23.0,104.1,48,3.976470588235294,114.5
0.1,6,0.0001,16.17730389565974,518.4,56,14.977272727272727,165.4,65,15.328125,113.2,63,19.604651162790695,78.2,68,23.0,90.3,52,7.976470588235294,71.3
0.1,6,0.001,16.17730389565974,553.8,56,14.977272727272727,160.7,65,15.328125,118.4,63,19.604651162790695,100.8,68,23.0,92.1,52,7.976470588235294,81.8
0.15,6,0.001,16.17730389565974,474.2,58,16.977272727272727,82.2,68,18.328125,115.4,62,18.604651162790695,84.2,68,23.0,98.7,48,3.976470588235294,93.7
0.2,6,0.001,15.977303895659741,443.3,59,17.977272727272727,71.7,68,18.328125,126.4,63,19.604651162790695,80.2,65,20.0,77.9,48,3.976470588235294,87.3
0.15,6,0.01,15.777303895659742,300.9,58,16.977272727272727,52.6,68,18.328125,66.1,62,18.604651162790695,57.1,68,23.0,61.1,46,1.9764705882352942,64.0
0.2,6,0.0001,15.777303895659742,449.6,59,17.977272727272727,86.9,67,17.328125,79.6,63,19.604651162790695,80.9,65,20.0,98.6,48,3.976470588235294,103.6
0.1,6,0.01,15.377303895659741,375.3,56,14.977272727272727,101.0,65,15.328125,97.5,63,19.604651162790695,52.2,68,23.0,64.9,48,3.976470588235294,59.6
0.2,6,0.01,15.177303895659742,269.0,59,17.977272727272727,51.4,68,18.328125,68.1,63,19.604651162790695,45.9,63,18.0,54.4,46,1.9764705882352942,49.3
0.2,16,0.01,14.977303895659741,848.5,54,12.977272727272727,147.8,70,20.328125,167.2,62,18.604651162790695,164.7,59,14.0,164.3,53,8.976470588235294,204.6
0.1,16,0.01,14.777303895659742,985.3,46,4.977272727272727,228.6,76,26.328125,188.9,57,13.604651162790695,178.1,61,16.0,202.4,57,12.976470588235294,187.3
0.1,16,0.0001,14.577303895659742,1821.6,45,3.9772727272727266,413.8,76,26.328125,419.0,57,13.604651162790695,306.0,61,16.0,365.7,57,12.976470588235294,317.0
0.3,16,0.0001,14.577303895659742,1392.7,53,11.977272727272727,274.1,67,17.328125,377.3,62,18.604651162790695,268.6,64,19.0,241.1,50,5.976470588235294,231.5
0.3,16,0.01,14.577303895659742,677.1,53,11.977272727272727,124.7,67,17.328125,147.2,62,18.604651162790695,123.8,64,19.0,152.8,50,5.976470588235294,128.7
0.1,16,0.001,14.577303895659742,1549.5,45,3.9772727272727266,340.8,76,26.328125,242.8,57,13.604651162790695,349.3,61,16.0,315.3,57,12.976470588235294,301.3
0.3,16,0.001,14.577303895659742,1133.6,53,11.977272727272727,216.2,67,17.328125,263.5,62,18.604651162790695,232.2,64,19.0,228.0,50,5.976470588235294,193.7
0.1,8,0.001,14.377303895659741,723.8,50,8.977272727272727,166.0,69,19.328125,163.3,62,18.604651162790695,106.3,63,18.0,128.1,51,6.976470588235294,160.1
0.3,12,0.001,14.377303895659741,947.1,53,11.977272727272727,191.1,67,17.328125,221.7,61,17.604651162790695,173.7,62,17.0,175.0,52,7.976470588235294,185.7
0.25,8,0.001,14.377303895659741,700.4,56,14.977272727272727,109.1,66,16.328125,147.5,63,19.604651162790695,109.9,60,15.0,130.2,50,5.976470588235294,203.7
0.1,8,0.0001,14.377303895659741,808.2,50,8.977272727272727,223.5,69,19.328125,145.2,62,18.604651162790695,135.9,63,18.0,143.9,51,6.976470588235294,159.7
0.25,8,0.0001,14.377303895659741,892.2,56,14.977272727272727,130.4,66,16.328125,203.3,63,19.604651162790695,152.5,60,15.0,233.7,50,5.976470588235294,172.3
0.1,8,0.01,14.377303895659741,491.2,50,8.977272727272727,138.5,69,19.328125,115.1,62,18.604651162790695,78.5,63,18.0,79.5,51,6.976470588235294,79.7
0.3,12,0.0001,14.377303895659741,1272.8,53,11.977272727272727,249.3,67,17.328125,319.9,61,17.604651162790695,279.9,62,17.0,214.5,52,7.976470588235294,209.2
0.2,12,0.01,14.377303895659741,629.5,55,13.977272727272727,114.5,67,17.328125,135.1,60,16.604651162790695,122.8,60,15.0,126.4,53,8.976470588235294,130.8
0.1,14,0.001,14.177303895659742,1339.6,47,5.977272727272727,303.2,75,25.328125,257.2,55,11.604651162790695,295.3,62,17.0,261.5,55,10.976470588235294,222.4
0.15,14,0.0001,14.177303895659742,1507.2,51,9.977272727272727,259.3,72,22.328125,320.9,58,14.604651162790695,317.6,58,13.0,349.6,55,10.976470588235294,259.8
0.2,16,0.001,14.177303895659742,1575.4,54,12.977272727272727,227.6,67,17.328125,306.7,62,18.604651162790695,333.4,58,13.0,422.6,53,8.976470588235294,285.1
0.2,16,0.0001,14.177303895659742,2043.7,54,12.977272727272727,343.5,67,17.328125,418.9,62,18.604651162790695,561.0,58,13.0,355.9,53,8.976470588235294,364.4
0.2,14,0.0001,14.177303895659742,1758.9,55,13.977272727272727,277.5,66,16.328125,398.3,62,18.604651162790695,355.5,58,13.0,400.8,53,8.976470588235294,326.9
0.2,14,0.001,14.177303895659742,1365.8,55,13.977272727272727,226.9,66,16.328125,254.1,62,18.604651162790695,237.4,58,13.0,305.2,53,8.976470588235294,342.2
0.1,14,0.0001,14.177303895659742,1663.6,47,5.977272727272727,378.8,75,25.328125,354.5,55,11.604651162790695,311.3,62,17.0,351.7,55,10.976470588235294,267.4
0.3,14,0.001,14.177303895659742,1081.4,53,11.977272727272727,207.0,67,17.328125,260.9,62,18.604651162790695,224.3,62,17.0,209.9,50,5.976470588235294,179.3
0.2,14,0.01,14.177303895659742,689.7,55,13.977272727272727,119.7,66,16.328125,128.7,62,18.604651162790695,144.7,58,13.0,142.2,53,8.976470588235294,154.4
0.15,14,0.001,14.177303895659742,1338.3,51,9.977272727272727,202.6,72,22.328125,284.4,58,14.604651162790695,301.1,58,13.0,300.0,55,10.976470588235294,250.1
0.2,12,0.001,14.177303895659742,1034.7,55,13.977272727272727,185.0,66,16.328125,205.1,60,16.604651162790695,235.8,60,15.0,177.4,53,8.976470588235294,231.6
0.25,8,0.01,13.977303895659741,378.8,56,14.977272727272727,63.6,66,16.328125,86.4,61,17.604651162790695,59.5,60,15.0,72.4,50,5.976470588235294,96.8
0.2,8,0.01,13.977303895659741,347.8,54,12.977272727272727,71.0,65,15.328125,71.6,63,19.604651162790695,61.5,61,16.0,73.6,50,5.976470588235294,70.1
0.25,12,0.0001,13.977303895659741,1442.2,55,13.977272727272727,278.6,64,14.328125,401.2,60,16.604651162790695,243.8,62,17.0,242.9,52,7.976470588235294,275.6
0.1,14,0.01,13.977303895659741,888.3,46,4.977272727272727,215.5,75,25.328125,171.3,55,11.604651162790695,143.9,62,17.0,171.4,55,10.976470588235294,186.2
0.2,8,0.001,13.977303895659741,677.8,54,12.977272727272727,120.0,65,15.328125,178.2,63,19.604651162790695,114.8,61,16.0,118.3,50,5.976470588235294,146.6
