alpha,avg_margin,combo_time_s,pts_2006,margin_2006,time_2006,pts_2010,margin_2010,time_2010,pts_2018,margin_2018,time_2018,pts_2022,margin_2022,time_2022
0.2,16.977311687756497,849.5,76,26.328125,235.4,60,16.604651162790695,231.5,62,17.0,176.8,52,7.976470588235294,205.9
0.15,16.977311687756497,859.7,76,26.328125,240.6,60,16.604651162790695,233.8,62,17.0,180.0,52,7.976470588235294,205.3
0.05,16.977311687756497,854.7,76,26.328125,237.0,60,16.604651162790695,236.5,61,16.0,177.9,53,8.976470588235294,203.3
0.25,16.977311687756497,853.6,76,26.328125,234.9,60,16.604651162790695,232.0,62,17.0,177.0,52,7.976470588235294,209.7
0.1,16.727311687756497,851.3,76,26.328125,234.9,60,16.604651162790695,233.1,61,16.0,177.3,52,7.976470588235294,206.1
0.3,16.727311687756497,851.0,76,26.328125,234.1,59,15.604651162790695,233.5,62,17.0,174.7,52,7.976470588235294,208.6
0.45,16.477311687756497,847.3,74,24.328125,235.6,60,16.604651162790695,231.2,62,17.0,178.1,52,7.976470588235294,202.4
0.6,16.477311687756497,849.1,73,23.328125,233.6,60,16.604651162790695,232.0,62,17.0,175.9,53,8.976470588235294,207.6
0.4,16.477311687756497,848.3,74,24.328125,235.4,60,16.604651162790695,231.4,62,17.0,175.8,52,7.976470588235294,205.7
0.7,16.477311687756497,853.1,75,25.328125,233.7,60,16.604651162790695,234.2,60,15.0,176.9,53,8.976470588235294,208.3
0.5,16.227311687756497,857.3,74,24.328125,238.9,60,16.604651162790695,226.0,61,16.0,182.4,52,7.976470588235294,210.0
0.0,16.227311687756497,854.3,73,23.328125,238.4,60,16.604651162790695,230.9,61,16.0,176.3,53,8.976470588235294,208.7
0.55,16.227311687756497,853.4,74,24.328125,236.9,60,16.604651162790695,234.1,61,16.0,178.0,52,7.976470588235294,204.4
0.65,15.977311687756497,854.8,73,23.328125,238.1,60,16.604651162790695,231.2,60,15.0,176.2,53,8.976470588235294,209.3
0.85,15.727311687756497,849.1,74,24.328125,237.4,60,16.604651162790695,228.2,61,16.0,176.8,50,5.976470588235294,206.6
0.35,15.727311687756497,855.3,72,22.328125,234.5,59,15.604651162790695,235.6,62,17.0,177.0,52,7.976470588235294,208.2
0.8,15.477311687756497,847.6,74,24.328125,238.3,60,16.604651162790695,230.9,60,15.0,175.4,50,5.976470588235294,203.0
0.75,15.477311687756497,854.5,74,24.328125,237.7,60,16.604651162790695,234.6,60,15.0,180.9,50,5.976470588235294,201.3
0.9,14.977311687756497,544.0,72,22.328125,132.8,60,16.604651162790695,171.8,60,15.0,114.0,50,5.976470588235294,125.5
0.95,14.227311687756497,542.8,66,16.328125,133.7,60,16.604651162790695,169.4,60,15.0,114.5,53,8.976470588235294,125.2
1.0,14.227311687756497,544.3,66,16.328125,132.8,60,16.604651162790695,169.6,60,15.0,114.8,53,8.976470588235294,127.1
