alpha,avg_margin,combo_time_s,pts_2018,margin_2018,time_2018,pts_2022,margin_2022,time_2022
0.6,12.988235294117647,385.9,62,17.0,165.3,53,8.976470588235294,220.5
0.55,11.988235294117647,384.2,61,16.0,165.3,52,7.976470588235294,218.9
0.95,11.988235294117647,389.9,60,15.0,169.5,53,8.976470588235294,220.4
1.0,11.988235294117647,390.0,60,15.0,167.6,53,8.976470588235294,222.4
0.7,11.988235294117647,388.7,60,15.0,170.9,53,8.976470588235294,217.7
0.65,11.988235294117647,388.2,60,15.0,169.1,53,8.976470588235294,219.1
0.85,10.988235294117647,387.7,61,16.0,170.8,50,5.976470588235294,216.8
0.8,10.488235294117647,381.3,60,15.0,163.8,50,5.976470588235294,217.5
0.9,10.488235294117647,383.8,60,15.0,167.3,50,5.976470588235294,216.4
0.75,10.488235294117647,386.1,60,15.0,166.1,50,5.976470588235294,220.0
