alpha,avg_margin,combo_time_s,pts_2018,margin_2018,time_2018,pts_2022,margin_2022,time_2022
0.0,12.488235294117649,268.8,61,16.0,122.9,53,8.976470588235294,145.9
0.05,12.488235294117649,267.8,61,16.0,122.4,53,8.976470588235294,145.4
0.1,11.988235294117649,268.1,61,16.0,123.3,52,7.976470588235294,144.8
0.15,12.488235294117649,267.7,62,17.0,123.1,52,7.976470588235294,144.6
0.2,12.488235294117649,267.1,62,17.0,122.6,52,7.976470588235294,144.6
0.25,12.488235294117649,268.7,62,17.0,124.0,52,7.976470588235294,144.7
0.3,12.488235294117649,268.4,62,17.0,123.1,52,7.976470588235294,145.3
0.35,12.488235294117649,267.4,62,17.0,122.8,52,7.976470588235294,144.7
0.4,12.488235294117649,268.3,62,17.0,123.0,52,7.976470588235294,145.3
0.45,12.488235294117649,268.1,62,17.0,123.5,52,7.976470588235294,144.7
0.5,11.988235294117649,199.1,61,16.0,92.1,52,7.976470588235294,107.0
0.55,11.988235294117649,384.2,61,16.0,165.3,52,7.976470588235294,218.9
0.6,12.988235294117649,385.9,62,17.0,165.3,53,8.976470588235294,220.5
0.65,11.988235294117649,388.2,60,15.0,169.1,53,8.976470588235294,219.1
0.7,11.988235294117649,388.7,60,15.0,170.9,53,8.976470588235294,217.7
0.75,10.488235294117649,386.1,60,15.0,166.1,50,5.976470588235294,220.0
0.8,10.488235294117649,381.3,60,15.0,163.8,50,5.976470588235294,217.5
0.85,10.988235294117649,387.7,61,16.0,170.8,50,5.976470588235294,216.8
0.9,10.488235294117649,383.8,60,15.0,167.3,50,5.976470588235294,216.4
0.95,11.988235294117649,389.9,60,15.0,169.5,53,8.976470588235294,220.4
1.0,11.988235294117649,390.0,60,15.0,167.6,53,8.976470588235294,222.4
