home_team,away_team,ou_line
Argentina,Francia,2.25
Croacia,Marruecos,2.75
Francia,Marruecos,2.25
Argentina,Croacia,2.25
Inglaterra,Francia,2.25
Marruecos,Portugal,2.5
Países Bajos,Argentina,2.25
Croacia,Brasil,2.5
Portugal,Suiza,2.5
Marruecos,España,2.25
Brasil,Corea del Sur,2.75
Japón,Croacia,2.25
Inglaterra,Senegal,2.25
Francia,Polonia,2.75
Argentina,Australia,2.75
Países Bajos,EE. UU.,2.25
Camerún,Brasil,2.75
Serbia,Suiza,2.5
Corea del Sur,Portugal,2.5
Ghana,Uruguay,2.5
Costa Rica,Alemania,3.75
Japón,España,2.5
Croacia,Bélgica,2.5
Canadá,Marruecos,2.25
Arabia Saudí,México,2.5
Polonia,Argentina,2.5
Australia,Dinamarca,2.5
Túnez,Francia,2.25
Gales,Inglaterra,2.5
Irán,EE. UU.,2.25
Países Bajos,Catar,3.25
Ecuador,Senegal,2.0
Portugal,Uruguay,2.25
Brasil,Suiza,2.25
Corea del Sur,Ghana,2.25
Camerún,Serbia,2.25
España,Alemania,2.75
Croacia,Canadá,2.25
Bélgica,Marruecos,2.25
Japón,Costa Rica,2.5
Argentina,México,2.25
Francia,Dinamarca,2.25
Polonia,Arabia Saudí,2.25
Túnez,Australia,2.25
Inglaterra,EE. UU.,2.5
Países Bajos,Ecuador,2.25
Catar,Senegal,2.25
Gales,Irán,2.25
Brasil,Serbia,2.75
Portugal,Ghana,2.75
Suiza,Camerún,2.25
Bélgica,Canadá,2.75
España,Costa Rica,3.25
Alemania,Japón,3.0
Marruecos,Croacia,2.25
Francia,Australia,3.0
México,Polonia,2.25
Dinamarca,Túnez,2.25
Argentina,Arabia Saudí,3.0
EE. UU.,Gales,2.25
Senegal,Países Bajos,2.25
Inglaterra,Irán,2.25
Catar,Ecuador,2.0
Costa Rica,Nueva Zelanda,1.75
Australia,Perú,2.0
Emiratos Árabes Unidos,Australia,2.0
Gales,Ucrania,2.0
Escocia,Ucrania,2.0
Panamá,Canadá,2.25
Costa Rica,EE. UU.,2.25
México,El Salvador,3.0
Jamaica,Honduras,2.25
Islas Salomón,Nueva Zelanda,3.0
Ecuador,Argentina,2.25
Bolivia,Brasil,2.75
Chile,Uruguay,2.25
Venezuela,Colombia,2.25
Perú,Paraguay,2.25
Argelia,Camerún,1.75
Túnez,Mali,1.5
Marruecos,RD Congo,2.0
Portugal,Macedonia del Norte,3.0
Polonia,Suecia,2.0
Arabia Saudí,Australia,2.25
Senegal,Egipto,1.75
Nigeria,Ghana,1.5
Omán,China,2.0
Emiratos Árabes Unidos,Corea del Sur,2.25
Siria,Irak,1.75
Irán,Líbano,2.5
Honduras,México,2.75
EE. UU.,Panamá,2.25
El Salvador,Costa Rica,2.0
Canadá,Jamaica,2.75
Nueva Zelanda,Tahití,3.75
Islas Salomón,Papúa Nueva Guinea,3.0
Argentina,Venezuela,3.25
Francia,Croacia,2.0
Bélgica,Inglaterra,3.0
Croacia,Inglaterra,2.0
Francia,Bélgica,2.5
Rusia,Croacia,2.0
Suecia,Inglaterra,2.0
Brasil,Bélgica,2.5
Uruguay,Francia,2.0
Colombia,Inglaterra,2.0
Suecia,Suiza,2.0
Bélgica,Japón,2.5
Brasil,México,2.5
Croacia,Dinamarca,2.0
España,Rusia,2.5
Uruguay,Portugal,2.0
Francia,Argentina,2.0
Inglaterra,Bélgica,2.0
Panamá,Túnez,2.5
Senegal,Colombia,2.5
Serbia,Brasil,3.0
Suiza,Costa Rica,2.5
Corea del Sur,Alemania,3.0
México,Suecia,2.5
Nigeria,Argentina,3.0
Islandia,Croacia,2.5
Australia,Perú,2.5
Dinamarca,Francia,2.0
España,Marruecos,3.0
Irán,Portugal,2.5
Arabia Saudí,Egipto,2.5
Uruguay,Rusia,2.0
Polonia,Colombia,2.5
Japón,Senegal,2.0
Inglaterra,Panamá,2.5
Alemania,Suecia,3.0
Corea del Sur,México,2.5
Bélgica,Túnez,2.5
Serbia,Suiza,2.0
Nigeria,Islandia,2.0
Brasil,Costa Rica,2.5
Argentina,Croacia,2.0
Francia,Perú,2.0
Dinamarca,Australia,2.0
Irán,España,2.5
Uruguay,Arabia Saudí,3.0
Portugal,Marruecos,2.5
Rusia,Egipto,2.0
Colombia,Japón,2.0
Túnez,Inglaterra,2.5
Bélgica,Panamá,3.0
Suecia,Corea del Sur,2.0
Brasil,Suiza,2.5
Alemania,México,3.0
Costa Rica,Serbia,2.0
Croacia,Nigeria,2.5
Perú,Dinamarca,2.0
Argentina,Islandia,2.5
Francia,Australia,3.0
Portugal,España,2.5
Marruecos,Irán,2.0
Egipto,Uruguay,2.0
Rusia,Arabia Saudí,2.5
Perú,Nueva Zelanda,2.5
Australia,Honduras,2.0
Irlanda,Dinamarca,1.5
Burkina Faso,Cabo Verde,2.0
Senegal,Sudáfrica,2.5
Italia,Suecia,2.0
Grecia,Croacia,2.5
Suiza,Irlanda del Norte,2.0
Ghana,Egipto,2.0
Congo,Uganda,2.0
Dinamarca,Irlanda,2.0
Costa de Marfil,Marruecos,2.0
RD Congo,Guinea,2.5
Gabón,Mali,2.0
Zambia,Camerún,2.0
Nueva Zelanda,Perú,2.5
Honduras,Australia,2.0
Suecia,Italia,2.0
Argelia,Nigeria,2.5
Sudáfrica,Senegal,2.0
Croacia,Grecia,2.0
Irlanda del Norte,Suiza,1.5
Panamá,Costa Rica,2.5
Honduras,México,2.5
Trinidad y Tobago,EE. UU.,2.5
Ecuador,Argentina,2.5
Uruguay,Bolivia,3.0
Brasil,Chile,3.0
Perú,Colombia,2.0
Paraguay,Venezuela,3.0
Letonia,Andorra,2.0
Francia,Bielorrusia,3.5
Luxemburgo,Bulgaria,2.5
Países Bajos,Suecia,3.5
Portugal,Suiza,2.5
Alemania,Argentina,2.5
Brasil,Países Bajos,2.5
Países Bajos,Argentina,2.5
Brasil,Alemania,2.5
Países Bajos,Costa Rica,2.5
